crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주녹십자셀,GREEN CROSS CELL CORPORATION,녹십자셀,031390,이득주,K,1101110889985,2148611207,경기도 용인시 기흥구 이현로30번길 107 GC녹십자셀센터,www.greencrosscell.com,,0221010635,027276101,21102,19920917,12
주이수화학,ISU CHEMICAL COLTD,이수화학,005950,류승호,Y,1101110008600,1148154648,서울특별시 서초구 사평대로 84 이수화학,www.isuchemical.co.kr,,025906600,025906666,20111,19690117,12
주한진,HANJIN TRANSPORTATION COLTD,한진,002320,조양호 서용원,Y,1101110003668,2018102823,서울특별시 중구 남대문로 63 한진빌딩,www.hanjin.co.kr,,027285114,027560339,49309,19580310,12
주메디톡스,MedyTox Inc,메디톡스,086900,정현호,K,1648110016928,3128142130,충청북도 청원군 오창읍 각리1길 78 주메디톡스,www.medytox.com,,0432171555,0432171557,21102,20000502,12
남양유업주,NAMYANG DAIRY PRODUCTS COLTD,남양유업,003920,이광범,Y,1101110092976,2028104367,서울특별시 강남구 도산대로 240 1964빌딩,www.namyangi.com,,0220106601,027308159,10501,19640313,12
주LS,LS Corp,LS,006260,이광우,Y,1101110003965,1168119007,서울특별시 용산구 한강대로 92 LS용산타워 ,www.lsholdings.co.kr,,0221899988,0221899759,64992,19620515,12
주이디,ED,이디,033110,이호풍박용후각자 대표이사,K,1101110424129,1148122210,경기도 성남시 중원구 사기막골로45번길 14 제19층 제에이1902호상대원동성남우림라이온스밸리2차,www.ed.co.kr,,031 730 7332,025527302,27212,19860407,12
계양전기주,KEYANG ELECTRIC MACHINERY COLTD,계양전기,012200,단재완정한수,Y,1101110212889,1048134422,서울특별시 강남구 테헤란로 508 대치동해성2빌딩 2층,www.keyang.co.kr,www.keyang.co.kr,025596800,025596860,29194,19770427,12
파주에너지서비스 주식회사,Paju Energy Service Co Ltd,파주에너지서비스,,차태병,E,1101114629501,1018664320,경기도 파주시 파주읍 휴암로 336234 봉암리5444,,,0221213669,,35113,20110621,12
주에스엔텍,SNTEK CO LTD,에스엔텍,160600,안경준,K,1244110067216,1378161860,경기도 수원시 권선구 산업로155번길 187 고색동,www.sntek.com,,0312993888,0312993889,2927,20040630,12
제이스테판주,J Stephen Lab Ltd,제이스테판,096690,염승용,K,1341110095394,1238177233,경기도 오산시 가장산업동로 286,www.jstephen.co.kr,,07051471886,0262528150,26329,20020408,12
롯데정보통신주,LOTTE DATA COMMUNICATION COMPANY,롯데정보통신,286940,마용득,Y,1101116557114,6878100785,서울특별시 금천구 가산디지털2로 179 롯데정보통신,www.ldcc.co.kr,,0226264000,0262341500,62021,20171102,12
주넥스트엔터테인먼트월드,Next Entertainment World Co Ltd,NEW,160550,김우택,K,1101113922550,1208729530,서울특별시 강남구 학동로9길 5 ,www.its-new.co.kr,,0234909300,025151055,591,20080625,12
주식회사 필옵틱스,PHILOPTICS CO LTD,필옵틱스,161580,한기수,K,1351110088083,1238613175,경기도 수원시 권선구 산업로156번길 17,www.philoptics.com/,,0312928321,0312987274,2927,20080205,12
범양건영주,BUMYANG CONSTRUCTION COLTD,범양건영,002410,강병주,Y,1101110015861,3128109655,충청남도 천안시 서북구 검은들1길 7 4층불당동포인트프라자,www.iby.co.kr,,0415735631,0415735634,411,19580821,12
주SH에너지화학,SH ENERGY  CHEMICAL COLTD,SH에너지화학,002360,정케빈규봉,Y,1341110000210,4018109407,전라북도 군산시 외항7길 20,www.sh-enerchem.com,,0634691500,063 4691519,201,19580509,12
주광주신세계,GwangjuShinsegae CoLtd,광주신세계,037710,최민도,Y,2001110054795,4108127563,광주광역시 서구 무진대로 932 주광주신세계,www.gjshinsegae.com,,0623601234,0623601133,47111,19950410,12
주무학,Muhak,무학,033920,최재호 이수능 각자 대표이사,Y,1901110002721,6088107131,경상남도 창원시 마산회원구 봉암공단2길 6,www.muhak.co.kr,,15882226,055 296 9930,11122,19730919,12
주크래프톤,KRAFTON Inc,크래프톤,,김효섭,E,1101113645772,2208745316,경기도 성남시 분당구 분당내곡로 117 백현동 크래프톤타워,www.bluehole.net,,0316227606,0316244154,5821,20070326,12
주미라콤아이앤씨,Miracom Inc,미라콤아이앤씨,,민응기,E,1101111617533,1208184846,서울특별시 송파구 올림픽로35길 123 10층신천동 향군타워,www.miracom.co.kr,,0221256800,0221256804,62021,19981208,12
한국공항주,KOREA AIRPORT SERVICE COLTD,한국공항,005430,강영식,Y,1101110003692,1098133068,서울특별시 강서구 양천로 13 방화동 한국공항주,www.kas.co.kr,,0226603114,0267161916,52939,19680220,12
한국타이어주,HANKOOK TIRE COLTD,한국타이어,161390,조현범이수일,Y,1101114952093,2208843431,서울특별시 강남구 테헤란로 133,kr.hankooktire.com,,0222221000,0222221746,22111,20120901,12
주아이피몬스터,IP Monster Inc,아이피몬스터,223220,이상준,N,1101115206283,2308101555,광주광역시 남구 송암로 60 광주 CGI센터 402호,www.gurumcompany.com,,0317149909,0264429909,5821,20130816,12
주케이씨에스,Korea Computer  Systems Inc,케이씨에스,115500,이호성,K,1760110032132,5138128411,경상북도 구미시 3공단1로 284 임수동,-,,0263775221,0263775100,62021,20021206,12
주이노인스트루먼트,INNO INSTRUMENT INC,이노인스트루먼트,215790,권대환,K,1101115658640,4478700025,인천광역시 연수구 송도미래로 30 송도스마트밸리 E2206,,,027505644,,264,20150306,12
주식회사 진에어,JIN AIR COLTD,진에어,272450,최정호,Y,1201110454976,1218189086,서울특별시 강서구 공항대로 453 3층,www.jinair.com,,16006200,0236605998,511,20080123,12
주엔터미디어,ENTERMEDIA CO LTD,엔터미디어,068420,이경호,E,1101111035595,1098140370,경기도 부천시 오정구 성오로 1571 오정동,www.entermedia.xyz,,0326809000,0326730868,26,19940510,12
주삼양홀딩스,Samyang Holdings Corporation,삼양홀딩스,000070,윤재엽,Y,1101110026181,2088101320,서울특별시 종로구 종로33길 31,www.samyang.com,,027407114,7444005,64992,19241001,12
주영원무역홀딩스,Youngone Holdings Co Ltd,영원무역홀딩스,009970,성래은,Y,1101110165830,1108123629,서울특별시 중구 만리재로 159 주영원무역,-,,023906000,3906604,64992,19740620,12
주아난티,Ananti Inc,아난티,025980,이만규,K,1301110026814,1348107135,충청북도 진천군 백곡면 배티로 818105,www.theananti.com,,0267421500,0267421699,91121,19870116,12
주동성화학,DONGSUNG CHEMICAL COLTD,동성화학,005190,이경석,Y,1801110007690,6038107586,부산광역시 사하구 신산로 99,www.dschem.co.kr,,0512004500,0512029515,201,19670916,12
현대모비스주,HYUNDAI MOBIS COLTD,현대모비스,012330,정몽구 정의선 박정국,Y,1101110215536,1018116406,서울 강남구 역삼1동 로담코빌딩 1402,www.mobis.co.kr,,0220185114,0221735223,303,19770701,12
주인터파크홀딩스,Interpark Holdings Corporation,인터파크홀딩스,035080,이 기 형,K,1101111468093,2208147821,서울특별시 강남구 삼성로 512서울특별시 강남구 삼성로 512 삼성동빌딩,www.interpark.com,,0234843993,025321831,64992,19971001,12
주유성티엔에스,YOOSUNG TS COLTD,유성티엔에스,024800,이명호 이봉관각자 대표이사,K,1101110217607,2208119698,서울특별시 서초구 남부순환로 2583 9층서초동 서희타워,www.yoosungtns.co.kr,,02 34166644,0234166641,492,19770810,12
주톱텍,TOPTEC COMPANYLIMITED,톱텍,108230,이재환,K,1845110014990,6218122815,경상북도 구미시 산동면 첨단기업4로 4953 ,toptec.co.kr,,0544721100,0544721404,292,19960620,12
주신세계 동대구복합환승센터,SHINSEGAE DONGDAEGU CTC coLtd,신세계동대구복합환승센터,,정건희,E,1701110459570,5028617068,대구광역시 동구 동부로 149 신천동 신세계동대구복합환승센터,,,0536611234,,47111,20120502,12
코리아에셋매니지먼트주,Korea Asset Management CoLtd,코리아에셋매니지먼트,,이경택,E,1201110554130,1318625333,인천광역시 남동구 미래로 14 구월동일류빌딩2층,www.krasset.com,,027218358,027218997,68,20101224,12
케이씨더블류 주,Kyung Chang Wiper Corporation,케이씨더블류,068060,손 일 호,E,1701110033093,5038109421,대구광역시 달서구 성서공단북로 262 KCW주,www.kc.co.kr,,0537211043,0537182401,68112,19880108,12
SKC주,SKC LTD,SKC,011790,이완재,Y,1301110001585,1358101250,경기도 수원시 장안구 장안로309번길 84 정자동,www.skc.kr,http://www.skc.kr/,0312507114,025373162,204,19730716,12
주서연이화,SEOYON EHWA COLTD,서연이화,200880,김근식,Y,1101115455476,2208882958,서울특별시 강남구 테헤란로 208 11층역삼동 안제타워,www.seoyoneh.com,,0234844100,0226181153,303,20140702,12
에스엘주,SL CORPORATION,에스엘,005850,이충곤이성엽김한영,Y,1701110000034,5048100078,대구광역시 북구 검단공단로 32 ,www.slworld.com,,0538508511,0538508558,303,19681107,12
주신세계인터내셔날,SHINSEGAE INTERNATIONAL Inc,신세계인터내셔날,031430,차정호 이길한 각자대표,Y,1101110282402,2018153657,서울특별시 강남구 도산대로 449 ,www.sikorea.co.kr,,0269791234,0234401017,4741,19801025,12
동국제약주,DongKookPharmaceuticalCoLtd,동국제약,086450,오흥주,K,1101110094477,1208122608,서울특별시 강남구 테헤란로108길 7 동국제약,www.dkpharm.co.kr,www.dkpharm.co.kr,0221919800,025668542,21210,19681015,12
주에스에프에이,SFA Engineering Corporation,에스에프에이,056190,김영민,K,1942110032714,6098135227,경기도 화성시 동탄면 영천로 38,www.sfa.co.kr,,0313791793,0313791792,292,19981218,12
롯데건설주식회사,LOTTE Engineering  Construction CoLtd,롯데건설,,하석주,E,1101110014764,1148116377,서울특별시 서초구 잠원로14길 29,www.lottecon.co.kr,,0234809114,0234809977,41112,19520204,12
주수젠텍,Sugentech Incorporate,수젠텍,253840,손미진,N,1601110312126,3148630542,대전광역시 유성구 테크노2로 187 216호 용산동 미건테크노월드 2차,www.sugentech.com,,0423645001,0423673030,21300,20111209,12
주바이로메드,ViroMedCoLtd,바이로메드,084990,김선영,K,1101111343930,1018142428,서울시 관악구 관악로 599번지 서울대학교 자연과학대학 기초과학연구동203동,www.viromed.co.kr,,028738330,028870011,70113,19961121,12
미래에셋벤처투자 주식회사,Mirae Asset Venture Investment CoLtd,미래에셋벤처투자,100790,김응석,K,1101111710527,2118653095,경기도 성남시 분당구 판교역로241번길 20,venture.miraeasset.co.kr,,07048002104,0262052680,649,19990608,12
주BNK금융지주,BNK Financial Group Inc,BNK금융지주,138930,김지완,Y,1801110750893,6058605385,부산광역시 남구 문현금융로 30문현동,www.bnkfg.com,,0516203023,0516203040,64992,20110315,12
일진다이아몬드주,ILJIN DIAMOND CO LTD,일진다이아,081000,변정출,Y,1545110029242,3038140972,충청북도 음성군 대소면 대금로 157,www.iljindiamond.co.kr,,027079076,027079089,204,20041202,12
롯데케미칼주,LOTTE CHEMICAL CORPORATION,롯데케미칼,011170,신동빈 김교현 임병연,Y,1101110193196,1188115012,300 Olympicro Songpagu Seoul Korea Lotte World Tower,www.lottechem.com,,028294114,098431010,20111,19760316,12
동국제강주,DONGKUK STEEL MILL COLTD,동국제강,001230,장세욱 김연극,Y,1101110031338,2028105158,서울특별시 중구 을지로5길 19 페럼타워,www.dongkuk.co.kr,,023171114,023171391,241,19540707,12
주팜한농,FARM HANNONG CO LTD,팜한농,,이유진,E,1101114362482,1208755101,서울특별시 영등포구 여의대로 128 여의도동 LG트윈타워 동관 22F,www.farmhannong.com,,0237732741,0237737650,2032,20100601,12
주식회사 애큐온캐피탈,Acuon Capital Corporation,애큐온캐피탈,,김옥진,E,1101113574046,2148799739,서울특별시 강남구 삼성로 511 골든타워 19층,www.acuoncapital.com,,0215775511,0262343002,64913,20061204,12
주대림코퍼레이션,DAELIM COPORATION,대림코퍼레이션,,이상기,E,1101111081093,1108130979,서울특별시 중구 세종대로 39 11층 주대림코퍼레이션,www.daelimcorp.co.kr,,0237083000,027547443,46739,19941001,12
LS산전주,LS INDUSTRIAL SYSTEMS COLTD,LS산전,010120,구자균 박용상 남기원,Y,1101110520076,1168119273,경기도 안양시 동안구 엘에스로 127 LS타워,www.lsis.biz/,,0220344237,0220344950,28112,19740724,12
주삼보컴퓨터,TG Computer Inc,삼보컴퓨터,,이홍선,E,1314110285687,1348700681,경기도 안산시 단원구 능안로 9812 삼보컴퓨터,www.trigem.co.kr,www.trigem.co.kr,0314893000,05048402915,26310,20120927,12
제이더블유신약주,JW SHINYAK CORPORATION,JW신약,067290,백승호,K,1615110001291,3128102332,서울특별시 서초구 남부순환로 2477,www.cwsy.co.kr,,028406111,028437696,212,19810813,12
영신금속공업주,YoungsinMetalIndustrial,영신금속,007530,선지영,K,1101110123408,1198101578,경기도 평택시 포승읍 포승공단로118번길 118,www.ysmic.co.kr,,02 855 6960,02 867 2245,259,19711201,12
백광산업주,PAIKKWANG INDUSTRIAL COLTD,백광산업,001340,김성훈,Y,1101110003709,1138101094,전라북도 군산시 임해로 49416,www.pkic.co.kr,,0226810136,0226869692 0634670247,20131,19541125,12
대한방직주,TAIHAN TEXTILE COLTD,대한방직,001070,설 범 김 인호,Y,1101110019350,1168133353,서울특별시 영등포구 국제금융로2길 17 여의도동대한빌딩,www.thtc.co.kr,,023680114,023680461,132,19530810,12
미원스페셜티케미칼주,Miwon Specialty Chemical Co Ltd,미원에스씨,268280,김형웅 배원,Y,2101110123944,7788700797,전라북도 완주군 봉동읍 완주산단1로 167,www.miramer.co.kr,,0632601500,0314714334,201,20170501,12
주셀젠텍,CELLGENTEK Co Ltd,셀젠텍,258250,김회율,N,2001110168265,4098172807,대전광역시 유성구 유성대로 5794구암동,cellgentek.co.kr,,0428229482,0428229484,582,20020802,12
주식회사 메디포럼,Mediforum CoLtd,메디포럼,,김찬규,E,1358110270199,3678800099,경기도 군포시 군포로 4881 3층당동 흥명빌딩,www.gmediforum.com,,024651777,024651778,21300,20150521,12
한국기업평가주,Korea Ratings Corporation,한국기업평가,034950,김기범,K,1101110362808,1168140193,서울특별시 영등포구 의사당대로 97 교보증권 7층,www.korearatings.com,,023685500,023685656,75993,19831229,12
주에이플러스라이프,APLUSLIFE,에이플러스라이프,,박성수,E,1101113989245,1208733918,서울특별시 강남구 역삼로 415 대치동 성진빌딩,www.apluslife.co.kr/mutual/default/index.php,,0260060618,025080788,96921,20081101,12
삼성엔지니어링주,SAMSUNG ENGINEERING COLTD,삼성엔지니어링,028050,최성안,Y,1101110240509,1208156184,서울특별시 강동구 상일동 500 삼성 GEC,www.samsungengineering.co.kr,,0220533000,0234584090,72129,19781019,12
주와이디생명과학,YD GLOBAL LIFE SCIENCE INC,와이디생명과학,,이진우,E,1101114017144,2178127606,경기도 성남시 중원구 사기막골로 148 중앙이노테크 909호상대원동,www.bioyd.co.kr,,025769331,025769334,70113,20081222,12
주세명테크,semyoung techcoltd,세명테크,,최승용,E,1201110225064,1318156656,충청남도 아산시 둔포면 장영실로 9225 신남리,www.semyoungtech.co.kr,,025013624,025013719,20311,20000622,12
주대교,DAEKYO COLTD,대교,019680,박수완,Y,1101110514029,1128141114,서울특별시 관악구 보라매로 3길 23 보라매동 72921 대교타워,www.daekyo.co.kr,http://company.daekyo.com,028291114,07042750717,851,19861220,12
주DGB금융지주,DGB Financial Group,DGB금융지주,139130,김태오,Y,1701110429523,5028610560,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,www.dgbfg.co.kr,,0537407900,0537407999,64992,20110517,12
주식회사 비피도,BIFIDO Co Ltd,비피도,238200,지근억,K,1101111787378,1198132746,강원도 홍천군 홍천읍 농공단지길 2316,bifido.com,,0334354962,0334354963,10797,19991012,12
주제주은행,Jeju Bank,제주은행,006220,서현주,Y,2201110000819,6168100615,제주특별자치도 제주시 오현길 90 이도일동,www.e-jejubank.com,,0647200200,0647200183,64121,19690919,12
신세계건설주,Shinsegae Engineering  Construction CLtd,신세계건설,034300,윤명규,Y,1101110759493,2018144158,서울특별시 중구 장충단로 180 신세계건설,httpswww.shinsegae-enc.com,,0234066620,0234066666,4112,19910320,12
