crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주자유투어,Freedom Travel Co Ltd,자유투어,046840,김희철,E,1101111099153,2138197186,서울특별시 중구 남대문로 117 동아빌딩 다동 1314층,www.jautour.com,,0234558888,0237833768,75210,19941107,12
에스씨아이평가정보주,SCI Information Service Inc,SCI평가정보,036120,김현수,K,1101110853419,1148147958,서울특별시 마포구 토정로 144 건양사빌딩,www.sci.co.kr,,02 34455000,0234491544,75993,19920423,12
주백산,BAIKSAN COLTD,백산,035150,김상화 김한준각자 대표이사,Y,1147110003729,1338123001,경기도 시흥시 공단1대로27번길 47,www.baiksan.co.kr,,03149900449,0314990050,22214,19861006,12
주서희건설,SEOHEE CONSTRUCTION CO LTD,서희건설,035890,곽선기김팔수,K,1101110335912,2208119330,경기도 성남시 분당구 수내로46번길 4 경동빌딩 수내동경동빌딩8층,www.seohee.co.kr,,02 34166644,02 34166641,4112,19821022,12
동양피엔에프주,DONG YANG PF Co LTD,동양피엔에프,104460,조좌진,K,1101111725386,1138154363,서울특별시 금천구 가산디지털1로 88 IT프리미어타워 17층 18층,www.dypnf.com,,0221068000,0221068080,29163,19990701,12
나노스주,NANOS CoLtd,나노스,151910,양선길,K,1358110109900,1248626732,경기도 화성시 마도면 마도공단로2길 4 ,www.nanosm.com,www.nanosm.com,0312403900,0313669642,262,20041202,12
영화금속주,YEONGHWA METAL COLTD,영화금속,012280,최동윤단독 대표이사,Y,1801110027078,6098112296,경상남도 창원시 진해구 남의로 57 남양동,www.yeonghwa.co.kr,,0555517500,0555517701,303,19770607,12
앤유엔터테인먼트주,ANDu Entertainment Co Ltd,앤유엔터테인먼트,266170,이재원,N,1101114339316,2208798832,서울특별시 강남구 학동로82길 7 HYUN빌딩 삼성동 HYUN빌딩4층,www.redwoods.co.kr,,025651676,0262641676,59114,20100428,12
주지아이티,Global Information Technolagy Co Ltd,지아이티,,장윤경,E,1311110028900,1298122435,서울특별시 송파구 마천로 87 오금동 지아이티 빌딩,www.gitauto.com,,0221893300,0221893333,27212,19970522,12
주레드로버,REDROVER COLTD,레드로버,060300,김선욱,K,1101111282740,1138138005,경기도 성남시 분당구 판교역로146번길 20 현대백화점 판교오피스 1213층,www.redrover.co.kr,,03151713800,0316017901,59112,19960615,12
주키이스트,KEYEAST Co Ltd,키이스트,054780,박성혜 신필순공동대표,K,1101111327869,1208166644,서울특별시 강남구 영동대로96길 26 5층삼성동,www.keyeast.co.kr,,0234442002,0234444290,59130,19961008,12
주식회사더존다스,DUZON DASS COLtd,더존다스,,김용우,E,1101112803214,1078635992,강원도 춘천시 남산면 버들1길 130 더존IT그룹 MS부문 IR팀,www.duzon.co.kr,www.duzon.co.kr,0262335072,0262335080,58221,20030619,12
주종근당바이오,CKD Bio Corp,종근당바이오,063160,이정진,Y,1101112373308,1108153652,서울특별시 서대문구 충정로 8,www.ckdbio.com,,0221940555,0221940556,212,20011112,12
주베스파,Vespa Inc,베스파,299910,김진수,K,1101115131886,1208798186,서울특별시 강남구 테헤란로83길 15 제이엠빌딩 9층,www.vespainteractive.com/,,0269540889,07040157788,5821,20130509,12
바로코사,barokosa,바로코사,,박훈진,E,1345110041092,1358138548,충청북도 충주시 목행산단4로 34 목행동,www.barokosa.com,,0438572000,0438578335,46800,20000531,12
주디바이스이엔지,Device ENG COLTD,디바이스이엔지,187870,최봉진,K,1615110052450,3128157991,충청남도 아산시 음봉면 음봉로 169,www.deviceeng.co.kr,,0416295200,0416295369,29271,20021001,12
주링네트,RingNet Co Ltd,링네트,042500,이주석,K,1101111927958,1138160244,서울특별시 구로구 디지털로33길 27 409호 구로동 삼성IT밸리 4층,www.ringnet.co.kr,,0266751251,0266751204,62021,20000401,12
주수양켐텍,sooyangchemtec co ltd,수양켐텍,,박범호,E,1101112808280,2158644206,서울특별시 구로구 디지털로32길 30 코오롱빌란트 1204호 구로동,www.sooyangchem.com,,0221032477,0221032476,20119,20030701,12
SK가스주,SK GAS LTD,SK가스,018670,최창원 윤병석,Y,1101110413247,1168112528,경기도 성남시 분당구 판교로 332 ECO Hub,www.skgas.co.kr/,,0262008114,0262008118,46713,19851220,12
코위버주,COWEAVER CoLtd,코위버,056360,황인환,K,1101111883225,1058608183,서울특별시 강서구 마곡중앙8로7길 45 마곡동,www.coweaver.co.kr,,0231403300,023382984,26410,20000218,12
삼양식품주,SAMYANG FOODS COLTD,삼양식품,003230,김정수 정태운,Y,1101110034308,1028105450,서울특별시 성북구 오패산로3길 104,www.samyangfood.co.kr,,029403000,029175536,107,19610915,12
주대명코퍼레이션,DAEMYUNG CORPORATION COLTD,대명코퍼레이션,007720,권광수,K,1801110068668,6048115788,강원도 홍천군 서면 한치골길 262,daemyungcorporation.com,,0222227500,0222227589,468,19720311,12
한올바이오파마주,HANALL BIOPHARMA COLTD,한올바이오파마,009420,박승국윤재춘공동대표이사,Y,1641110000397,3068105479,대전광역시 대덕구 상서당1길 43,www.hanall.co.kr,,0429325997,024141950,21210,19731120,12
씨제이씨지브이주,CJ CGV COLTD,CJ CGV,079160,최병환,Y,1101111673220,1048145690,서울특별시 용산구 한강대로23길 55 아이파크몰 6층한강로동,www.cgv.co.kr,,023716660,0220171420,59141,19990330,12
대영씨엔이주,Dae Young CE COLtd,대영씨엔이,,노세윤,E,1201110389454,1318194306,강원도 강릉시 사천면 과학단지로 20225 대영씨엔이주,www.cnedrc.com,,0336509002,0336444744,2049,20051128,12
영풍제지주,YOUNGPOONG PAPER MFG COLTD,영풍제지,006740,이관형,Y,1347110000408,1258100424,경기도 평택시 진위면 서탄로 9,www.yp21.co.kr,,0316608200,0316682655,172,19700718,12
주유한양행,YUHAN CORPORATION,유한양행,000100,대표이사 이정희,Y,1101110014409,1188100601,서울특별시 동작구 노량진로 74,www.yuhan.co.kr,,028280181,028280117,212,19260620,12
신라교역주,SILLA COLTD,신라교역,004970,이광세 홍성호 각자 대표이사,Y,1101110008254,2198100919,서울특별시 송파구 백제고분로 362 신리빌딩,www.sla.co.kr,,0234349900,024185665,03111,19670306,12
선창산업주,SUNCHANG CORPORATION,선창산업,002820,김영환,Y,1101110027593,1098133530,인천광역시 중구 월미로 96,www.sunwood.co.kr,,0327703000,027910239,16211,19591017,12
주바이오시네틱스,BioSynectics Inc,바이오시네틱스,281310,김갑식,N,1101112943010,1058663304,서울특별시 금천구 가산디지털2로 184 708호가산동 벽산디지털밸리 2차,www.bio-synectics.com,,0221131285,0221131284,70113,20040129,12
대우전자부품주,DAEWOOELECTRONICCOMPONENTS COLTD,대우부품,009320,서준교서중호각자 대표,Y,1341110000822,1238100262,전라북도 정읍시 공단2길 3,www.dwecc.com,,0635308171,0635365517,303,19731013,12
일진디스플레이주,ILJIN DISPLAY COLTD,일진디스플,020760,대표이사 최 치 영,Y,1545110006076,3038110352,충청북도 음성군 대소면 대금로 157,www.iljindisplay.co.kr,,0316800212,0236616796,261,19940401,12
아주산업 주식회사,AJU COLTD,아주산업,,박상일,E,1101110425606,2148110130,서울특별시 서초구 강남대로 351 서초동,www.aju.co.kr,,0234759614,0234759533,23322,19751201,12
주진로발효,JinroDistillers,진로발효,018120,김종식,K,1301110009365,1348104841,경기도 안산시 단원구 별망로 594,www.jrdcl.com,,031 491 2675,028644277,11121,19841231,12
주원익아이피에스,WONIK IPS CO LTD,원익IPS,240810,이현덕 이재경 각자 대표이사,K,1313110163174,6958100374,경기도 평택시 진위면 진위산단로 75,.www.ips.co.kr,,03180477222,03180477084,292,20160404,12
