crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주티맥스소프트,TmaxSoft CoLtd,티맥스소프트,,김동철,E,1101111422148,2208145181,경기도 성남시 분당구 황새울로258번길 29 수내동 수내빌딩분당세무서 89층,kr.tmaxsoft.com,,03180181000,03180181115,58221,19970603,12
주차바이오텍,Chabiotech CoLtd,차바이오텍,085660,오상훈 단독대표,K,1345110065662,1358158340,서울특별시 강남구 도산대로 442 청담동 피엔폴루스 3층,www.chabio.com,http://www.chabio.com/iv_info.asp,0318817400,0318817499,21102,20021106,12
주아리바이오,aribiocoltd,아리바이오,,성수현,E,1101114448977,1078742277,경기도 성남시 분당구 판교로228번길 17 삼평동 판교세븐벤처밸리2 제1동 5층,www.aribio.com,,0226370009,0226339911,70113,20101019,12
주우리교육,URIKYOYUK CO LTD,우리교육,,김윤용,E,1101110919237,1108128487,서울특별시 마포구 월드컵북로 43 서교동,www.uriedu.co.kr,,0231426770내선210번,0231426772,58122,19930302,12
경창산업주,KyungchangIndustrial,경창산업,024910,손일호차달준,K,1701110007733,5038104241,대구광역시 달서구 성서로35길 6 월암동,www.kc.co.kr,,053 560 0141,0537182401,30331,19770622,12
주이더블유비엠,EWBM Co Ltd,이더블유비엠,,OH STEPHEN SANG GEUN,E,1311110241586,1298638742,경기도 성남시 분당구 장미로 78 야탑동 시그마3 1237호,www.e-wbm.com,,025567878,025587876,70121,20091015,12
주민앤지,Minwise Co Ltd,민앤지,214180,이현철,K,1101114063535,2148839117,서울특별시 강남구 테헤란로34길 6 태광타워 13층,www.minwise.co.kr,,029294463,029294424,63991,20090319,12
주식회사 폴루스,POLUS Inc,폴루스,,남승헌,E,1201110806169,4398600255,인천광역시 연수구 송도과학로 32 M1202 송도동 송도테크노파크IT센터,,,0327281005,0327281099,21,20160301,12
주식회사 카페베네,Caffe Bene,카페베네,,최승우,E,1101114000925,2068629161,서울특별시 광진구 동일로 427 중곡동,www.caffebene.co.kr,,0234386819,0234386815,10791,20081201,12
쉬프트정보통신주,SHIFT Co Ltd,쉬프트정보통신,,최영식,E,1101110894299,1108134126,경기도 성남시 분당구 판교로 242 삼평동 IT밸리 PDC타워 C동 602호,shift.co.kr,,0221061715,024647234,62021,19921105,12
주청담러닝,Chungdahm Learning Inc,청담러닝,096240,이동훈,K,1101112541575,2118716710,서울특별시 강남구 영동대로 731 신영빌딩 15층 외,www.chungdahm.com,,0234299407,0234549449,855,20020605,12
주식회사 후이즈,who is co ltd,후이즈,,이 청 종,E,1101111706378,1108141272,서울특별시 구로구 디지털로34길 43 구로동 1004호,www.whois.co.kr,,0234844700,0234844702,58221,19990601,12
주파인넥스,PineNex Co Ltd,파인넥스,123260,김용석,K,1101112015273,2148663520,경기도 화성시 향남읍 발안공단로4길 65 사파이어테크놀로지 발안공장,www.sapphiretek.com,,0312973551,0312973550,2612,20000703,12
주케이제이프리텍,KJ Pretech Co Ltd,KJ프리텍,083470,남정석,K,1350110096608,1348146818,경기도 화성시 반월남길 77 주케이제이프리텍,www.kjpretech.com,,0312306903,0312332012,222,19990930,12
주덕신하우징,DUCKSHIN HOUSING CO LTD,덕신하우징,090410,김용회,K,1101110730732,1368109463,충청남도 천안시 동남구 수신면 수신로 48534,www.duckshin.com,,0226002600,0226992760,25112,19910104,12
주주노콜렉션,JUNO COLLECTION COLTD,주노콜렉션,221670,김용,N,2850110160767,1288639980,경기도 고양시 덕양구 지도로 44 123456층토당동,www.laorh.com,,0319702955,0319702925,15121,20090623,12
주엠피그룹,MP Group Inc,MP그룹,065150,김흥연,K,1101111194739,2148193179,서울특별시 서초구 효령로 132 미피하우스,www.mrpizza.co.kr,www.mrpizza.co.kr,025963300,025910002,463,19950907,12
주에임하이글로벌,Aimhigh Global Corp,에임하이글로벌,043580,왕설,E,1201110007618,1378101654,서울특별시 강남구 논현로 626 논현동 엠빌딩,www.ahg.kr,,023162200,023162246,262,19790321,12
주식회사 인켈,INKEL Corp,인켈,,공병규,E,1201110011619,1228113880,인천광역시 부평구 청중로 93,www.inkel.co.kr,,0326506034,0326506452,2652,19780325,12
압타바이오주,Aptabio Therapeutics Inc,압타바이오,,이수진,E,1358110168906,1358603821,경기도 용인시 기흥구 흥덕1로 13 타워동 504호 영덕동 흥덕IT밸리,www.aptabio.com,,07071520097,0312116697,70113,20090724,12
주식회사 울진유통농업회사법인,Uljin Trade Co LTD,울진유통농업회사법인,,신성복,E,1759110007641,5078108889,경상북도 울진군 근남면 친환경엑스포로 25 수산리 엑스포공원,ujut.co.kr,,0547818945,0547814945,46,20090410,12
데스틴파워 주식회사,DestinPower Inc,데스틴파워,,오성진,E,1311110319276,1448103780,경기도 성남시 분당구 판교로 242 A동 2층 삼평동 판교디지털콘텐츠파크,www.destinpower.com,,03180600393,03180600399,2811,20120801,12
삼보오토주,SAMBOAUTO Co Ltd,삼보오토,070080,최찬규,E,1314110133612,1348192156,경기도 안산시 단원구 해봉로 195,www.samboauto.com,,0314899405,0314899499,30,20021113,12
삼보오토주,SAMBOAUTO Co Ltd,삼보오토,070080,최찬규,E,1314110133612,1348192156,경기도 안산시 단원구 해봉로 195,www.samboauto.com,,0314899405,0314899499,30,20021113,12
주이노시뮬레이션,INNOSIMULATION CO LTD,이노시뮬레이션,,조준희,E,1101111977937,1108146170,서울특별시 마포구 월드컵북로 396 상암동 누리꿈스퀘어 20층,www.innosim.com,,023049500,023043004,58221,20000524,12
미래에셋제5호기업인수목적주,MIRAE ASSET No5 SPECIAL PURPOSE ACQUISITION COMPANY,미래에셋제5호스팩,239340,김남기,K,1101115970961,5988700226,서울특별시 중구 을지로5길 26 동관16층 미래에셋센터원빌딩,,,0237741736,0237741339,66199,20160212,12
주신테카바이오,SyntekabioInc,신테카바이오,,정종선,E,1101114179457,1058735732,대전광역시 유성구 테크노2로 187 용산동 미건테크노월드 비동 512호,www.syntekabio.com,,07076630981,0262800984,63991,20090810,12
하나에프앤아이 주,Hana FI Inc,하나에프앤아이,,곽철승,E,1341110029773,1238121535,경기도 안양시 만안구 만안로 49,www.hanafni.com,,0237082114,027565269027780461,64209,19890911,12
주네이처셀,NATURECELL COLTD,네이처셀,007390,라정찬,K,1243110005721,1308105606,서울특별시 영등포구 국회대로76길 10 5층,www.rnlsamml.com,,0234721681,0269521012,11209,19710806,12
