crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주다나와,DANAWA CoLtd,다나와,119860,손윤환 안징현,K,1101112551996,1178140065,서울특별시 양천구 목동동로 2331 501호,www.danawa.com,,16882450,0216882451,58221,20020621,12
파미셀주,Pharmicell CoLtd,파미셀,005690,김현수,Y,1601110005177,3148100664,서울특별시 강남구 언주로 874 신사동 쌍봉빌딩 7층,www.pharmicell.com,,0234960114,0234960149,21102,19680820,12
에코바이오홀딩스주,EcoBio Holdings Co Ltd,에코바이오,038870,송효순,K,1101111448128,2298128817,서울 서초구 서초동 13027 토탈에코빌딩,www.ecoenergyholdings.com,,0234832900,0234832929,741,19970804,12
주포스코플랜텍,POSCO PLANTEC COLTD,포스코플랜텍,051310,조정우,E,1812110010898,6108108943,경상북도 포항시 남구 대송로 83번길 61장흥동,www.poscoplantec.co.kr,,0542797114,0542797111,41225,19890615,12
주오스테오닉,OSTEONIC Co Ltd,오스테오닉,226400,이동원,K,1101114816570,1138657540,서울특별시 구로구 디지털로29길 38 에이스테크노타워Ⅲ1206호,www.osteonic.com,,0269028400,0269028401,27192,20120309,12
주케이탑자기관리부동산투자회사,KTOP REITS COLTD,케이탑리츠,145270,이명식,Y,1101114465004,1078743354,서울특별시 영등포구 국제금융로 70 미원빌딩 19층 1901호,www.ktopreits.co.kr,,027835858,027831717,68112,20101104,12
이비테크주,EB TECH COLTD,이비테크,208850,김진규,N,1601110106727,3148137268,대전광역시 유성구 테크노2로 1709용산동,www.eb-tech.com,,0429307501,0429307500,28909,20001028,12
주이글루시큐리티,Igloo Security Inc,이글루시큐리티,067920,이득춘,K,1101111800659,1078172385,서울특별시 송파구 정의로8길 7 한스빌딩,www.igloosec.co.kr,,02 3452 8814,34528815,58221,19991102,12
삼환기업주,SAMWHAN CORPORATION,삼환기업,000360,이계연,E,1101110020307,1018100452,서울특별시 강남구 언주로 547 역삼동1213 층 삼환기업주,www.samwhan.co.kr,,027402391,027402339,41221,19460315,12
다믈멀티미디어주,TamulMultimediaCoLtd,다믈멀티미디어,093640,박 세철,K,1101111621956,2148628386,경기도 안양시 동안구 시민대로 161 안양무역센터,www.tamulm.com,,0313806950,0313806959,2611,19981218,12
경남스틸주,Kyeong Nam Steel Co LTD,경남스틸,039240,최석우,K,1942110006090,6098111206,경남 창원시 웅남동 6146번지,www.ksteel.co.kr,,055 252 9208,0552742071,24199,19901115,12
주디아이,DI CORPORATION,디아이,003160,박원호 장일선,Y,1101110039209,2118124974,서울특별시 강남구 논현로 703,www.di.co.kr,,025465501,025413695,27212,19610316,12
주툴젠,ToolGen Incorporated,툴젠,199800,김종문,N,1101111785827,1088118555,서울특별시 금천구 가산디지털1로 219가산동 벽산디지털밸리 6차 120412051206,www.toolgen.com,,028738168,028738169,701,19991008,12
리노공업주,LEENO Industrial Inc,리노공업,058470,이채윤,K,1801110220664,6038129824,부산광역시 강서구 미음산단로105번길 10,www.leeno.co.kr,,0518313232,0518313233,2629,19961220,12
주비트컴퓨터,BITComputer,비트컴퓨터,032850,전 진 옥 조 현 정,K,1101110397699,2208129726,서울특별시 서초구 서초대로74길 33,www.bit.co.kr,,02 34861234,02 34865555,58221,19850418,12
주바이오이즈,BIOIS,바이오이즈,,김성천,E,1101115100550,2208855238,서울특별시 구로구 디지털로32길 30 구로동 코오롱디지털타워빌란트 703704호,www.biois.co.kr,,0269590365,028649954,27199,20130328,12
태광실업주,TAE KWANG INDUSTRIAL CO LTD,태광실업,,박연차,E,1846110000533,6228105819,경상남도 김해시 김해대로 2635번길 26안동,,,0553301459,0553377158,15219,19801230,12
주덴티움,DENTIUM,덴티움,145720,강희택 유재홍,Y,1351110052892,1238157732,서울특별시 강남구 테헤란로87길 21 3층삼성동 동성빌딩,www.dentium.co.kr,,07070989158,0318885567,27191,20000607,12
주라이트팜텍,LITEPHARMTECH,라이트팜텍,,김철주,E,1101113157850,2048189630,서울특별시 구로구 디지털로31길 41 구로동 이앤씨벤처드림타워6차 811호,www.litepharm.com,,028018570,028018577,70113,20050215,12
피노텍,Finotek CoLtd,피노텍,150440,김우섭,N,1101113999434,1208734203,서울특별시 서초구 양재천로9길 1 3층양재동용두빌딩,www.finotek.co.kr,,025223558,025223559,58222,20081113,12
주바이오제닉스,Biogenics Inc,바이오제닉스,,손태훈,E,1601110209357,3148183364,대전광역시 유성구 테크노11로 40 탑립동,www.biogenics.co.kr,,0426711216,0426711218,2049,20060706,12
