crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
성신양회주,SUNGSHIN CEMENT COLTD,성신양회,004980,김영준 김상규,Y,1101110072928,1018118194,서울특별시 종로구 인사동5길 29,www.sungshincement.co.kr,,0237827000,0237827249,23311,19670316,12
현대캐피탈주식회사,HYUNDAI CAPITAL SERVICES INC,현대캐피탈,,정태영,E,1101110995378,1168136248,서울특별시 영등포구 의사당대로 3,www.hyundaicapital.co.kr,,15442114,05051270726,64913,19931222,12
한국자산신탁주,KOREA ASSET IN TRUST Co Ltd,한국자산신탁,123890,김규철,Y,1101112196304,1078197673,서울특별시 강남구 테헤란로 306 역삼동 카이트타워,www.kait.com,,0221126300,0221126400,642,20010320,12
현대카드주식회사,HYUNDAI CARD CO LTD,현대카드,,정태영,E,1101110377203,2138615419,서울특별시 영등포구 의사당대로 3 현대캐피탈 빌딩,www.hyundaicard.com,http://ir.hyundaicard.com,0215776000,05051270726,64913,19950125,12
주유티아이,UTI INC,유티아이,179900,박덕영,K,1341110189717,1238621786,충청남도 예산군 응봉면 응봉로 5016,www.utikorea.com,,0413334352,0413334353,2629,20100416,12
인터지스주,INTERGIS CO LTD,인터지스,129260,정원우,Y,1801110001973,6018100739,부산광역시 중구 충장대로9번길 52 마린센터 13층,www.intergis.co.kr,,0516043333,0516340613,49301,19560223,12
동아에스티주,DONGA ST COLTD,동아에스티,170900,엄대식 단독대표,Y,1101115079713,2048640122,서울 동대문구 용두동 138 255 천호대로 64,www.donga.co.kr,,029208114,029254026,21210,20130304,12
지디케이화장품주,GDK COSMETICS Co Ltd,지디케이화장품,,김태성,E,1201110579253,1318630461,인천광역시 남동구 은봉로 100 논현동,www.gdkcosmetics.com,,0328151057,0328151059,20423,20141231,12
쌍용양회공업주,SSANGYONG CEMENT INDUSTRY COLTD,쌍용양회공업,003410,홍사승 이현준 각자대표집행임원,Y,1101110037823,2028133033,서울특별시 중구 수표로 34 씨티센터타워 79층,www.ssangyongcement.co.kr,,0222705114,0222722191,23311,19620514,12
무림피앤피주,Moorim PP COLTD,무림PP,009580,김석만,Y,1812110002548,6108102842,울산광역시 울주군 온산읍 우봉길 336,www.moorimpnp.co.kr,,0522317000,0522382190,17110,19740116,12
주에스모,Esmo CORPORATION,에스모,073070,김정훈,K,1801110152057,6058118906,울산 울주군 웅촌면 대대리 1644295,www.nexentech.co.kr,,0522598331,0522598333,303,19940201,12
주디에이테크놀로지,DA Technology CoLtd,디에이테크놀로지,196490,박명관이현철각자대표이사,K,1101111958888,1198138212,경기도 화성시 비봉면 쌍학길 15 쌍학리 2502,www.dat21.co.kr,www.dat21.co.kr,0313698813,0313698877,29271,20000503,12
주웅진,WOONGJIN CO LTD,웅진,016880,신승철 이수영 각자대표,Y,1101110346745,2088106344,서울특별시 종로구 창경궁로 120 종로플레이스빌딩,www.woongjin.com,,0220764701,0220764599,64992,19830321,12
평화산업주,PYUNG HWA INDUSTRIAL CO LTD,평화산업,090080,김종석 김동관,Y,1701110309329,5148157898,대구광역시 달성군 논공읍 논공로 597,www.ph.co.kr,,0536107027,0536150566,303,20060502,12
SK실트론 주식회사,SK Siltron Co Ltd,SK실트론,,변영삼,E,1753110001348,5138102110,경상북도 구미시 임수로 53 SK실트론 주식회사,www.sksiltron.com,,0267195333,0237753968,2612,19830425,12
한국증권금융주식회사,THE KOREA SECURITIES FINANCE CORPORATION,한국증권금융,,정완규,E,1101110025943,1168102898,서울특별시 영등포구 국제금융로8길 10 한국증권금융,www.ksfc.co.kr,,0237708800,,6499,19551001,12
지에스이피에스주,GS EPS COLTD,지에스이피에스,,김응식,E,1650110004621,3118108518,충청남도 당진시 송악읍 부곡공단로 241,www.gseps.com,,0220058526,0220058599,35113,19961009,12
동양네트웍스주,TONGYANG NETWORKS Corporation,동양네트웍스,030790,김대웅 강태덕,Y,1101110766703,2158144176,서울특별시 송파구 백제고분로 69 잠실동 애플타워,www.tongyangnetworks.com,,0269230000,0269230022,620,19910330,12
주케이씨텍,KCTECH CO LTD,케이씨텍,281820,최동규 임관택 각자 대표이사,Y,1346110087565,6128153314,경기도 안성시 미양면 제2공단3길 30,www.kctech.co.kr,,0316708000,0316777173,272,20171101,12
현대삼호중공업주,HYUNDAI SAMHO HEAVY INDUSTRIES CO LTD,현대삼호중공업,,윤문균,E,2054110003915,4118119799,전라남도 영암군 삼호읍 대불로 93,www.hshi.co.kr,,0614602224,0614603702,3111,19981104,12
KD건설주,KD Construction CoLtd,KD건설,044180,안태일,K,1201110012914,1398104128,경기도 안산시 단원구 광덕서로 102 4063호,dymoldtech.co.kr,,0314918577,0269522187,411,19740806,12
신대양제지주,SHINDAEYANG PAPER COLTD,신대양제지,016590,권혁홍 권택환 각자대표,Y,1301110008789,1348102858,경기도 안산시 단원구 목내로 29,www.dygroup.co.kr,,0314947911,0314909320,172,19821217,12
주원익큐엔씨,WONIK QnC CORPORATION,원익QnC,074600,임창빈,K,1760110035615,5138131648,경북 구미시 구포동 637,www.wonikquartz.com,,0544726138,0544726148,2312,20031112,12
주본느,Bonne Co Ltd,본느,226340,임성기,K,1101115794478,5298600091,서울특별시 송파구 송파대로22길 515 ,,,0237872429,,204,20150728,12
주케이씨아이,KCI Limited,KCI,036670,이진용,K,1244110011884,1338126385,충남 서산시 대산읍 대죽리 137,www.kciltd.com,,031 497 6411,027849018,20421,19910713,12
주브이원텍,VONE TECH CO LTD,브이원텍,251630,김선중,K,1311110164978,1298198032,경기도 성남시 분당구 대왕판교로 660 A710 삼평동 유스페이스1,www.v-one.co.kr,,0316075540,0316075542,29272,20060530,12
한국가스공사주,KoreaGasCorporation,한국가스공사,036460,김영두,Y,1146710006125,1208200557,대구광역시 동구 첨단로 120,www.kogas.or.kr,,0536700114,0317100398,35200,19830818,12
주한화갤러리아타임월드,Hanwha Galleria Timeworld Co Ltd,한화갤러리아타임월드,027390,김은수,Y,1601110003410,3058102955,대전광역시 서구 대덕대로 211 갤러리아타임월드백화점 주한화타임월드,www.timeworld.co.kr,,0424805000,0424805544,47111,19790530,12
코오롱글로벌주,KolonGlobalCorporation COLTD,코오롱글로벌,003070,윤창운,Y,1101110036502,1208150012,경기도 과천시 코오롱로 11 코오롱타워,www.kolonglobal.com,,0236775114,0324209969,41221,19601228,12
해태제과식품주식회사,Haitai Confectionery and Foods Co Ltd,해태제과식품,101530,신정훈,Y,1615110044225,3128149680,충청남도 천안시 서북구 성거읍 천흥8길 6726,www.ht.co.kr,,027097766,027937969,107,20010711,12
주에스에프씨,SFC CoLtd,에스에프씨,112240,정지수,K,1101110824204,3078105002,충청남도 홍성군 구항면 내포로 682 주식회사 에스에프씨,www.sfcltd.co.kr,,0416400001,0416341177,2229,19911223,12
그린기술투자주,Green Technology Investment CoLtd,그린기술투자,025340,강정원,E,1601110020406,3058111041,서울특별시 강남구 밤고개로1길 10 415수서동 수서현대벤쳐빌,www.gtic.co.kr,,0220159900,0220159999,64209,19900228,12
주식회사엘지씨엔에스,LG CNS Co Ltd,엘지씨엔에스,,김영섭,E,1101110516695,1168119477,서울특별시 강서구 마곡중앙8로 71 마곡동 엘지사이언스파크,www.lgcns.com,,0220990114,0220990099,62021,19870114,12
옵토팩주,OptoPAC Inc,옵토팩,123010,김덕훈,K,1101112870784,1148631150,충청북도 청주시 흥덕구 옥산면 과학산업1로 114,www.optopac.com,,0432187866,0432187869,262,20031008,12
주에스앤아이코퍼레이션,SI corp,에스앤아이코퍼레이션,,이동열,E,1101112411520,1078609325,서울특별시 강서구 마곡중앙로 150 마곡동 에스앤아이 강서사옥,www.sni.co.kr,,0269245056,0269245111,68112,20020101,12
주엘지하우시스,LG HAUSYSLTD,LG하우시스,108670,민경집,Y,1101114071207,1078718122,서울특별시 영등포구 국제금융로 10 국제금융센터One IFC,www.lghausys.com,,37771114,69301201,2222,20090402,12
쿠쿠홈시스 주식회사,CUCKOO HOMESYS COLTD,쿠쿠홈시스,284740,구본학,Y,1355110319406,5908700993,경기도 시흥시 엠티브이북로 349정왕동,wwwcuckoo.co.kr,,0553800734,0324579188,762,20171204,12
일진홀딩스주,ILJIN HOLDINGS COLTD,일진홀딩스,015860,허정석,Y,1201110011990,1248134732,경기도 화성시 만년로 90517,www.iljin.co.kr,,0312200500,027079698,64992,19820127,12
주이상네트웍스,eSANGNetworksCoLtd,이상네트웍스,080010,조원표,K,1101111892010,1078178114,서울특별시 마포구 월드컵북로58길 9 ES타워,www.e-sang.net,,0261216200,0261216201,4610,20000228,12
