crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주경방,KYUNGBANG LTD,경방,000050,김준 김담,Y,1101110013287,1078105232,서울특별시 영등포구 영중로 15 영등포동 4가,www.kyungbang.co.kr,,0226386000,02 2639  6249,13101,19191005,12
주휴맥스,HUMAX CO LTD,휴맥스,115160,김태훈,K,1345110144268,1428122888,경기도 용인시 처인구 영문로 2,-,,0317766114,0317766079,26519,20091005,12
주조비,CHOBI COLTD,조비,001550,이병만이용진,Y,1101110086599,2148108783,서울특별시 서초구 효령로77길 28 동오빌딩 서초동 13374,www.chobi.co.kr,,0234885853,023488  5954,20312,19551115,12
진양화학주,CHINYANG CHEMICAL CORPORATION,진양화학,051630,김상용,Y,1101112141672,1108149202,울산광역시 남구 장생포로 93,www.chinyang.co.kr,,0522780700,0522780848,22214,20010103,12
주더존비즈온,DOUZONE BIZON COLTD,더존비즈온,012510,김용우,Y,1201110005266,1348108473,강원도 춘천시 남산면 버들1길 130,www.douzone.com,,0262333000,0262335090,62022,19770820,12
주와이엔텍,YENTECCOLTD,와이엔텍,067900,김연석 박용하각자 대표이사,K,2062110001540,4178105459,전라남도 여수시 여수산단로 1232,www.y-entec.co.kr,,0616906933,0616906940,38220,19900831,12
주하나 투어리스트,HANA TOURIST INC,하나투어리스트,,윤창원,E,1101112444828,1018179191,서울특별시 종로구 인사동5길 41 공평동 하나빌딩8층,www.hanatourist.com,,0221271753,027255010,75210,20020208,12
줌인터넷주,ZUM internet Corp,줌인터넷,229480,김우승,N,1101114113273,1208740888,서울특별시 서초구 반포대로 3 7층 서초동 이스트빌딩,www.zuminternet.com,,025834640,025836018,63120,20090610,12
주에프에스티,FINE SEMITECH Corp,에프에스티,036810,장명식유장동각자대표이사,K,1101110546006,1248123841,경기도 화성시 동탄면 동탄산단6길 1523 에프에스티,www.fstc.co.kr,,0313700700,0313700805,2629,19870929,12
주에이블씨엔씨,ABLE CC,에이블씨엔씨,078520,이세훈 이해준,Y,1101111846174,1198134685,서울특별시 서초구 서초대로38길 12 13층 서초동 마제스타시티타워원,www.able-cnc.com,,0221990123,0262926922,20423,20000107,12
주라이트론,LIGHTRON INC,라이트론,069540,문승일,K,1601110075170,3148123352,대전광역시 대덕구 문평동로 68 주빛과전자,www.lightron.co.kr,,0429307700,0329307729,264,19981027,12
주엔에스,NS Co Ltd,엔에스,217820,이세용,K,1348110045535,1248167704,충청북도 청주시 청원구 오창읍 각리1길 27,www.cns2.co.kr,,0432187056,0432187059,292,19991110,12
제룡전기주,CHERYONG ELECTRIC COLTD,제룡전기,033100,박종태,K,1101110513633,2198109069,서울특별시 광진구 아차산로 628,www.cheryong.co.kr,http://www.cheryongelec.com/,0222046300,0222046388,2811,19861218,12
하나제약주,Hana Pharm Co Ltd,하나제약,293480,이윤하,Y,1311110002409,1248137632,경기도 화성시 향남읍 제약단지로 1339,www.hanaph.co.kr,http://www.hanaph.co.kr/investment/irNotice.do,025777667,025666003,212,19780119,12
프리닉스 주식회사,PRINICS COLTD,프리닉스,,노광호,E,1358110120005,1248638688,경기도 수원시 권선구 산업로 108 고색동 신일중공업주 3층,www.kodakphotoprinter.com,,0312935991,0312935994,26323,20051027,12
에스넷시스템주,S NET SYSTEMSINC,에스넷,038680,조태영,K,1101111647671,1208186581,서울특별시 강남구 선릉로 514 성원빌딩,www.snetsystems.co.kr,,02 34692939,02 34692987,62021,19990208,12
케이엠제약주,KMPHARMACEUTICAL CoLtd,케이엠제약,225430,강일모,K,1101115779909,4208600149,경기도 평택시 포승읍 평택항로268번길 121 ,없음,,0269155342,0234778423,204,20150710,12
주세화피앤씨,SEWHA PC INC,세화피앤씨,252500,이훈구,K,1101116153095,8698700472,충청북도 진천군 초평면 은암길 36 ,www.sewha.co.kr,,025554019,0269155804,204,20160818,12
주제이웨이,J way CoLtd,제이웨이,058420,이인범,K,1101111025439,1138129812,광주광역시 광산구 장신로50번길 922장덕동3층,jway.kr,,0234008500,024004554,59130,19940406,12
주디케이티,DK TECH COLTD,디케이티,290550,최남채,K,1201110615990,1228624946,인천광역시 부평구 안남로418번길 10 5층,www.dtktech.co.kr/,,07043243293,0325165614,26224,20120621,12
주엔에이치엔벅스,NHN BUGS Corporation,NHN벅스,104200,양주일,K,1101112539322,2118715555,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,www.bugs.co.kr,,03180384186,0220330099,582,20020603,12
주알톤스포츠,Alton Sports Co Ltd,알톤스포츠,123750,김신성,K,1101114313807,1078733730,경기도 성남시 분당구 판교역로 221 12층삼평동 투썬월드빌딩,www.altonsports.co.kr,,024220574,0415312772,31991,20100325,12
주한국경제티브이,Korea Business News CO LTD,한국경제TV,039340,이봉구,K,1101111767510,1078170183,서울특별시 영등포구 버드나루로 84 제일빌딩,www.wownet.co.kr,,0266760019,66760334,60221,19990906,12
주대우로지스틱스,DAEWOO LOGISTICS CORP,대우로지스틱스,,안용남,E,1101111703514,1048146011,서울특별시 중구 퇴계로 18 대우재단빌딩 17층,www.dwlogistics.co.kr,,027500422,,50112,19990621,12
주엘앤씨바이오,LC BIO Co Ltd,엘앤씨바이오,290650,이환철,K,1311110288992,1298664008,경기도 성남시 중원구 둔촌대로 474 605호 606호 607호 선텍시티,www.lncbio.co.kr,,0317762975,025418578,212,20110802,12
주마이크로컨텍솔루션,Micro Contact Solution CoLtd,마이크로컨텍솔,098120,양승은,K,1845110022448,6218137017,충청남도 천안시 서북구 성거읍 오송2길 1521,www.mcsgroup.co.kr,,0416214331,0416214220,2629,19991228,12
고려산업주,KOREA INDUSTRIAL COLTD,고려산업,002140,전장열 김영교각자 대표이사,Y,1801110001494,6048100024,부산광역시 사상구 새벽시장로 21감전동,www.hafeed.co.kr,,0516005069,0516005029,10620,19570724,12
주배럴,BARREL Co Ltd,배럴,267790,이상훈 서종환,K,1101114256924,1058739951,서울특별시 강남구 논현로 709 4층논현동 로얄빌딩,www.getbarrel.com,,023353176,025173176,1419,20100107,12
대한약품공업주,DaehanPharmaceutical,대한약품,023910,이윤우,K,1101110080484,1078134737,서울특별시 영등포구 선유로45길 3,www.daihan.com,,0226788443,0226719636,21210,19630511,12
주우정바이오,WOOJUNG BIO Inc,우정바이오,215380,천병년,K,1101115649938,8108600018,경기도 수원시 영통구 광교로 145 차세대융합기술원 B동 3층,,,0318889369,0318889368,701,20150225,12
주동원개발,DongwonDevelopment,동원개발,013120,장복만,K,1801110029438,6048119275,부산광역시 수영구 수영로 754 동원빌딩 민락동센텀비스타동원,www.dongwonapt.co.kr,,051 645 3113,0516304139,41112,19780331,12
주모나미,MONAMI COLTD,모나미,005360,송하경,Y,1101110005052,1208108227,경기도 용인시 수지구 손곡로 17 동천동 모나미빌딩,www.monami.com,,0312160153,022705120,46452,19671228,12
