crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주에너토크,ENERTORK LTD,에너토크,019990,장기원,K,1101110530687,1288105641,경기도 여주군 능서면 능여로 344,www.enertork.com,,025550883,0318815860,29133,19870516,12
해원에스티주,HAE WON STEELTECHCOLTD,해원에스티,058480,안 양 순,E,2001110065213,4108134026,광주광역시 광산구 하남산단7번로 39,www.hwst.co.kr,,0629587000,0629587095,24121,19960603,12
주보락,BOLAK COLTD,보락,002760,정기련,Y,1348110004474,1248134203,경기도 화성시 양감면 초록로 72037,www.bolak.co.kr,,0313526455,0313524341,2049,19590817,12
주국동,KUKDONG CORPORATION,국동,005320,변상기,Y,1101110084767,2188106865,서울특별시 동대문구 천호대로 405 78층장안동동보빌딩,www.kd.co.kr,,0234077710,0222437779,46413,19671208,12
글로본주,GLOBON CO LTD,글로본,019660,한상호,K,1101110514011,1168116261,서울특별시 강남구 도산대로 331 ,www.globon.co.kr,,0316987300,0269340801,468,19861220,12
팅크웨어주,ThinkwareSystemsCorporation,팅크웨어,084730,이흥복,K,1101111394420,2298126731,경기도 성남시 분당구 판교역로 240 삼환하이펙스 A동 9층,www.thinkware.co.kr,,025899000,025899200,264,19970326,12
신풍제지주,SHINPOONG PAPER MFG COLTD,신풍제지,002870,정동원,Y,1347110002644,1258105545,경기도 평택시 고덕면 고덕로 14432 신풍제지,www.shinpoongpaper.com,,0221567521,0316698292,17123,19600106,12
양산컨트리클럽주,Yangsan Country Club Corp,양산컨트리클럽,,현재열,E,1845110004579,6218103711,경상남도 양산시 상북면 충렬로 687 소토리 양산컨트리클럽,https://www.yangsancc.co.kr,,0553790000,0553790098,91121,19890605,12
주대구백화점,Daegu Department Store Co Ltd,대구백화점,006370,구정모,Y,1701110003814,5018100026,대구광역시 중구 동성로 30 9층 재무팀,www.debec.co.kr,,0534231234,4207931,47111,19691226,12
주아이비케이캐피탈,IBK Capital Corporation,아이비케이캐피탈,,김성태,E,1101110509342,2208128519,서울특별시 강남구 테헤란로 414 대치동 LB타워,www.ibkcapital.co.kr,,025319413,025319401,64919,19861101,12
디케이락주,DKLok Corporation,디케이락,105740,노은식,K,1801110121507,6068162536,경상남도 김해시 주촌면 골든루트로129번길 7,dklok.com,,0553380114,0553386743,29133,19920120,12
환인제약주,WHANIN PHARM COLTD,환인제약,016580,이광식 이원범각자 대표이사,Y,1101110339542,2158136171,서울특별시 송파구 법원로6길 11 문정동 환인빌딩,www.whanin.co.kr,,024053000,024042518,21210,19821216,12
주파워로직스,POWER LOGICS,파워로직스,047310,김원남,K,1101111459191,1058189099,충청북도 청원군 옥산면 과학산업4로 163,www.powerlogics.co.kr,,0432195600,0432157022,2812,19970903,12
