crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주메카로,MECAROCOLTD,메카로,241770,이재정,K,1201110233338,1318159560,경기도 평택시 산단로 10314,www.mecaro.com,,0316464400,0316634479,20499,20001101,12
삼화전기주,SAMWHA ELECTRIC COLTD,삼화전기,009470,오영주 박종온,Y,1501110000856,3158100390,충청북도 청주시 흥덕구 봉명로 3 복대동,www.samwha.co.kr,,0432610200,0432635635,26291,19731210,12
주코스온,COSON Co Ltd,코스온,069110,이동건,K,1101111823289,1068184011,서울특별시 강남구 영동대로 333 8층대치동동원빌딩,coson.co.kr,,0234540276,0234540278,20423,19991207,12
주식회사에스코넥,S Connect Co LTD,에스코넥,096630,박순관단독대표이사,K,1311110045540,1298132103,경기도 광주시 오포읍 마루들길172번길 30,www.syconnect.co.kr,,0317990700,0317990769,26422,20000111,12
케이티텔레캅 주,KT Telecop CoLtd,케이티텔레캅,,정준수,E,1101113563023,1138609204,서울특별시 구로구 가마산로 291 KT텔레캅빌딩,www.kttelecop.co.kr,,028188027,028188039,75310,20061117,12
주엔케이,NK COLTD,엔케이,085310,천남주,Y,1801110054641,6038106888,부산광역시 강서구 녹산산단17로 113주엔케이,www.nkcf.com,,0512042211,0519741315,2512,19840801,12
유엔젤주,UANGEL CORPORATION,유엔젤,072130,유지원,Y,1311110041192,1298129383,경기도 성남시 분당구 황새울로240번길 3,www.uangel.com,,0317106200,0317106301,631,19990714,12
나이스평가정보주,NICE Information Service Co Ltd,NICE평가정보,030190,심의영,K,1101110393283,1168115020,서울특별시 영등포구 은행로 17 NICE 그룹1사옥,www.niceinfo.co.kr,www.niceinfo.co.kr,0221224000,0221224111,63991,19850228,12
주케이엔더블유,KNW Co Ltd,케이엔더블유,105330,오원석,K,1311110056480,1298139315,경기도 파주시 문산읍 돈유3로 51 주케이엔더블유,www.knwkorea.com,,0319500200,0319500243,262,20010112,12
영화테크주,Younghwa Tech Co Ltd,영화테크,265560,엄준형,K,1615110038129,3128143672,충청남도 아산시 둔포면 아산밸리로 132,www.yhtec.com,,0415852685,,3033,20000808,12
주유양디앤유,YUYANG DU COLTD,유양디앤유,011690,김상옥 박일각자 대표,Y,1101110204498,2208121836,경기도 화성시 팔탄면 율암길 223,www.yuyang.co.kr,,0313507437,0313507416,2611,19761104,12
주이루온,ELUON Corporation,이루온,065440,이승구 이영성 각자 대표이사,K,1101111538664,2148623042,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 9층 905호,eluon.com,,07044891000,0316281940,58221,19980423,12
한미반도체주,HANMI Semiconductor CO LTD,한미반도체,042700,곽동신,Y,1201110038423,1378102051,인천광역시 서구 가좌로30번길 14,www.hanmisemi.com,,0325719100,0325785557,29271,19801224,12
주글로벌스탠다드테크놀로지,GlobalStandardTechnologyCoLtd,GST,083450,김덕준,K,1313110038864,1258139609,경기도 화성시 동탄면 동탄산단6길 1513,www.gst-in.com,,0313712200,0313712313,29271,20011012,12
주식회사 티에스인베스트먼트,TSInvestment Corporation,티에스인베스트먼트,246690,김웅,K,1101113840843,2208761581,서울특별시 강남구 선릉로 531 3층 302호,www.tsinvestment.co.kr,,0262505700,025622610,64209,20080228,12
주메타바이오메드,METABIOMEDCOLTD,메타바이오메드,059210,오석송,K,1501110041925,3158135211,충청북도 청주시 흥덕구 오송읍 오송생명1로 270,wwwlmeta-biomed.com,,0432181981,0432181985,21300,19990701,12
국도화학주,KUKDO CHEMICAL COLTD,국도화학,007690,이삼열 이시창,Y,1101110126642,1198104497,서울특별시 금천구 가산디지털2로 61,www.kukdo.com,,0232821400,0232821486,20111,19720222,12
우진비앤지주,WooGeneBGCOLtd,우진비앤지,018620,강석진 강재구각자 대표이사,K,1243110014409,1248114283,경기도 화성시 양감면 정문송산로 230,www.woogenebng.com,,027952361,027979863,21230,19851217,12
에이치케이자산관리대부 주식회사,HK AMC CoLtd,에이치케이자산관리대부,,김재광,E,1601110290257,3148620030,대전광역시 서구 둔산서로 81,,,0234684011,0234684401,64999,20101213,12
주우전,WOOJEON CO LTD,우전,052270,이종우,E,1101111459969,2208147665,서울특별시 금천구 가산디지털1로 3323 가산동,www.woojeon.co.kr,,0221050600,0234686899,262,19970905,12
주이노테라피,InnoTherapy Inc,이노테라피,246960,이문수,K,1101114327915,1078734817,서울특별시 영등포구 선유로13길 25 에이스하이테크시티 2차 1209호,www.innotherapy.com,,0269591338,0269741734,70119,20100419,12
주코셋,Coset Inc,코셋,189350,오치형 주관종,N,2101110025083,4028129880,광주광역시 북구 첨단벤처로60번길 39,coset.com,,0629758811,0629758889,26410,19991011,12
주뉴프렉스,NEWFLEXTECHNOLGYCoLTD,뉴프렉스,085670,임우현,K,1350110103601,1348156859,경기도 안산시 단원구 신길동 10556034호,www.newflex.co.kr,,0314949325,0314931305,2622,20000622,12
