crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
코웰패션주,COWELL FASHION COLTD,코웰패션,033290,최용석 임종민,K,1101110166127,1248122987,경기 수원시 팔달구 원천동 381,www.pilkor.co.kr,www.cowellfashion.co.kr,031 217 2500,03180600799,144,19740611,12
주에듀파트너,Edupartner Co Ltd,에듀파트너,208890,최용섭 김현균,N,1101114073188,1018646147,서울특별시 마포구 양화로 125 8층서교동경남관광빌딩,www.thepartner.co.kr,,0263375410,0263375429,857,20090406,12
주나라소프트,NARASOFT CoLtd,나라소프트,288490,김호상,N,1101112669369,2148727142,서울특별시 서초구 강남대로 163 2층 양재동 혜인빌딩,www.narasoft.com,,0234877988,,582,20021209,12
큐캐피탈파트너스주,Q Capital Partners Co Ltd,큐캐피탈,016600,황희연,K,1101110339691,2208108089,서울특별시 강남구 테헤란로 30611층역삼동 카이트타워,www.qcapital.co.kr,,025382411,025382415,649,19821217,12
태양금속공업주,TAEYANG METAL INDUSTRIAL COLTD,태양금속공업,004100,한우삼 한하워드성각자 대표이사,Y,1101110003212,1348100016,경기도 안산시 단원구 해봉로 212 성곡동,www.taeyangmetal.com,,0314905500,0314922112,303,19540301,12
주에스지충방,SG CHOONGBANG CO LTD,SG충방,001380,이의범,Y,1615110000037,3148108778,충청남도 예산군 예산읍 창말로 75 주SG충방,www.sgchoongbang.com,,07050385498,07043692409,303,19541222,12
알서포트주,RSUPPORT Co Ltd,알서포트,131370,서형수,K,1101114398859,1148682265,서울특별시 송파구 위례성대로 10 방이동 에스타워 9층 10층 11층 12층,www.rsupport.com,http://www.rsupport.com/AboutUs/Pubdisclosures,07070113900,024142721,58222,20100722,12
주진도,JINDOCOLTD,진도,088790,임영준,Y,1101113411024,1198187523,서울특별시 금천구 가산디지털1로 75,www.jindofand.co.kr,,028508270,028647678,467,20060303,12
조선선재주,CHOSUN WELDING POHANG Co Ltd,조선선재,120030,장원영,Y,1717111186312,5068170186,경상북도 포항시 남구 괴동로 43 장흥동,www.chosunwelding.com,,0542898200,025536117,2599,20100101,12
진원생명과학주,GeneOne Life Science Inc,진원생명과학,011000,박영근,Y,1101110191562,1208114898,서울특별시 강남구 학동로 343 더피나클강남 10층,www.genels.com,,025270600,025576784,212,19760127,12
쿠쿠홀딩스주,Cuckoo Holdings CoLtd,쿠쿠홀딩스,192400,구본학,Y,1845110000634,6218102895,경상남도 양산시 유산공단2길 14교동,www.cuckoo.co.kr,,0553800734,0553890709,649,19781115,12
주원익큐브,WONIK CUBE Corp,원익큐브,014190,문경수,K,1101110425432,2208105078,경기도 성남시 분당구 판교로255번길 20 원익빌딩,www.hunus.co.kr,,025308800,03180389303,46739,19790612,12
주대호에이엘,DAEHO AL CoLtd,대호에이엘,069460,노영호,Y,1701110233338,5148146009,대구광역시 달성군 논공읍 논공중앙로 211,www.daeho-al.com,,0536105400,0536105428,24222,20021001,12
대원미디어주,DAEWON MEDIA COLTD,대원미디어,048910,정욱 정동훈,K,1101110222151,1068103487,서울특별시 용산구 한강대로23길 55 6층 11호한강로3가현대아이파크몰 테마파크,daewonmedia.com,,0263733000,027906084,467,19771206,12
주한국코퍼레이션,HANKOOK Corporation Inc,한국코퍼레이션,050540,김현겸 성상윤각자 대표이사,K,1101110793657,1208133916,서울특별시 중구 소월로2길 30 남산트라팰리스,www.mpc.co.kr,,0234014114,0234023551,75991,19910724,12
주유아이디,UIDISPLAY COLTD,유아이디,069330,박종수 대표이사,K,1647110001608,3078102854,충청북도 청주시 청원구 오창읍 양청송대길 51 ,www.uidkorea.co.kr,,0418627576,0448622467,26211,19900518,12
동성화인텍,DONGSUNG FINETEC CO Ltd,동성화인텍,033500,류완수,K,1101110404361,2148108385,부산광역시 사하구 신산로 99 ,www.dsfinetec.co.kr,,0261908500,0261907077,201,19850731,12
현대코퍼레이션홀딩스주,HYUNDAI CORPORATION HOLDINGS CoLtd,현대코퍼레이션홀딩스,227840,장안석,Y,1101115851559,8138800272,서울특별시 종로구 율곡로2길 25,www.hyundaicorpholdings.com,,023901568,023901599,463,20151002,12
주쌍방울,SBW,쌍방울,102280,방용철,Y,1101113891169,1208727416,서울특별시 중구 퇴계로 390 ,www.sbw.co.kr,,0234856000,0234856223,14120,20080502,12
주에스제이케이,SJK COLTD,에스제이케이,080440,이승열 김민강 각자대표,K,1615110016357,3128119788,서울특별시 금천구 벚꽃로 278 SJ테크노빌 205호,SEJIN.COM,,0221062309,028664381,303,19950209,12
