crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주유니온,UNION CORPORATION,유니온,000910,이건영 강병호 각자 대표이사,Y,1101110200579,1048124962,서울특별시 중구 소공로 94 OCI빌딩 13층,www.unioncement.com,,0234558793,02 757  38078,23311,19521206,12
현대아산 주식회사,Hyundai Asan Corporation,현대아산,,배국환,E,1401110011714,2218113834,강원도 고성군 현내면 화진포서길 10,www.hdasan.com,,0236693839,0236693777,75210,19990205,12
주케이티씨에스,ktcs corporation,KTcs,058850,양승규,Y,1601110119712,3148142683,대전광역시 서구 갈마로 160,www.ktcs.co.kr,,0426045138,0426045151,63991,20010702,12
주메지온,Mezzion Pharma Co Ltd,메지온,140410,박동현,K,1101112615578,2048172221,서울특별시 강남구 테헤란로87길 35 씨엔드에치빌딩 3층,-,,025608000,025636517,70113,20020925,12
주엘에이티,LAT CO LTD,엘에이티,311060,박강일,N,1358110251222,1248751034,경기도 수원시 권선구 서부로 1433100 수원산업2단지고색동,www.latplasma.com,,03180195050,03180195051,29271,20140701,12
드림라인주,Dreamline Corporation,드림라인,035430,김창호,E,1101111447021,2208144955,서울특별시 송파구 중대로 135 가락동 아이티벤처타워동관 9층,www.dreamline.co.kr,,0260076144,0260076299,61210,19970731,12
주홈앤쇼핑,Home and Shopping CoLtd,홈앤쇼핑,,최종삼,E,1101114611144,1058758545,서울특별시 강서구 공항대로 150 마곡동 홈앤쇼핑사옥,www.hnsmall.com,,0263641000,0262679808,47919,20110526,12
매일홀딩스주,MAEIL HOLDINGS CO LTD,매일홀딩스,005990,김정완,K,1101110099609,2038143193,서울시 종로구 종로1길 50 더케이트윈타워A동,www.maeil.com,,0221272113,0236756292,64992,19690214,12
삼성물산주,SAMSUNG CT CORPORATION,삼성물산,028260,이영호 고정석 정금용,Y,1101110015762,2028145975,서울특별시 송파구 올림픽로35길 123 ,www.samsungcnt.com,,0221455114,,467,19631223,12
주바이오프로테크,BIO PROTECH INC,바이오프로테크,199290,박익로,N,1101111973729,1088122350,강원도 원주시 문막읍 동화공단로 1513동화첨단의료기기산업단지,www.protechsite.com,,0337357720,0337357736,271,20000519,12
주한국가구,KoreaFurniture,한국가구,004590,최훈학,K,1244110005688,1368105002,서울특별시 강남구 학동로 120,www.koreafurniture.co.kr,,0226007000,0226630990,464,19660520,12
주에프알텍,FRTEKCOLTD,에프알텍,073540,남재국,K,1101112090168,2148669728,경기도 안양시 동안구 시민대로327번길 1125 관양동에프알텍타워,www.frtek.co.kr,,0314701515,0314782116,2642,20001013,12
삼보산업 주식회사,SAMBO Industrial Co Ltd,삼보산업,009620,최찬규 이태용각자대표,K,1801110020246,6098116685,경상남도 창원시 진해구 남의로21번길 36,www.samboind.com,,055 5527130 ,055 541 0135,24222,19740208,12
SK에너지 주식회사,SK Energy Co Ltd,SK에너지,,조경목,E,1101114505967,1018660120,서울특별시 종로구 종로 26 SK에너지,www.skenergy.com,,0221215114,0221217929,19210,20110101,12
주제닉,Genic CoLtd,제닉,123330,박철홍,K,1345110052677,1358149079,경기도 성남시 분당구 판교로255번길 34 3층,genic21.com,,025790833,0317255669,20423,20010927,12
대원화성주,DAEWON CHEMICAL COLTD,대원화성,024890,강동엽,Y,1101110165393,2048136263,서울특별시 강남구 봉은사로 327 궁도빌딩 13층,www.daewon21.co.kr,,0313723992,0313723995,22214,19740523,12
