crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주뉴트리,Newtree Co Ltd,뉴트리,270870,김도언,K,1101112214429,2148680043,경기도 성남시 중원구 사기막골로 124 테크동 1109호 상대원동 SKn테크노파크,www.newtree.co.kr,,0317763494,0317763495,10797,20010412,12
주식회사 비보존,Vivozon Inc,비보존,,이두현,E,1101113910026,2098146636,서울특별시 성동구 아차산로 49 성수동1가 서울숲코오롱디지털타워Ⅲ 604호,www.vivozon.com,,029161004,0232921001,70113,20080601,12
비씨카드 주식회사,BC CARD CO LTD,비씨카드,,이문환,E,1101110356695,2148137726,서울특별시 서초구 효령로 275,www.bccard.com,,025204587,025003156,64913,19830907,12
주유비케어,UBCARE CO LTD,유비케어,032620,이상경 대표이사,K,1101111105364,2018155688,서울특별시 구로구 디지털로33길 28 우림이비지센터1차,www.ubcare.co.kr,,0221055000,02 21055090,58221,19941202,12
한국정보통신주,KoreaInformationCommunication,한국정보통신,025770,권순배 임명수,K,1101110426688,1168119948,서울특별시 중구 세종대로 39 대한서울상공회의소 7층,www.kicc.co.kr,,023680700,027187467,61299,19860509,12
주식회사 비보존,Vivozon Inc,비보존,,이두현,E,1101113910026,2098146636,서울특별시 성동구 아차산로 49 성수동1가 서울숲코오롱디지털타워Ⅲ 604호,www.vivozon.com,,029161004,0232921001,70113,20080601,12
한국쉘석유주,HANKOOK SHELL OIL COLTD,한국쉘석유,002960,강진원,Y,1801110002591,6178100016,부산광역시 남구 신선로 250 용당동,www.shell.co.kr,,0516205133,023933274,19221,19600705,12
에스피반도체통신주식회사,Super Power Semiconductor  Communication CoLtd,에스피반도체통신,,윤수열,E,1211110066499,1308159679,경기도 부천시 원미구 평천로 832 30,www.spsemi.co.kr,,0326807777,0326807719,2612,19990330,12
도이치모터스주,DEUTSCH MOTORS INC,도이치모터스,067990,권오수,K,1942110042721,6098142811,서울특별시 성동구 동일로 111 성수동 2가,www.deutschmotors.com,,0222357301,0552649615,451,19970817,12
주식회사 비보존,Vivozon Inc,비보존,,이두현,E,1101113910026,2098146636,서울특별시 성동구 아차산로 49 성수동1가 서울숲코오롱디지털타워Ⅲ 604호,www.vivozon.com,,029161004,0232921001,70113,20080601,12
조광아이엘아이주,JOKWANG ILI CO LTD,조광ILI,044060,임만수,K,1801110157643,6038121370,경상남도 양산시 산막공단북10길 37 산막동,www.jokwang.co.kr,,0553600200,0553600320,29133,19940531,12
