crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주식회사신세계센트럴시티,Shinsegae Central CityInc,신세계센트럴시티,,박주형,E,1101110087612,1148100569,서울특별시 서초구 신반포로 176 센트럴시티,,,62824061,64243140,52912,19771103,12
다이노나주,DiNonA Inc,다이노나,086080,송형근,N,1101111649627,1048145370,서울특별시 송파구 올림픽로43길 88 아산생명과학 11층풍납동 서울아산병원,www.dinonainc.com,,025780810,025798552,70113,19990211,12
주오스템,AUSTEM COLTD,오스템,031510,김정우,K,1615110006796,3128107773,충청남도 천안시 동남구 수신면 수신로 739,www.yyauto.co.kr,,041 559 2340,0415592401,303,19900307,12
현대중공업주,HYUNDAI HEAVY INDUSTRIES COLTD,현대중공업,009540,가삼현,Y,1812110000386,6208100012,울산광역시 동구 방어진순환도로 1000 현대중공업,www.hhi.co.kr,,0522022114,027464662,31113,19731228,12
한국특수형강주,KOREA STEEL SHAPES COLTD,한국특수형강,007280,장세현 조권제,Y,1801110015362,6068101728,부산광역시 사상구 장인로77번길 52학장동,www.ekosco.com,,0513232611,051 3255713,24121,19710518,12
주테크엔,TECHEN CoLtd,테크엔,308700,이영섭,N,1701110378746,5148168599,대구광역시 달성군 구지면 국가산단대로50길 99,www.techen.co.kr,,0535935678,0535931279,28422,20090527,12
주액토즈소프트,ACTOZ SOFT CO LTD,액토즈소프트,052790,구오하이빈Guo Haibin,K,1101111335656,2018155470,서울특별시 강남구 테헤란로44길 8 아이콘역삼빌딩 10층15층,www.actoz.com,,027478260,7428623,5821,19961029,12
에스지이주,SG CO LTD,SG,255220,박창호,K,1201110517154,1378603486,인천광역시 서구 봉수대로300번길 15 300번길 9,sgholdings.co.kr,,0325746525,0325746527,23991,20091211,12
주식회사 파라텍,Paratech Company Limited,파라텍,033540,안계환,K,1243110000573,1308100241,경기도 부천시 원미구 길주로425번길 3021,www.paradise-ind.co.kr,,0237808704,0237850094,292,19730608,12
주풍산,POONGSAN CORPORATION,풍산,103140,류진 박우동,Y,1313110083497,1258175323,경기도 평택시 포승읍 평택항로156번길 134 주풍산,www.poongsan.co.kr,,0234065846,0234065400,242,20080704,12
인베니아주,INVENIA CoLtd,인베니아,079950,구동범,K,1348110056871,1248180691,경기도 성남시 중원구 갈마치로 214,www.ligadp.com,,0317781114,0317781199,29272,20010126,12
주일신석재,ILSHIN STONE COLTD,일신석재,007110,김학선,Y,1101110153273,2148194289,서울특별시 강동구 성내로 19 서경빌딩 6층,www.ilshinstone.co.kr,,024879009,0247752789,466,19710226,12
