crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주인바디,InBody Co Ltd,인바디,041830,차기철,K,1101111271834,2208113603,서울시 강남구 논현로2길 54개포동 116421,www.inbody.com,,02 501 3939,025785669,27199,19960515,12
대성산업주,DAESUNG INDUSTRIAL CO LTD,대성산업,128820,김영대 지관각자대표,Y,1101114382612,1018656344,서울특별시 구로구 경인로 662신도림동 디큐브시티,www.daesung.co.kr,,0221702125,027239339,477,20100630,12
주웰크론한텍,WELCRON HANTEC COLTD,웰크론한텍,076080,이영규 이기창 이영식,K,1101111118276,1268123094,경기도 화성시 향남읍 발안공단로 9236,www.welcronhantec.co.kr,,0313508900,028541681,411,19950112,12
주전우정밀,JEONWOO PRECISION CoLtd,전우정밀,120780,김동진 박원호,N,1701110206327,5038151161,경상북도 경산시 진량읍 공단8로 24,www.jwjm.com,,0538595404,0538595495,303,20010926,12
주노브메타파마,NovMetaPharma Co Ltd,노브메타파마,229500,황선욱,N,1101114465111,1208761016,서울특별시 강남구 언주로 727 13층 논현동 트리스빌딩,www.novmeta.com,,025381893,025381895,70113,20101104,12
주엘앤케이바이오메드,LK BIOMED CO LTD,엘앤케이바이오,156100,강국진이승주각자 대표,K,1101114017227,1058726820,경기도 용인시 기흥구 동백중앙로16번길 1625 201호,www.lnkbiomed.com,,0267171911,16000843,27192,20081222,12
현대로템주,HyundaiRotem Co,현대로템,064350,이건용,Y,1942110036336,6098137486,경상남도 창원시 의창구 창원대로 488,www.hyundai-rotem.co.kr,,0552731341,0234647581,31201,19990701,12
주식회사 중앙일보,Joongang Ilbo,중앙일보,,홍정도,E,1101110051493,1108100999,서울특별시 중구 서소문로 100 서소문동 중앙일보구관,www.joongang.co.kr,,7519778,7519843,58121,19650317,12
동국산업주,DONGKUK INDUSTRIES COMPANY,동국산업,005160,장세희 안상철,K,1101110085583,2028147522,서울특별시 중구 다동길 46,www.dkis.co.kr,,023167500,027775029,24122,19670901,12
주아모텍,Amotech Co Ltd,아모텍,052710,김병규 정준환 각자 대표이사,K,1244110019308,1368112269,인천광역시 남동구 남촌동 617 남동공단 5블럭 1롯트,www.amotech.co.kr,,0319890506,025177183,2629,19941019,12
주식회사 케이알파트너스,KR PARTNERS CoLtd,케이알파트너스,,김준헌,E,1101114299693,1138637262,서울특별시 구로구 디지털로32가길 16 1301호 구로동 파트너스타워2차,,,0215663441,0220283050,66199,20100309,12
무림에스피주,MOORIM SP CO LTD,무림SP,001810,김석만,K,1701110001082,2118163282,서울특별시 강남구 강남대로 656 신사동,www.moorim.co.kr,,02 34851603,0234432297,1712,19560726,12
주아프리카티비,AfreecaTV Co Ltd,아프리카TV,067160,Seo Soo Kiel Jung Chan Yong,K,1101111263203,2208110886,경기도 성남시 분당구 판교로228번길 15 판교7벤처밸리3 1단지 2동 201 901호,corp.afreecatv.com,,0316228380,0316228010,582,19960422,12
코오롱생명과학주,KOLON LIFE SCIENCE Inc,코오롱생명과학,102940,이우석,K,1101111948277,1048152769,서울특별시 강서구 마곡동로 110 코오롱 OneOnly 타워,-,,0236774151,0236774159,2110,20000421,12
주인성정보,INSUNG INFORMATION CO LTD,인성정보,033230,원종윤,K,1101110834378,2158158985,서울특별시 송파구 위례성대로22길 28 인성정보,www.insunginfo.co.kr,,0234007000,0234011127,62021,19920210,12
주한국팩키지,HANKUK PACKAGE CO LTD,한국팩키지,037230,단재완 이명신,K,1350110040291,1348118419,경기도 안산시 단원구 해안로 227 주한국팩키지,www.hkpak.co.kr,,025658600,025658674,17223,19931108,12
태림페이퍼주,TAILIM PAPER COLTD,태림페이퍼,019300,김영식,E,1301110026236,1348105796,경기도 안산시 단원구 해안로 104 목내동,www.tailimpaper.co.kr,,0314910010,0314910023,1712,19860916,12
우리이티아이주,WOOREEETICOLTD,우리이티아이,082850,윤철주 차기현,K,1350110103198,1348155919,경기도 안산시 단원구 성곡로 79 성곡동608블럭30롯트,www.wooreeeti.co.kr,,0314948828,0314943883,28410,20000525,12
주제이티,JT Corporation,제이티,089790,유홍준,K,1211110061910,1308156518,충청남도 천안시 서북구 직산읍 4산단3로 135,www.jtcorp.co.kr,,07041720100,0415840134,29271,19980707,12
주녹십자홀딩스,Green Cross Holdings,녹십자홀딩스,005250,허일섭 허용준,Y,1345110000014,1358105009,경기 용인시 구성읍 동백리 주녹십자 303,www.greencross.com,,0312609300,0312609405,715,19671005,12
주감마누,Gamma Nu Inc,감마누,192410,김상기 위청드어 공동 대표이사,K,1301110044808,1248152292,경기도 화성시 동탄면 금곡로 18544,www.gammanu.com,,0318318800,0318318811,2642,19971015,12
주신세계아이앤씨,SHINSEGAE INFORMATION  COMMUNICATION Inc,신세계IC,035510,김장욱,Y,1101111408867,2018120549,서울특별시 중구 소공로 48 10층회현로2가 프라임타워,www.shinsegae-inc.com,,0233971234,0233971099,62021,19970429,12
주골프존뉴딘홀딩스,GOLFZON NEWDIN HOLDINGS Co Ltd,골프존뉴딘홀딩스,121440,최덕형,K,1601110097976,3058137721,서울특별시 강남구 영동대로 735,company.golfzon.com,,0428628109,0428622946,64992,20000508,12
주바이오제네틱스,BioGenetics COLTD,바이오제네틱스,044480,하관호 안주훈각자대표,K,1501110000765,3158100385,충청북도 증평군 증평읍 광장로 4733 주유니더스,www.unidusok.com,,0222033835,024245760,22193,19730523,12
크리스탈지노믹스주,CrystalGenomicsIncorporation,크리스탈,083790,조중명,K,1601110101016,3148134562,경기도 성남시 분당구 대왕판교로 700 코리아바이오파크 A동 5층 6층 7층,www.cgxinc.com,,0316282700,0316282723,70113,20000707,12
주한컴지엠디,Hancom GMD Inc,한컴지엠디,077280,김현수,K,1101111372236,2298125921,경기도 성남시 분당구 대왕판교로644번길 49 한컴타워,www.dawintech.com,,0316226111,0316226112,582,19970130,12
주식회사 케이비국민카드,KB Kookmin Card Co Ltd,케이비국민카드,,이동철,E,1101114546523,1018661717,서울특별시 종로구 새문안로3길 30,www.kbcard.com,,0269364114,0269362279,64913,20110302,12
롯데쇼핑주,LOTTE SHOPPING COLTD,롯데쇼핑,023530,이원준 강희태,Y,1101110000086,1048126067,서울특별시 중구 남대문로 81 소공동,www.lotteshopping.com/,http://www.lotteshoppingir.com/,027712500,0221182028,47111,19700702,12
키움증권주,KIWOOM Securities CoLtd,키움증권,039490,이 현,Y,1101111867948,1078176756,서울특별시 영등포구 여의나루로4길 18 여의도동키움파이낸스스퀘어빌딩,www.kiwoom.com,,0237875000,0237875136,66121,20000401,12
주버추얼텍,VirtualTek Corporation,버추얼텍,036620,서지현,K,1101111061954,1058166548,서울특별시 서초구 사평대로 68 서울시 서초구 사평대로68 에스타워 4층,www.virtualtek.co.kr,,02 333 3012,023338651,467,19940728,12
주이노션,INNOCEAN WORLDWIDE INC,이노션,214320,안건희,Y,1101113229097,2208709310,서울특별시 강남구 강남대로 308,www.innocean.com,,0220162300,0220162151,71310,20050517,12
KR모터스주,KR MOTORS CO LTD,KR모터스,000040,서정민,Y,1601110007032,3058100020,경상남도 창원시 성산구 완암로 28 　,www.krmotors.com,,0552827011,0552812664,31920,19170917,12
대한제당주,TS CORPORATION,대한제당,001790,양청완,Y,1201110018368,1218107309,인천광역시 중구 월미로 116북성동1가,www.ts.co.kr,,0327701400,0327701601,106,19560706,12
주에스에프에이반도체,SFA Semicon Co Ltd,SFA반도체,036540,김영민,K,1615110027263,3128130935,충청남도 천안시 서북구 백석공단7로 16 STS반도체통신주,www.sts-semi.co.kr,www.sfasemicon.com,041 529 0708,0416215384,2611,19980630,12
주부방,Bubang Co Ltd,부방,014470,박주원,K,1101110265523,1208131617,서울특별시 강남구 삼성로 528 부방빌딩,main.lihom-cuchen.com,,0220087272,025568986,64992,19791214,12
케이티하이텔주,KTHitel Co Ltd,KTH,036030,김철수,K,1101110822026,2118179649,서울특별시 동작구 보라매로5길 23 삼성보라매옴니타워,www.kthcorp.com,,0215885668,0232892060,461,19911212,12
현대중공업지주주식회사,HYUNDAI HEAVY INDUSTRIES HOLDINGS COLTD,현대중공업지주,267250,권오갑,Y,1701110638661,5398600614,대구광역시 달성군 유가면 테크노순환로3길 50,,,0536707114,,64992,20170403,12
주프리젠,PREGEN INC,프리젠,060910,박완제,E,1342110036247,1268144269,경상북도 경주시 건천읍 용명공단길 1738 용명리,smecs.kr,,0438797000,0317306793,26211,20000328,12
주식회사 지놈앤컴퍼니,GenomeCompany,지놈앤컴퍼니,314130,배지수,N,1341110422240,6278700257,경기도 성남시 분당구 판교로 253 A동 801 802 806호,genomecom.co.kr,,0316280150,03180180553,211,20150924,12
현대종합특수강 주식회사,HYUNDAI SPECIAL STEEL COMPANY,현대종합특수강,,임영빈,E,1101114505595,1208762602,서울특별시 강남구 강남대로 308 10층역삼동 랜드마크타워,www.hyundai-specialsteel.com,,0261918533,0261918591,24123,20110101,12
주세미콘라이트,Semicon Light CoLtd,세미콘라이트,214310,박은현,K,1311110191004,1298611651,경기도 용인시 기흥구 원고매로2번길 49고매동,www.semiconlight.com,www.semiconlight.com,0312826425,0312826426,2612,20070704,12
주아이씨디,ICD CoLtd,아이씨디,040910,이승호,K,1301110058560,1248170233,경기도 안성시 대덕면 만세로 274,www.i4cd.co.kr,,0316783333,0316783301,29271,20000226,12
네이버주,NAVER Corporation,NAVER,035420,한성숙,Y,1101111707178,2208162517,경기도 성남시 분당구 불정로 6,www.navercorp.com,,15883830,0317844175,63120,19990602,12
주셀트리온헬스케어,Celltrion Healthcare Co Ltd,셀트리온헬스케어,091990,김형기,K,1341112007066,1238153473,인천광역시 연수구 아카데미로51번길 19 4층,www.celltrionhealthcare.com/kr/index.do,,0328506400,0322601217,467,19991229,12
주비엔디생활건강,BD Life Health COLTD,비엔디생활건강,215050,이다니엘,N,1101114768440,2158763345,충청북도 음성군 생극면 생극산단길 31주비엔디생활건강,www.e-seje.com,,025528481,025528482,20421,20120105,12
현진소재주,HYUNJIN MATERIALS CO LTD,현진소재,053660,이창규,K,1801110062008,6038106646,부산광역시 강서구 녹산산단289로 92 현진소재주,www.hjmco.co.kr,,0516027700,0516027777,25912,19780425,12
주예스코,Yesco Co Ltd,예스코,,천성복,E,1101116708494,7328801079,서울특별시 성동구 자동차시장길 23,www.lsyesco.com,,0222107402,0233903112,3520,20180403,12
주세아홀딩스,SEAH HOLDINGS CORP,세아홀딩스,058650,이태성 천정철,Y,1101112276809,1048163174,서울특별시 마포구 양화로 45,www.seahholdings.co.kr,,0269700110,0269700127,64992,20010701,12
다인바이오 주식회사,dynebioinc,다인바이오,,이제현,E,1345110035889,1358133747,경기도 성남시 중원구 사기막골로45번길 14 비동 비205호상대원동 성남우림라이온스밸리,dynebio.co.kr,,0317488166,0317488265,21101,19990909,12
주휴스틸,HUSTEEL COLTD,휴스틸,005010,박훈,Y,1101110077283,1078111563,서울특별시 강남구 테헤란로 512 대치동 신안빌딩 14층,www.husteel.com,,028289000,028289100,2413,19670418,12
한국제지주,HANKUK PAPER MFG COLTD,한국제지,002300,안재호,Y,1101110002818,2148103513,서울특별시 강남구 테헤란로 504 해성빌딩 19층,www.hankukpaper.com,,0234757200,0234732133,1712,19580225,12
주씨에스에이코스믹,CSA COSMIC CO LTD,CSA 코스믹,083660,조성아,K,1101110657499,2068147219,서울특별시 강남구 학동로30길 20 ,www.gentro.co.kr,,024830077,0262030155,22229,19891107,12
동원산업주,DONGWON INDUSTRIES COLTD,동원산업,006040,이명우,Y,1101110003098,2298111150,서울특별시 서초구 마방로 68 양재동,www.dw.co.kr,,025893333,5893775,03111,19690416,12
주나무가,Namuga CoLtd,나무가,190510,서정화,K,1311110126192,1298177736,경기도 성남시 중원구 사기막골로 124 709호상대원동 SKn테크노파크,www.namuga.co.kr,,07070128400,0317760122,262,20041014,12
에스케이씨 솔믹스주,SKC solmics Co Ltd,SKC 솔믹스,057500,오준록,K,1347110014631,1258116042,경기도 평택시 경기대로 1043,www.skcsolmics.com,,0316608400,0316608401,2629,19950719,12
주엔에스컴퍼니,NSCompany CO LTD,엔에스컴퍼니,224760,김동진 남세우 각자 대표이사,N,1101111089401,3128119833,경상북도 경주시 외동읍 구어2산단로 127 ,www.nscompany.co.kr,www.nscompany.co.kr,0522892888,0522879344,412,19941024,12
현대상선주,HYUNDAI MERCHANT MARINE COLTD,현대상선,011200,배재훈,Y,1101110193740,2028146197,서울특별시 종로구 율곡로 194,www.hmm21.com,,0237065114,027232193,50112,19760325,12
한국정밀기계주,HNK MACHINE TOOL COLTD,한국정밀기계,101680,하종식,K,1943110006189,6088131228,경상남도 함안군 법수면 윤외공단길 831,www.hnkkorea.com,,07070196514,0555806699,29223,19880421,12
대한뉴팜주,DAEHAN NEW PHARM CO LTD,대한뉴팜,054670,이완진 이영섭각자대표,K,1101110383515,2298110729,경기도 화성시 향남읍 상신리 9043,www.dhnp.co.kr,,0234157804,025811644,21230,19841020,12
주인터불스,Interbulls Co Ltd,인터불스,158310,박원석,K,1201110137572,1228151114,경기도 안산시 단원구 엠티브이4로48번길 22 목내동,www.sehorobo.com,,03180850700,0314321047,29280,19960726,12
태평양물산주,PANPACIFIC COLTD,태평양물산,007980,임석원,Y,1301110010031,1348105011,서울특별시 구로구 디지털로31길 12 태평양물산,www.panpacific.co.kr,,028509000,028301011,141,19720630,12
주신세계푸드,SHINSEGAE FOOD Inc,신세계푸드,031440,김운아 성열기각자대표,Y,1101110305288,2158147377,서울특별시 성동구 성수일로 56 성수동BY센터 47층성수동2가 백영 성수빌딩,www.shinsegaefood.com,,0233976000,0233976198,56130,19791011,12
주희림종합건축사사무소,Heerim Architects  Planners,희림,037440,정영균 이목운 허철호 염두성 각자대표,K,1101110660806,2148115867,서울특별시 강동구 상일로6길 39,www.heerim.com,,0234109219,02 34109098,72111,19960730,12
롯데제과주,LOTTE CONFECTIONERY COLTD,롯데제과,280360,신동빈 이영호 민명기,Y,1101116536481,1868100924,서울특별시 영등포구 양평로21길 10,www.lotteconf.co.kr/,,0226706302,0266726600,10713,20171001,12
주멀티캠퍼스,Multicampus Corporation,멀티캠퍼스,067280,유연호,K,1101111960792,1048153114,서울특별시 강남구 언주로 508 서울상록회관 17층,www.multicampus.com,,0262629114,0262629125,85650,20000504,12
대원산업주,Daewonsanup,대원산업,005710,허재건 허재명 김재덕,K,1301110007533,1348104254,경기도 안산시 단원구 원시로 179,www.dwsu.co.kr,,031 495 2301,0314912701,303,19680910,12
주녹십자,Green Cross Corporation,녹십자,006280,허은철,Y,1101110109854,3038117108,경기도 용인시 기흥구 이현로30번길 107보정동,www.greencross.com,,0312609304,0312609405,21210,19691101,12
신라젠주,SillaJen Inc,신라젠,215600,문은상,K,1801110550194,6038161936,부산광역시 북구 효열로 111 부산지식산업센터 6층,www.sillajen.com,,023682600,027837555,70113,20060328,12
주에스제이엠홀딩스,SJM HOLDINGS COLTD,에스제이엠홀딩스,025530,김용호 김휘중각자대표이사,Y,1301110008862,1348102386,경기도 안산시 단원구 별망로459번길 20,www.sjmholdings.co.kr,,0314914151,0314913799,64992,19750331,12
동양파일주,TONGYANG PILE Inc,동양파일,228340,김시년 한웅걸각자 대표이사,K,1648110073035,3128653248,충청남도 아산시 염치읍 아산온천로 16127,www.tongyangphc.com,,0237703157,025455775,23325,20130612,12
삼본정밀전자주,SAMBON PRECISION  ELECTRONICS COLTD,삼본정밀전자,111870,조부현,K,1243110021149,1308121004,경기도 부천시 오정구 삼작로107번길 52,www.esambon.com,,0326837300,0326785868,265,19880222,12
