crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주씨이랩,XIIlab CoLtd,씨이랩,189330,이우영,N,1101114401438,1198631534,서울특별시 강남구 논현로76길 94층 역삼동서울강남빌딩,www.xiilab.com,,0220393147,0269149373,62010,20100727,12
주MH에탄올,MHETHANOL COLTD,MH에탄올,023150,윤현의,Y,1901110003563,6088103800,경상남도 창원시 마산회원구 내서읍 광려천남로 25,www.mhethanol.com,,0552310701,0552311282,11121,19780704,12
한국콜마주,KOLMAR KOREA COLTD,한국콜마,161890,윤상현 이호경 안병준,Y,1647110030756,3078138444,세종특별자치시 전의면 덕고개길 1211,www.kolmar.co.kr,,0234850332,025151531,20423,20121002,12
주고영테크놀러지,KohYoungTechnologyInc,고영,098460,고광일,K,1101112508088,1048171655,서울특별시 금천구 가산디지털2로 53 가산동 한라시그마밸리 14층 15층,www.kohyoung.com,,0263436000,0263436001,29271,20020425,12
주에스앤에스텍,SS TECH CORPORATION,에스앤에스텍,101490,정수홍,K,1311110057925,1298140113,대구광역시 달서구 호산동로 42,-,,0535891600,0535891639,2629,20010222,12
한솔제지주,Hansol Paper Co Ltd,한솔제지,213500,이상훈,Y,1101115604700,1048658322,서울특별시 중구 을지로 100 비동 을지로2가 파인애비뉴,www.hansolpaper.co.kr,,0232876040,0260310909,1712,20150102,12
주베셀,Vessel Co Ltd,베셀,177350,서기만,K,1358110105388,1248621867,경기도 수원시 권선구 산업로155번길 281 ,www.vessel21.com,,0316833953,0312359194,29272,20040617,12
주인터플렉스,INTERFLEX CO LTD,인터플렉스,051370,백동원,K,1350110042924,1348121874,경기도 안산시 단원구 강촌로 149 스마트센터,www.interflex.co.kr,,0314944290,0314365090,2622,19940719,12
주씨티젠,CTGen CoLtd,씨티젠,036170,손순종,K,1301110023349,1248122158,경기도 수원시 영통구 신원로 170 신동,www.ctgen.kr,,031 205 5300,0312055305,2612,19931202,12
주휘라포토닉스,FIRA PHOTONICSCOLTD,휘라포토닉스,,이종주,E,2001110107057,4098150628,광주광역시 북구 첨단벤처소로38번길 115 월출동,www.fi-ra.com,,0626000000,0626000099,26410,19991103,12
진흥기업주,CHINHUNG INTERNATIONAL INC,진흥기업,002780,노재봉,Y,1101110006349,1068132769,인천광역시 연수구 컨벤시아대로 69 송도동  송도밀레니엄 807호,www.chinhung.co.kr,,027721200,027769678,41221,19590903,12
대한유화주,KOREA PETRO CHEMICAL IND COLTD,대한유화,006650,정영태,Y,1101110024698,1048106794,서울특별시 종로구 자하문로 77 유남빌딩,www.kpic.co.kr,,0221221515,0221221459,20111,19700602,12
주지에스엘,GSL pharmaceuticalco Ltd,지에스엘,,주기영,E,1511110036842,3038157696,서울특별시 금천구 벚꽃로 278 가산동 SJ테크노빌,www.g-sl.co.kr,,0438553071,0438553074,10797,20000301,12
주바텍,ValueAddedTechnologyCoLtd,바텍,043150,현정훈,K,1341110036348,1238128203,경기도 화성시 삼성1로2길 13석우동,www.vatech.co.kr,http://www.vatechcorp.co.kr/stock,0316792000,0313799646,271,19920404,12
