crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
남화토건주,Nam Hwa Construction Company Limited,남화토건,091590,최상준 최재훈,K,2001110002843,4088108184,전라남도 화순군 화순읍 벽라1길 40,www.namhwaconst.co.kr,,0625201072,0625201077,411,19590822,12
대원제약주,DAEWON PHARMACEUTICAL COLTD,대원제약,003220,백승호백승열,Y,1101110103955,2078136336,서울특별시 성동구 천호대로 386 대원제약,www.daewonpharm.com,,0222047000,024989108,21210,19610809,12
주케이씨씨,KCC Corporation,케이씨씨,002380,정몽진 정몽익,Y,1101110221814,2148170045,서울특별시 서초구 사평대로 344 주케이씨씨 빌딩,www.kccworld.co.kr,,0234805000,0234805437,20411,19580812,12
주파인테크닉스,FINE TECHNIX CO LTD,파인테크닉스,106240,김근우이재규,K,1341110173489,1238616212,경기도 안양시 만안구 덕천로 38 주 파인테크닉스,www.finetechnix.com,,0314638800,0314638898,264,20090101,12
삼성SDI주,SAMSUNG SDI COLTD,삼성SDI,006400,전영현,Y,1101110394174,1248131282,경기도 용인시 기흥구 공세로 15020,www.samsungsdi.com,,03180063100,03180063968,28202,19700120,12
제이준코스메틱주,Jayjun Cosmetic Co Ltd,제이준코스메틱,025620,고재영,Y,1341110001672,1388103204,인천광역시 남동구 남동대로 405 남촌동 614,www.jayjun.kr,,0221939500,0314911823,204,19720630,12
한미약품주,Hanmi Pharm Co Ltd,한미약품,128940,우종수 권세창,Y,1348110197550,1248700613,경기도 화성시 팔탄면 무하로 214,-,,0313563311,,21210,20100705,12
주서흥,SUHEUNG COLTD,서흥,008490,양주환,Y,1243110004252,1308100576,충청북도 청주시 흥덕구 오송읍 오송생명로 61 ,www.suheung.com,,0432494100,0222172358,2049,19730130,12
주한일진공,HANIL VACUUM CO LTD,한일진공,123840,김지훈 이청균,K,1101114305614,1078733496,인천광역시 남동구 남동동로 183번길 30,www.vacuum-coater.com,http://www.vacuum-coater.com,0328219300,0328210956,292,20100323,12
주코콤,KOCOM CO LTD,코콤,015710,고성욱,K,1243110005359,1308105192,서울특별시 강서구 염창동 2607,www.kocom.com,,02 66752135,0266752100,26410,19800115,12
한미사이언스주,Hanmi Science CoLtd,한미사이언스,008930,임종윤,Y,1348110003187,1248132296,경기도 화성시 팔탄면 무하로 214 한미약품주 팔탄공단,www.hanmi.co.kr,,024109114,024109022,64992,19730615,12
제너셈주,Genesem Inc,제너셈,217190,한복우,K,1246110236750,1218140894,인천광역시 연수구 송도과학로84번길 24 제너셈 사옥,www.genesem.com,,0328108400,0328108401,29271,20001121,12
주예림당,YeaRimDang Publishing Co Ltd,예림당,036000,나춘호,K,1101110611693,1078150227,서울시 성동구 아차산로 153 성수동2가 예림출판문화센터,yearim.co.kr,,025661004,0234522238,58113,19890222,12
주폴루스바이오팜,POLUS BioPharm Inc,폴루스바이오팜,007630,남승헌 정운창 각자 대표이사,Y,1101110125967,1118102291,인천광역시 연수구 송도과학로 32 송도테크노파크IT센터 M동 27층,polusbiopharm.com,,025543377,0234100505,264,19720202,12
주한일진공,HANIL VACUUM CO LTD,한일진공,123840,김지훈 이청균,K,1101114305614,1078733496,인천광역시 남동구 남동동로 183번길 30,www.vacuum-coater.com,http://www.vacuum-coater.com,0328219300,0328210956,292,20100323,12
주오텍,Autech Corporation,오텍,067170,강성희,K,1101110795455,2118639754,충청남도 예산군 고덕면 예덕로 103336,www.autech.co.kr,,0226280660,0226280665,304,19910731,12
보령제약주,BORYUNG PHARM COLTD,보령제약,003850,안재현 이삼수,Y,1101110012560,2088100281,서울 종로구 원남동 보령빌딩 6621,www.boryung.co.kr,,027088000,027426362,212,19631111,12
에스트래픽 주식회사,STraffic CoLtd,에스트래픽,234300,문찬종,K,1311110332864,1448109125,경기도 성남시 분당구 판교로 338삼평동,www.straffic.co.kr,,0316013500,0316013502,6202,20130125,12
주조이맥스,Joymax Co Ltd,조이맥스,101730,이길형,K,1101111401051,2148615315,경기도 성남시 분당구 대왕판교로644번길 49 삼평동 위메이드타워 5층,www.joymax.co.kr,,024208854,024208855,5821,19970410,12
한세예스24홀딩스주,HANSAE YES24 HOLDINGS CO LTD,한세예스24홀딩스,016450,김동녕 김석환각자 대표이사,Y,1201110019382,1378108720,서울특별시 영등포구 은행로 11 일신빌딩 6층,www.hansaeyes24.com,,0237790800,0221390890,64992,19821118,12
아주캐피탈주,AJU CAPITAL CO LTD,아주캐피탈,033660,박춘원,Y,1601110038524,3068118407,대전광역시 서구 대덕대로 239,www.ajucapital.co.kr,,0220175400,0263085036,64911,19940221,12
롯데캐피탈주식회사,LOTTE CAPITAL CO LTD,롯데캐피탈,,고정욱,E,1101111217416,1208155981,서울특별시 강남구 테헤란로 142 캐피탈타워 4층,www.lottecap.com,,0234510027,025668432,64913,19951128,12
효성첨단소재주,Hyosung Advanced Materials Corporation,효성첨단소재,298050,황정모,Y,1101116770170,1988700929,서울특별시 마포구 마포대로 119 효성빌딩,www.hyosungadvancedmaterials.com,,027077000,,205,20180604,12
주코데즈컴바인,Codes Combine CoLtd,코데즈컴바인,047770,박영환,K,1101111187031,1148166713,서울특별시 강남구 강남대로136길 64 논현동 신평빌딩,www.codes-combine.co.kr,www.codes-combine.co.kr,0222391319,025455830,141,19950816,12
두산인프라코어주,Doosan Infracore Co Ltd,두산인프라코어,042670,손동연 고석범,Y,1201110234469,1218140254,인천광역시 동구 인중로 489화수동,www.doosaninfracore.com,,0322111114,0233988339,29241,20001023,12
에스티팜주,ST PHARM CO LTD,에스티팜,237690,김경진,K,1545110039704,3038152269,경기도 시흥시 협력로 231정왕동 시화공단 1나 802호,www.stpharm.co.kr,,025276300,025616006,212,20080818,12
주뉴트리바이오텍,NUTRIBIOTECH COLTD,뉴트리바이오텍,222040,이윤종,K,1101112407470,2148701803,서울특별시 강남구 테헤란로 145 우신빌딩 10층,www.nutribiotech.co.kr,,0234748527,0234748528,10797,20020102,12
주한라,Halla Corporation,한라,014790,이석민,Y,1101110274699,2158140656,서울특별시 송파구 올림픽로 289,www.halla.co.kr,,0234345114,34345131,41221,19800502,12
주푸른기술,PULOONTECHNOLOGYINC,푸른기술,094940,함현철,K,1101111444241,2298128699,서울특별시 서초구 효령로60길 2310 주푸른빌딩 2층,www.puloon.co.kr,,0269594700,0269594720,263,19970724,12
주아이엠비씨,iMBC Co Ltd,iMBC,052220,김원태,K,1101111903643,1078178996,서울특별시 마포구 성암로 25510층상암동 문화방송미디어센터,www.imbc.com,,0221051100,0221051144,631,20000311,12
씨제이프레시웨이주,CJ Freshway Corporation,CJ프레시웨이,051500,문종석,K,1801110083442,6038111270,경기도 용인시 기흥구 기곡로 32,www.cjfreshway.com,,0221496007,0221496649,4632,19881027,12
