crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
우원개발주,Woowon Development Co Ltd,우원개발,046940,김기영,K,1101111600794,1168170168,서울특별시 서초구 강남대로 279 백향빌딩 8층,www.woowonerd.com,,0234901996,025016855,421,19981028,12
주윌비스,THE WILLBES  COLTD,윌비스,008600,임찬혁대표집행임원 송주호대표집행임원,Y,1101110172447,1208114772,충청남도 천안시 동남구 만남로 76,www.willbes.com,,0415295716,0415525503,46413,19730309,12
주금양,KUMYANG COLTD,금양,001570,류광지,Y,1801110003101,6068104711,부산광역시 사상구 낙동대로960번길 81 감전동 주금양,www.kyc.co.kr,,0513165881,0513255887,201,19551117,12
주남선알미늄,NAMSUN ALUMINIUM COLTD,남선알미늄,008350,이상일 박기재,Y,1701110005042,5028100107,대구광역시 달성군 논공읍 논공중앙로 288,www.namsun.co.kr,,0536105110,0536105169,24222,19730104,12
진양산업주,CHIN YANG INDUSTRY COLTD,진양산업,003780,김상용,Y,1801110043610,1028134256,경상남도 양산시 유산공단7길 421,www.cyc1963.com,,0553828981,0553822592,2225,19630718,12
성문전자주,SUNGMOON ELECTRONICS COLTD,성문전자,014910,신준섭,Y,1311110005114,1298105116,경기도 평택시 세교산단로 61,www.smec-korea.co.kr,,0316502800,0316924141,26291,19800711,12
갤럭시아커뮤니케이션즈,Galaxia Communications Co Ltd,갤럭시아컴즈,094480,김용광,K,1101111081928,1208160844,서울시 강남구 수서동 715번지 수서오피스 빌딩 12층,www.varovision.com,,0234848400,0234848401,58221,19941005,12
명문제약주,MYUNGMOON PHARM COLTD,명문제약,017180,박춘식,Y,1341110013180,1248135615,경기도 화성시 향남읍 제약공단2길 26,www.mmpharm.co.kr,,0313504000,025725193,21210,19830901,12
주진성티이씨,JINSUNG TEC,진성티이씨,036890,윤성수 윤준수공동대표이사,K,1348110002155,1248130717,경기도 평택시 세교산단로 3 세교동,www.jinsungtec.com,,031 658 0100,031 658 0106,29241,19820428,12
주리드,LEED Corporation,리드,197210,구명준,K,1311110047463,1298133397,경기도 화성시 향남읍 발안공단로4길 118,www.leed1.com,,03180173201,03180188778,29272,20000323,12
주아즈텍더블유비이,AZTECH WB CO LTD,아즈텍WB,032080,허 재 명,K,1801110145953,6038119267,부산광역시 사하구 하신번영로 99,www.AZTECHWB.co.kr,,051 202 3101,0512022346,13402,19701020,12
주에스티씨 라이프,STC LIFE CoLtd,에스티씨라이프,026220,이계호,E,1301110028852,1348100898,충청남도 천안시 서북구 성거읍 모전1길 13911 정촌리,www.stclife.com,,025112844,025116419,47813,19880328,12
에이치디씨아이콘트롤스주,HDC ICONTROLS CO LTD,HDC아이콘트롤스,039570,김성은,Y,1101111775365,1208193646,경기도 성남시 분당구 정자일로213번길 5,www.icontrols.co.kr,www.icontrols.co.kr,0317851711,0317851799,423,19990917,12
주한길,hangilcoltd,한길,,최병하 장문익 백송걸,E,1752110010276,5138121932,경상북도 칠곡군 왜관읍 봉계로 263 매원리,www.palmyhillscc.co.kr,,0549719900,0549719905,91121,20001226,12
진양폴리우레탄주,CHINYANG POLY URETHANE COLTD,진양폴리우레탄,010640,김상용조영태각자대표이사,Y,1345110000387,1258118884,경기 평택시 세교동 5368번지,www.chinyangpoly.kr,,0316572545,0316572550,201,19750607,12
