crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주피제이메탈,PJ METAL CO LTD,피제이메탈,128660,원경연,K,1101114382878,1208756037,서울특별시 강남구 테헤란로81길 13삼성동 동원빌딩 11층,-,,025554451,025585599,2429,20100630,12
컨버즈주,CONBUZZ CO LTD,컨버즈,109070,최우식 곽종윤,Y,1313110088017,1258179538,경기도 용인시 처인구 이동면 백옥대로 563,www.k-paper.kr,,07048584652,0316279370,172,20090225,12
주국영지앤엠,KUK YOUNG G M,국영지앤엠,006050,최재원,K,1101110103707,2078141843,서울시 서초구 서초중앙로 36 서초동 준영빌딩 7층,www.kukyong.com,,0220150370,02 20150399,231,19690507,12
주BYC,BYC COLTD,BYC,001460,유 중 화,Y,1101110005995,1188103063,서울특별시 영등포구 도림천로21길 3,www.byc.co.kr,,028403175,028403177,14120,19550513,12
에코플라스틱주,ECOPLASTIC CORPORATION,에코플라스틱,038110,서영종김영석,K,1712110001253,5058102351,경상북도 경주시 공단로69번길 30 에코플라스틱주,WWW.AP.CO.KR,,0547703255,0547713101,30320,19840601,12
주맥스로텍,MAXROTEC CO LTD,맥스로텍,141070,김인환,K,1741110009842,5148122180,대구광역시 달서구 성서로71길 40 ,www.maxrotec.com,,0535846540,0535846544,292,19950803,12
부국증권주,BOOKOOK SECURITIES COLTD,부국증권,001270,박현철,Y,1101110031510,1168108723,서울 영등포구 여의도동 342,www.bookook.co.kr,,023689200,3689293,66121,19540825,12
주호텔신라,HOTEL SHILLA COLTD,호텔신라,008770,이부진,Y,1101110145519,2038143363,서울특별시 중구 동호로 249 주 호텔신라,www.hotelshilla.net,http://www.hotelshilla.net/kr/ir/public_info.jsp,0222333131,22333795,47859,19730509,12
동성제약주,DONGSUNG PHARMACEUTICAL COLTD,동성제약,002210,이양구,Y,1101110008200,2118125288,서울특별시 도봉구 도봉로 683 방학동 동성빌딩,dongsung-pharm.co.kr,,0269113600,05051912631,21210,19571125,12
SK매직주,SK Magic Co Ltd,SK매직,,류권주,E,1101115125962,1048648203,서울특별시 중구 통일로 10,www.skmagic.com,http://company.skmagic.com,0267407093,0267407394,28520,20130502,12
주상상인,Sangsangin Co Ltd,상상인,038540,유준원 이민식각자 대표이사,K,1201110050104,1228118380,경기도 성남시 분당구 황새울로 358 ,www.texcell-netcom.co.kr,,0221678500,0221678600,620,19890223,12
