crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
제일연마공업주,CHEIL GRINDING WHEEL IND COLTD,제일연마,001560,오유인 오현수 각자 대표,Y,1801110021806,5068107010,경상북도 포항시 남구 대송로101번길 34장흥동,www.grinding.co.kr,,0542858401,0542855780,23992,19741227,12
주피엔티,PEOPLE  TECHNOLOGY INC,피엔티,137400,김준섭,K,1752110017454,5138132083,경북 구미시 공단동 270번지,www.epnt.co.kr,,0544696950,0544519085,292,20031230,12
주머큐리,MERCURY CORPORATION,머큐리,100590,임채병,K,1201110230277,1378131255,인천광역시 서구 가재울로 90,www.mercury.co.kr,,0325803114,0325803059,2642,20000821,12
주태광,T K CORPORATION,태광,023160,윤 성 덕,K,1801110045559,6038107233,부산광역시 강서구 녹산산업대로 11712,www.tkbend.co.kr,,0519706617,0518316969,2413,19820901,12
주에스피지,SPG CO LTD,에스피지,058610,이준호 여영길각자 대표이사,K,1243110031213,1398111459,인천광역시 남동구 청능대로289번길 45 고잔동 남동공단 67B12L,www.spg.co.kr,www.spg.co.kr,0328208200,0328229076,28111,19910321,12
나우아이비캐피탈주,NAU IB Capital,나우아이비캐피탈,293580,이승원,K,1101113731563,1208718329,서울특별시 강남구 삼성로 511 골든타워 11층,www.nauib.com,www.nauib.com,025656234,025656239,64919,20070806,12
아이비케이에스제10호기업인수목적주,IBKS No10 Special Purpose Acquisition Company,IBKS제10호스팩,299170,권인호,K,1101116748507,2368101193,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층,,,0269155350,0269155804,66199,20180511,12
주엠피한강,MP Hankang Co Ltd,MP한강,219550,박진기,K,1101115703594,5958100040,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호,,,0237738373,0237738301,464,20150422,12
글로벌에스엠테크리미티드,Global SM Tech Limited,글로벌에스엠,900070,나윤복,K,,OI216422,GEORGE TOWNGRAND CAYMAN KY11112 CAYMAN ISLANDS SCOTLA CENTRE 4TH FLOORPOBOX2804,www.globalsmtech.com,,0319329970,0319329972,64992,20080828,12
농업회사법인 합천유통주식회사,Hapcheon Marketing Co Ltd,농업회사법인합천유통,,장문철,E,1953110007342,6118117289,경상남도 합천군 합천읍 대야로 1184 합천유통주,www.haewain.co.kr,,0559339100,0559339110,4631,20090401,12
주데이터스트림즈,Data Streams Corp,데이터스트림즈,199150,이영상,N,1101112331918,2148691079,서울특별시 서초구 사임당로 28 6층 서초동 청호나이스,www.datastreams.co.kr,,0234739077,0234739084,58221,20010913,12
주디엔에이링크,DNA LINK INC,디엔에이링크,127120,이종은,K,1101111907760,1048151912,서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크,www.dnalink.com,,0231531500,023644778,70111,20000315,12
디젠스주,Dgenx Co Ltd,디젠스,113810,이석우,K,1648110035910,3128180740,충남 아산시 음봉면 연암율금로 2887,www.dgenx.com,,0419062100,0419062101,303,20060201,12
롯데관광개발주,LOTTE TOUR DEVELOPMENT COLTD,롯데관광개발,032350,김기병 백현,Y,1101110115504,1018110173,서울특별시 종로구 세종대로 149 세종로,lottetour.com,,15773000,023992430,75210,19710524,12
주비덴트,Vidente Co Ltd,비덴트,121800,김재욱,K,1101112476376,1078614610,서울특별시 금천구 가산디지털1로 84 가산동 에이스하이엔드 8차 12층,www.tvlogic.co.kr,,07086686611,0261233204,26421,20020320,12
