crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주윈스,Wins Co Ltd,윈스,136540,김대연,K,1311110272002,1298655101,경기도 성남시 분당구 판교로228번길 15 삼평동 판교세븐벤처밸리 윈스동,www.wins21.co.kr,,0316228600,0316228601,62021,20110105,12
주경동나비엔,KYUNG DONG NAVIEN COLTD,경동나비엔,009450,손연호,Y,1347110001159,1258101234,경기도 평택시 서탄면 수월암길 95 ,www.kdnavien.co.kr,,03180605500,0316591111,28520,19781113,12
주도화엔지니어링,DOHWA ENGINEERING Co Ltd,도화엔지니어링,002150,김영윤 박승우 노진명 곽준상,Y,1101110037740,2118108009,서울특별시 강남구 삼성로 438 도화타워,www.dohwa.co.kr,,0263233032,025086543,72121,19620505,12
바디텍메드주,Boditech Med Inc,바디텍메드,206640,최의열,K,1101115527168,1078830220,강원도 춘천시 동내면 거두단지1길 43 ,없음,,0220044938,0220044010,213,20140930,12
유안타증권주,Yuanta Securities Korea Co Ltd,유안타증권,003470,서명석 황웨이청,Y,1101110042492,1168134293,서울 중구 을지로2가 185번지 동양종합금융증권빌딩,www.yuantakorea.com,,0237702000,0237702411,66121,19620604,12
주알로이스,ALOYS Inc,알로이스,271400,권충식,N,1311110423663,3988100172,경기도 성남시 중원구 양현로405번길 45 3층,www.aloys.co.kr,,07086805501,0317090262,26421,20150921,12
나라엠앤디주,NARA MOLD AND DIE CO LTD,나라엠앤디,051490,김영조 박임서각자 대표이사,K,1942110033580,6098135789,경상남도 창원시 성산구 공단로 675 나라엠앤디주,www.naramnd.com,,0552393600,0552393694,29294,19990219,12
한국유나이티드제약주,KOREA UNITED PHARM INC,유나이티드,033270,강덕영,Y,1342110002769,3078105244,세종특별자치시 전동면 노장리 40410,www.kup.co.kr,,02 516 3041,025162878,21210,19871203,12
지엘팜텍주,GL Pharm Tech Corp,지엘팜텍,204840,왕훈식,K,1101115478626,1078825483,경기도 성남시 중원구 사기막골로 137 중앙인더스피아5차 714호,www.glpt.co.kr,www.glpt.co.kr,0317395220,0269155804,70113,20140729,12
주한국스탠다드차타드은행,Standard Chartered Bank Korea Ltd,한국스탠다드차타드은행,000110,박종복,E,1101110013419,1028121843,서울특별시 종로구 종로 47,www.standardchartered.co.kr,,0237023114,0237024963,64121,19290701,12
주식회사 더 미동,THE MIDONG Co Ltd,THE MIDONG,161570,후성양HU SHENGYANG,K,1101114122604,2148844319,서울특별시 서초구 남부순환로 2652 대명빌딩 7층,www.mdncinema.com,,07074250614,025720614,26519,20090624,12
주파인디지털,FINEDIGITAL Inc,파인디지털,038950,김용훈,K,1101110896683,2138191028,경기도 성남시 분당구 성남대로925번길 41,www.finedigital.com,,0317888800,0317888720,2642,19921020,12
주오킨스전자,OKins Electronics CoLtd,오킨스전자,080580,전진국,K,1341110059845,1388116581,경기도 의왕시 오전공업길 13 6층 오전동 벽산선영테크노피아,www.okins.co.kr,,0314603500,0314603588,262,19980413,12
사조동아원주,SAJODONGAONE COLTD,사조동아원,008040,이인우 노동환,Y,1244110000662,1368101103,서울특별시 서초구 방배천로2길 12 사조빌딩,www.dongaone.com,,027899524,027895109,106,19720726,12
신화인터텍주,SHINWHA INTERTEK CORP,신화인터텍,056700,김학태,K,1348110011677,1248135935,충남 천안시 동남구 병천면 매봉로 308,www.shinwha.com,,0415903300,0415903306,2229,19880527,12
주화신정공,HWASHIN PRECISION CO LTD,화신정공,126640,정 서 진,K,1101114339415,1078735359,경상북도 영천시 도남공단3길 96,hsp.hwashin.co.kr,,0543305151,0543317568,303,20100428,12
주피엔아이컴퍼니,PNIcompanyCoLtd,피엔아이컴퍼니,242350,신재중,N,1101113044651,1148637585,제주특별자치도 제주시 첨단로 2452,www.pnisys.com,,07086105333,0647024180,591,20040706,12
주오공,OKONG Corporation,오공,045060,김윤정 조한창,K,1243110001513,1308101293,인천광역시 남동구 함박뫼로 341,www.okong.com,,032 822 5050,0328125050,20493,19740912,12
경동제약주,KyungdongPharm,경동제약,011040,류덕희 류기성,K,1201110003765,1248135518,경기도 화성시 양감면 제약단지로 2243,www.kdpharma.co.kr,,02 576 6121,025775195,21210,19760212,12
주디스플레이테크,Display Tech CoLtd,디스플레이텍,066670,박윤민,K,1760110017077,5138113956,경기도 안성시 공단1로 10 주디스플레이테크,www.displaytech.co.kr,,07070153811,0317402580,26211,19980804,12
