crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
하이골드오션12호국제선박투자회사,HI GOLD OCEAN KMARIN NO12 SHIP INVESTMENT COMPANY,하이골드12호,172580,오운용,Y,2201110098327,6168602388,제주특별자치도 제주시 연삼로 473 산업경제진흥원 이도이동,www.kmarin.co.kr,,0220904625,023198188,761,20130110,12
한국정보공학주,Korea Information Engineering Services Co Ltd,한국정보공학,039740,이세복 유용석각자 대표이사,K,1101110735766,2298118298,경기도 성남시 분당구 황새울로359번길 7,www.kies.co.kr,,0317898600,0317898608,467,19901210,12
주시큐아이,SECUi Corp,시큐아이,,석경협,E,1101111912503,2208181057,서울특별시 중구 소공로 48 회현동2가 프라임타워,www.secui.com,,0237836600,0237836699,58221,20000320,12
주매경닷컴,MK,매경닷컴,,장대환,E,1101111787617,2018125980,서울특별시 중구 퇴계로 190,www.mk.co.kr,,0220005403,0220005425,63991,19991012,12
한국정보인증주,KOREA INFORMATION CERTIFICATE AUTHORITY INCORPORATED,한국정보인증,053300,김상준,K,1101111727332,1108141568,경기도 성남시 분당구 판교로 242판교디지털센터PDC C동 5층,www.signgate.com,,023603010,023603001,58221,19990702,12
에이플러스리얼티주,Aplus Realty CoLtd,에이플러스리얼티,,이재광,E,1101114091685,1208739950,서울특별시 서초구 강남대로 329 서초동 산학재단빌딩 18층,www.aplusr.co.kr,,025698248,0264554882,682,20090508,12
대림산업주,DAELIM INDUSTRIAL COLTD,대림산업,000210,김상우 박상신 각자 대표이사,Y,1101110084915,1168135007,서울특별시 종로구 종로1길 36 대림빌딩,www.daelim.co.kr,,0220117114,0220118035,412,19391010,12
주미래엔,MiraeN CoLtd,미래엔,,김영진,E,1101110016869,2148104977,서울특별시 서초구 신반포로 321 주미래엔,www.mirae-n.com,,34753814,5418158,5811,19480924,12
주식회사 진에어,JIN AIR COLTD,진에어,272450,최정호,Y,1201110454976,1218189086,서울특별시 강서구 공항대로 453 3층,www.jinair.com,,16006200,0236605998,511,20080123,12
주한진중공업,HANJIN HEAVY INDUSTRIES  CONSTRUCTION COLTD,한진중공업,097230,이병모,Y,1801110602507,6028142993,부산광역시 영도구 태종로 233 한진중공업,www.hanjinsc.com,,0514103114,0514108465,41221,20070803,12
한신기계공업주,HANSHIN MACHINERY CO,한신기계공업,011700,최영민,Y,1301110010346,1348103309,경기도 안산시 단원구 해봉로330번길 23 신길동,www.hanshin.co.kr,,0314913911,0314913916,29132,19761123,12
주미래SCI,MIRAE SCI CO LTD,미래SCI,028040,박정수,K,1812110003835,6208101495,충북 청원군 옥산면 남촌리 11083,www.miraesci.com,,0437100112,0437100119,239,19841010,12
주녹십자엠에스,Green Cross Medical Science Corporation,녹십자엠에스,142280,안은억,K,1345110076627,1358167475,경기도 용인시 기흥구 이현로30번길 107,www.greencrossms.com,,0312609300,0312609416,21300,20031229,12
삼성물산주,SAMSUNG CT CORPORATION,삼성물산,028260,이영호 고정석 정금용,Y,1101110015762,2028145975,서울특별시 송파구 올림픽로35길 123 ,www.samsungcnt.com,,0221455114,,467,19631223,12
주스틸플라워,STEEL FLOWER COLTD,스틸플라워,087220,김종룡,E,1801110311083,6038140872,부산광역시 해운대구 센텀서로 30 2401호 우동 케이엔엔타워,www.steelflower.co.kr,,0517453000,0517453080,2413,20000201,12
주와이지엔터테인먼트,YG Entertainment Inc,와이지엔터테인먼트,122870,양민석,K,1101111516397,1058191810,서울특별시 마포구 희우정로1길 3,www.ygfamily.com,,0231421104,0231420288,59201,19980224,12
주크래프톤,KRAFTON Inc,크래프톤,,김효섭,E,1101113645772,2208745316,경기도 성남시 분당구 분당내곡로 117 백현동 크래프톤타워,www.bluehole.net,,0316227606,0316244154,5821,20070326,12
올리패스 주식회사,OliPass Corporation,올리패스,,정신,E,1101113562570,1138609261,경기도 용인시 기흥구 동백중앙로16번길 164 중동 에이스동백타워 1동 20층,www.olipass.com,,03180608100,03180608110,70113,20061116,12
부산주공주,PUSAN CAST IRON COLTD,부산주공,005030,장세훈,Y,1801110002682,6068101596,부산광역시 기장군 장안읍 신소재산단1로 10 부산주공주,www.pci21c.com,,0517805980,0517805907,30310,19670427,12
주식회사 삼우씨엠건축사사무소,SAMOOCM ARCHITECTS  ENGINEERS CO LTD,삼우씨엠건축사사무소,,허인 이호준,E,1101110248529,2158125903,서울특별시 송파구 백제고분로 69 잠실동 애플타워,www.samoocm.com,,0234003114,0234003900,72111,19790307,12
동화기업주,DONGWHA ENTERPRISE COLTD,동화기업,025900,김홍진,K,1201110004218,1378102333,인천광역시 서구 가정로97번길 28가좌동,www.dongwha.co.kr,,0221220651,0260080687,16212,19480402,12
주웅진씽크빅,WOONGJIN THINKBIG CO LTD,웅진씽크빅,095720,이재진,Y,2849110065613,1418109131,경기도 파주시 회동길 20,www.wjthinkbig.com,http://www.wjthinkbig.com/index.do,0319567000,0319490463,85120,20070509,12
주솔루에타,Solueta CoLtd,솔루에타,154040,김종숙,K,1351110065750,1238189952,경기도 화성시 마도면 해운로 49842 ,www.solueta.com,http://solueta.com/xe/board_XhtB29,0315082655,0315082606,2629,20030627,12
주식회사 애큐온캐피탈,Acuon Capital Corporation,애큐온캐피탈,,김옥진,E,1101113574046,2148799739,서울특별시 강남구 삼성로 511 골든타워 19층,www.acuoncapital.com,,0215775511,0262343002,64913,20061204,12
주판타지오,Fantagio Corp,판타지오,032800,워이지에,K,1601110023757,3018126727,서울특별시 강남구 역삼로 248 판타지오 빌딩,fantagio.kr,,0234526100,0234526637,901,19910108,12
주게임빌,GAMEVIL INC,게임빌,063080,송병준,K,1101111848914,1198134778,서울특별시 서초구 서초중앙로 4 게임빌빌딩,www.gamevil.com,,028765252,028746729,64992,20000110,12
