crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주티플랙스,Tplex Co Ltd,티플랙스,081150,김영국,K,1101110822159,1078134004,경기도 안산시 단원구 엠티브이1로 75 목내동 주티플랙스,www.tplex.co.kr,,031488 8800,0314888802,259,19911213,12
주에이프로젠헬스케어앤게임즈,Aprogen Healthcare  Games Inc,에이프로젠 HG,109960,김재섭,K,1101111511834,1148182858,경기도 성남시 중원구 둔촌대로 545 한라시그마밸리 B1지하1층,www.aprogen-hng.com,,0317823422,025614012,26429,19980212,12
한국단자공업주,KOREA ELECTRIC TERMINAL COLTD,한국단자공업,025540,이창원,Y,1201110002957,1398113632,인천광역시 연수구 갯벌로 38,www.ket.com,www.ket.com,0328149981,0328148860,2812,19730420,12
주수성,Soosung CoLtd,수성,084180,김대진,K,1101110313728,1398123988,인천광역시 서구 로봇랜드로249번길 4639,www.soosung.com,,0328185160,0325845161,29169,19820223,12
주에프앤가이드,FnGuide Inc,에프앤가이드,064850,김군호 이철순각자대표,N,1101112017922,2208191972,서울특별시 강서구 마곡중앙2로 61,www.fnguide.com,http://corp.fnguide.com/fng/index.fng,027697700,027697788,661,20000705,12
디자인주,DESIGN Co Ltd,디자인,227100,성재원,K,1101114865569,1068686334,서울특별시 양천구 국회대로 162,kokiripower.com,kokiripower.com,028680246,07078120990,2811,20120510,12
골든브릿지이안제5호기업인수목적주,Goldenbridge Ian No5 Special Purpose Acquistion Co LTD,골든브릿지이안5호,307870,이지연,K,1101116869965,3028700950,서울특별시 서대문구 충정로 50 골든브릿지빌딩 4층,,,0237793337,027789258,66199,20180912,12
주성안,SEONGAN COLTD,성안,011300,박상태,Y,1701110006868,5048101534,대구광역시 북구 검단동로 35 검단동,www.startex.co.kr,,0533824772,0533841148,13213,19760420,12
주엘디티,LDTInc,엘디티,096870,정재천,K,1501110031257,3018131797,충청남도 천안시 서북구 한들1로 12633,www.ldt.co.kr,,0415207300,0432180334,2611,19971113,12
케이비제11호기업인수목적주,KB No11 Special Purpose Acquisition Company,케이비제11호스팩,258790,채규운,K,1101116219037,3468800563,서울특별시 광진구 광나루로56길 85 1917호구의동 테크노마트,없음,,0234241988,0234369127,66199,20161101,12
주중앙백신연구소,CHOONG ANG VACCINE LABORATORY,중앙백신,072020,윤인중,K,1601110042533,3058119849,대전광역시 유성구 유성대로 147637 주중앙백신연구소,www.cavac.co.kr,,0428639322,0428638454,21102,19941004,12
주동아엘텍,DONGAELTEKCoLtd,동아엘텍,088130,박재규 김재평각자대표이사,K,1341110065470,1388119462,경기도 안양시 동안구 시민대로327번길 1224 주동아엘텍 빌딩,www.dongaeltek.co.kr,,0313451500,0314214053,292,19990414,12
주아미노로직스,AMINOLOGICS COLTD,아미노로직스,074430,오장석오성석,K,1311110030369,1298123337,서울특별시 강남구 역삼로 151 삼오빌딩3층 301호,www.aminologics.co.kr,,027614570,027614573,467,19970903,12
주두합크린텍,DOOHAP CLEANTECH COLTD,두합크린텍,,김상진,E,1101111220154,1178116420,인천광역시 서구 원창로89번길 1416 원창동 주두합크린텍기술연구소,www.doohap.co.kr,,0226012612,028377888,29175,19951208,12
케이비제10호기업인수목적주,KB No10 Special Purpose Acquisition Company,케이비제10호스팩,250930,정회동,K,1101116122470,5698800415,서울특별시 영등포구 여의대로 8 에이동 1903호여의도동 여의도파크센터,없음,,027831101,0237778129,66199,20160715,12
상신전자주,SANGSHIN ELECTRONICS CO LTD,상신전자,263810,김승천,K,1341110025060,1388105124,경상남도 김해시 진영읍 본산로269번길 1634,www.sangshin-e.com,,0553433826,0553459647,2629,19880701,12
세명전기공업주,SemyungElectricMachinery,세명전기,017510,권재기 권철현,K,1801110052091,6068108323,부산광역시 사상구 대동로 188,www.semyung-elec.com,,051 316 6887,051 324 3995,2599,19840203,12
하나머스트제6호기업인수목적주,Hana Must Sixth Special Purpose Acquisition Company,하나머스트제6호스팩,307160,류제일,K,1101116859411,8998701263,서울특별시 영등포구 의사당대로 82,,,0237713188,0237713619,66199,20180831,12
주엠로,EMRO Incorporated,엠로,058970,송재민,N,1101111906887,2208181381,서울특별시 영등포구 당산로41길 11 이동 5층당산동4가 당산에스케이브이1센터,www.emro.co.kr,,027859848,027856990,582,20000315,12
주식회사 이매진,IMAGENE Co Ltd,이매진,,한종훈,E,1101111490020,1088116256,경기도 용인시 처인구 포곡읍 백옥대로 1952 삼계리 경방,www.imagene.co.kr,www.imagene.co.kr,0226707641,0226707600,21101,19971201,12
주비엔에프코퍼레이션,BNF CORPORATION LTD,비엔에프코퍼레이션,271780,하재준,N,1101112872839,1058659509,인천광역시 서구 보듬로 176,www.seoulam.co.kr,,0325646612,0325646614,24229,20031010,12
부산산업주,BUSAN INDUSTRIAL COLTD,부산산업,011390,이종산,Y,1101110522618,6068156897,부산광역시 사상구 장인로 35 감전동,www.busanind.co.kr,,0513158338,0513257545,233,19760515,12
주탑엔지니어링,Top Engineering Company Limited,탑엔지니어링,065130,김원남류도현공동,K,1760110007937,5138107376,경상북도 구미시 고아읍 농공단지길 5317,www.topengnet.com,,03180391000,0544820346,29272,19931113,12
주포인트엔지니어링,POINT ENGINEERING CoLtd,포인트엔지니어링,176560,안범모,N,1201110170978,1378120438,충청남도 아산시 둔포면 아산밸리로 89,www.pointeng.co.kr,,0415465131,0415465331,259,19980521,12
주파수닷컴,FASOOCOM Co Ltd,파수닷컴,150900,조규곤,K,1101111991680,1208606582,서울특별시 마포구 상암동 1605 누리꿈스퀘어 비즈니스센타 17층,www.fasoo.com,,023009000,023009400,58221,20000608,12
주식회사 엠게임,MGAME CORP,엠게임,058630,권이형,K,1101111838212,1148193597,서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3차,www.mgamecorp.com,,025235854,025834852,5821,19991228,12
소프트브리지,,소프트브리지,,엄민영,E,1211110061746,1308156478,서울특별시 영등포구 국제금융로6길 33 여의도동 10층 1025호,,,5973994,5973993,58221,19980627,12
주새롬정보시스템,Serom Information Systems Inc,새롬정보시스템,,진성철,E,1101111076250,1188111845,서울특별시 금천구 가산디지털1로 219 벽산디지털밸리6차 601호,www.saerom.co.kr,,21052500,21052510,58222,19940915,12
주식회사 에스제이켐,SJCHEM Co Ltd,에스제이켐,217910,배동수,N,1647110011772,3078120911,전라북도 익산시 왕궁면 무왕로 224323,www.sj-chem.com/,,0418819454,0418819457,201,20031009,12
주옴니텔,Omnitel Inc,옴니텔,057680,김상우,K,1101111577604,2208154389,서울특별시 동작구 여의대방로62길 1 3층,www.omnitel.co.kr,,0221818000,0220822201,58222,19980821,12
한솔인티큐브주,Hansol Inticube Co Ltd,한솔인티큐브,070590,고광선,K,1101112915605,1208661116,서울특별시 마포구 월드컵북로 396 14층 상암동 누리꿈스퀘어비즈니스타워,www.hansolinticube.com,,0260053000,0260053535,62010,20031216,12
주힘스,HIMS CO LTD,힘스,238490,김주환,K,1101111634272,2298135638,인천광역시 남동구 남동서로 126,www.hims.co.kr,,0328212511,0328212516,29272,19990115,12
주JB금융지주,JB FINANCIAL GROUP COLTD,JB금융지주,175330,김기홍,Y,2101110091498,4188144697,전라북도 전주시 덕진구 백제대로 566,www.jbfg.com,,0221282727,0632507970,64992,20130701,12
주에코마케팅,ECHOMARKETING CoLtd,에코마케팅,230360,김철웅,K,1101112743866,2208660192,서울특별시 강남구 학동로 343 14층논현동 포바강남타워,www.echomarketing.co.kr,,0221821100,025824377,71310,20030324,12
주카프로,CAPRO CORPORATION,카프로,006380,권용대,Y,1101110111825,1018124186,서울특별시 중구 을지로 51 교원내외빌딩 14F,www.hcccapro.co.kr,,023991200,027324214,20119,19691230,12
주이스타코,eSTARCO COLTD,이스타코,015020,김승제,Y,1243110006042,1338122225,서울특별시 양천구 오목로 325 대학빌딩 5층,www.e-starco.co.kr,,0226437922,0226437922,68121,19800930,12
삼천당제약주,SAM CHUN DANG PHARM CO LTD,삼천당제약,000250,윤대인 전인석각자 대표이사,K,1348110003327,1248104295,경기도 화성시 향남읍 제약공단2길 71,www.scd.co.kr,,0220461235,0220461101,21210,19431229,12
주아이디스,INTELLIGENT DIGITAL INTEGRATED SECURITY CO LTD,아이디스,143160,김영달,K,1601110302755,3148625786,대전 유성구 관평동 1301,www.idis.co.kr,https://www.idisglobal.com/,0317235425,0317235100,26429,20110701,12
주아이디스홀딩스,IDIS Holdings Co Ltd,아이디스홀딩스,054800,김영달,K,1601110065824,3148120205,대전 유성구 관평동 1301,www.idisholdings.co.kr,www.idisholdings.co.kr,0429339677,0429309700,71600,19970924,12
주링크제니시스,Linkgenesis Co Ltd,링크제니시스,219420,정성우,K,1101112914459,1198170245,경기도 안양시 동안구 시민대로 401 319호관양동 대륭테크노타운15차,www.linkgenesis.co.kr,,0314223581,0314223585,58222,20031212,12
