crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
올리패스 주식회사,OliPass Corporation,올리패스,,정신,E,1101113562570,1138609261,경기도 용인시 기흥구 동백중앙로16번길 164 중동 에이스동백타워 1동 20층,www.olipass.com,,03180608100,03180608110,70113,20061116,12
주에치에프알,HFR Inc,에치에프알,230240,정종민,K,1101115855973,2098700272,경기도 성남시 분당구 성남대로43번길 10 하나EZ타워 5층구미동 하나EZ타워,hfrnet.com,http://hfrnet.com,0317127768,,264,20151007,12
주하임바이오,HaimBio CoLtd,하임바이오,,김홍렬,E,1101114693308,1098631158,서울특별시 성북구 안암로 145 7032호 고려대학교 산학관안암동5가 고려대학교안암캠퍼스,www.haimbio.com/,,025771373,07086771373,46443,20110926,12
주식회사 삼우씨엠건축사사무소,SAMOOCM ARCHITECTS  ENGINEERS CO LTD,삼우씨엠건축사사무소,,허인 이호준,E,1101110248529,2158125903,서울특별시 송파구 백제고분로 69 잠실동 애플타워,www.samoocm.com,,0234003114,0234003900,72111,19790307,12
주광림,KANGLIM Co LTD,광림,014200,유갑종,K,1201110009268,3018108302,충청북도 청원군 현도면 청남로 484 주광림,www.kanglim.com,,043 260 9111,043 260 9124,301,19800313,12
JW홀딩스주,JW HOLDINGS CORPORATION,JW홀딩스,096760,이경하 한성권,Y,1101113710468,1088180331,서울특별시 서초구 남부순환로 2477,jw-holdings.co.kr,,028406777,028437696,64992,20070703,12
JW중외제약주,JW PHARMACEUTICAL,JW중외제약,001060,신영섭,Y,1101110019342,1188102477,서울특별시 서초구 남부순환로 2477,www.jw-pharma.co.kr,,028406777,8437696,21210,19450808,12
주코리아2000,KOREA 2000 CO LTD,코리아2000,,이창수,E,1344110014439,1268141428,경기도 이천시 호법면 중부대로866번길 15 유산리,www.k2k.co.kr,,0312806082,0312806080,41129,19991110,12
주제우스,ZEUSCOLTD,제우스,079370,이종우,K,1101110600430,2298105323,경기도 화성시 안녕남로 132 주제우스,www.globalzeus.com,,0313779500,0313773305,29272,19881212,12
주LS네트웍스,LS Networks Corporation Limited,LS네트웍스,000680,구자용문성준각자 대표이사,Y,1801110044717,6228104805,경상남도 김해시 호계로 428 1층부원동 세화빌딩,www.lsnetworks.co.kr,www.lsnetworks.co.kr,027997114,0264425423,46800,19491221,12
에스엘주,SL CORPORATION,에스엘,005850,이충곤이성엽김한영,Y,1701110000034,5048100078,대구광역시 북구 검단공단로 32 ,www.slworld.com,,0538508511,0538508558,303,19681107,12
주바이오스마트,BioSmart Co Ltd,바이오스마트,038460,윤호권,K,1101110414302,2018149003,서울특별시 성동구 광나루로 172,www.bio-smart.com,,0232189000,0232189050,26293,19851230,12
주이엠따블유,EMW Co Ltd,EMW,079190,양일규 단독대표,K,1101111551608,1098154326,인천광역시 남동구 남동서로 155 고잔동 남동공단80블럭4로트,emw.co.kr,http://www.emw.co.kr,0221075500,028376351,264,19980601,12
주포스코엠텍,POSCO MTECH COLTD,포스코엠텍,009520,민중기,K,1746110000866,5068100055,경상북도 포항시 남구 형산강북로 131 포스코엠텍,www.poscomtech.com,,0542808206,054 280 8302,24199,19731227,12
주식회사 노바셀테크놀로지,Novacell Technology Inc,노바셀테크놀로지,,이태훈,E,1717110042356,5068136908,경상북도 포항시 남구 청암로 77 지곡동 포항공과대학교,www.novacelltech.com,,0542232475,0542232474,70113,20000623,12
주우노앤컴퍼니,UNOCOMPANY LTD,우노앤컴퍼니,114630,김종천,K,2101110024308,4188119261,전라북도 완주군 봉동읍 완주산단3로 15815 우노앤컴퍼니,www.unon.co.kr,,0632617555,0632617559,20501,19990719,12
삼본정밀전자주,SAMBON PRECISION  ELECTRONICS COLTD,삼본정밀전자,111870,조부현,K,1243110021149,1308121004,경기도 부천시 오정구 삼작로107번길 52,www.esambon.com,,0326837300,0326785868,265,19880222,12
주와이지엔터테인먼트,YG Entertainment Inc,와이지엔터테인먼트,122870,양민석,K,1101111516397,1058191810,서울특별시 마포구 희우정로1길 3,www.ygfamily.com,,0231421104,0231420288,59201,19980224,12
나우아이비캐피탈주,NAU IB Capital,나우아이비캐피탈,293580,이승원,K,1101113731563,1208718329,서울특별시 강남구 삼성로 511 골든타워 11층,www.nauib.com,www.nauib.com,025656234,025656239,64919,20070806,12
주로보티즈,ROBOTIS,로보티즈,108490,김병수,K,1101111670044,2098122390,서울특별시 강서구 마곡중앙5로1길 37,www.robotis.com,,07086712600,07082301336,29299,19990325,12
주식회사 멈스,Mums CoLtd,멈스,,이세영,E,1101115250991,1078804396,세종특별자치시 소정면 매실로 353 고등리243,www.mums.co.kr,,0226328878,07082998335,2629,20131022,12
주마이크로텍,MICROTECH COLTD,마이크로텍,227950,송성태,K,1101115829407,7598800172,경기도 안성시 원곡면 원당로 157 ,,,0237793129,,292,20150904,12
주파인테크닉스,FINE TECHNIX CO LTD,파인테크닉스,106240,김근우이재규,K,1341110173489,1238616212,경기도 안양시 만안구 덕천로 38 주 파인테크닉스,www.finetechnix.com,,0314638800,0314638898,264,20090101,12
삼륭물산주,Samryoong,삼륭물산,014970,조홍로,K,1156110001401,1288103148,경기도 파주시 월롱면 통일로644번길 35,www.srpack.com,,0323210091,0323211851,17223,19800825,12
명성티엔에스주,Mstns CoLtd,명성티엔에스,257370,권태욱,K,1701110207177,5148142148,대구광역시 달서구 성서공단로25길 16,www.ms-mc.co.kr,,0535823577,0535833818,292,20011015,12
엘아이지넥스원주,LIG Nex1 Co Ltd,LIG넥스원,079550,김지찬,Y,1101111516933,2158635051,경기도 용인시 기흥구 마북로 207 엘아이지넥스원주,www.lignex1.com,,1644  2005,0220055392,25200,19980225,12
고려제강주,KISWIRE COLTD,고려제강,002240,이이문 박창희 각자대표,Y,1801110001220,6178100049,부산광역시 수영구 구락로 150,www.kiswire.com,,0517601700,0517577379,2411,19450922,12
주포레스팅블록체인,FORESTING BlockChain Inc,포레스팅블록체인,227420,엄재현,N,1101113623348,1208711670,서울특별시 송파구 정의로8길 13 6층 문정동,www.forestingblockchain.co.kr,,025535638,025535541,71531,20070216,12
에코캡 주식회사,ECOCAB CO LTD,에코캡,128540,최영천,K,1801110602755,6058184196,울산광역시 울주군 언양읍 반천반송산업로 13766,www.ecocab.co.kr,,0522641681,0522643337,303,20070816,12
아시아나아이디티주,Asiana IDT Inc,아시아나IDT,267850,박세창,Y,1101110801848,1048122547,서울특별시 종로구 우정국로 26 에이동 21층 22층표시층 23층 25층 공평동 센트로폴리스,www.asianaidt.com,,0221958571,0221278350,62021,19910902,12
극동전선주,KUKDONG ELECTRIC WIRE COLTD,극동전선,006250,강인구,E,1152110000609,3018111393,충청북도 진천군 초평면 용정길 2923 용정리 극동전선,www.cablekukdong.co.kr,,0221403021,0221403039,28302,19691023,12
한국컴퓨터지주주,Korea Computer Holidings Incorporated,한국컴퓨터지주,009760,홍정완,E,1753110001455,5138102221,경상북도 구미시 임수로 24 임수동,www.kci.co.kr,,023981710,023981717,64992,19740404,12
주옥천당,OKCHUNDANG,옥천당,,구성민,E,2301110152923,6208133212,대구광역시 동구 율암로 142 율암동옥천당,,,0539500051,0539659552,62022,20090310,12
주판타지오,Fantagio Corp,판타지오,032800,워이지에,K,1601110023757,3018126727,서울특별시 강남구 역삼로 248 판타지오 빌딩,fantagio.kr,,0234526100,0234526637,901,19910108,12
주셀리드,Cellid Co Ltd,셀리드,299660,강창율,K,1101113572636,1198194247,서울시 관악구 관악로 1 서울대학교 142동 5층,www.cellid.co.kr,,0232857860,0232857866,701,20061201,12
