crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주지엔코,Great New wave Coming Co Ltd,지엔코,065060,김석주 장지혁 각자대표이사,K,1101111421257,2208145177,서울특별시 송파구 동남로4길 41 지엔코빌딩,www.gnco.co.krwww.thursdayisland.com,,0221858510,025392220,141,19970531,12
주클리오,CLIO Cosmetics Co Ltd,클리오,237880,한현옥,K,1101111421273,2118622189,서울특별시 강남구 압구정로30길 62 클리오 빌딩,www.clio.co.kr,,025140056,025140076,20423,19970531,12
주에버다임,EVERDIGM Corp,에버다임,041440,전병찬,K,1101111042574,1078145758,충청북도 진천군 진천읍 부영길 49,www.everdigm.com,,0435303300,0435303318,29241,19940601,12
주엔지켐생명과학,ENZYCHEM LIFESCIENCES CORPORATION,엔지켐생명과학,183490,손기영,K,1601110084890,3148127038,충청북도 제천시 바이오밸리로 59,www.enzychem.co.kr,,0436522845,0428642844,211,19990720,12
솔브레인주,Soulbrain CoLtd,솔브레인,036830,강병창,K,1101110610083,2148103416,경기도 성남시 분당구 판교로255번길 24,soulbrain.co.kr,,031 719 0700,031 719 2851,204,19860506,12
덕양산업주,DUCKYANG INDUSTRY COLTD,덕양산업,024900,윤성희이종숙각자대표이사,Y,1812110000922,6208101234,울산광역시 북구 효암로 366,www.duckyang.co.kr,,0522191114,0522873130,303,19770711,12
주조은세이프,Joeunsafe,조은세이프,,이명근,E,1101113582370,1078685468,서울특별시 영등포구 선유로 70 우리벤쳐타운2 301호 문래동3가,www.safe1.co.kr,,0221661553,0264551550,753,20071216,12
한국주강주,HANKOOK STEEL COLTD,한국주강,025890,하만규,Y,1943110000537,6088105400,경상남도 함안군 법수면 장백로 585 ,www.hascokorea.co.kr,,0555857251,0555857254,292,19870826,12
주씨젠,SEEGENE INC,씨젠,096530,천종윤,K,1101112070334,1108147859,서울특별시 송파구 오금로 91방이동 7층,seegene.co.kr,,0222404036,0222404040,2130,20000918,12
주현대그린푸드,HYUNDAI GREEN FOOD COLTD,현대그린푸드,005440,정지선 박홍진각자 대표이사,Y,1101110095201,2118108241,경기도 용인시 수지구 문인로 30,www.hyundaigreenfood.com,,0315252233,0315252481,471,19680227,12
강남제비스코주,KANGNAM JEVISCO COLTD,강남제비스코,000860,황익준김재현각자대표이사,Y,1801110003391,6058103330,부산광역시 부산진구 냉정로 289 가야동,www.jevisco.com,,0518924221,0518925576,20411,19520716,12
주세진중공업,SEJIN HEAVY INDUSTRIES CO LTD,세진중공업,075580,가백현,Y,2301110060126,6108137716,울산광역시 울주군 온산읍 당월로 21618,www.sejinheavy.com,,0522318000,0522397010,31114,19990920,12
주대원,DAEWON CO LTD,대원,007680,전응식,K,1501110003058,3158101104,충청북도 청주시 흥덕구 직지대로435번길 15송정동,daewon.co.kr,,0432641115,0432673009,41112,19720221,12
SK디앤디주,SK DD CoLtd,SK디앤디,210980,함스테판윤성,Y,1101113001685,1018604792,경기도 성남시 분당구 판교로 332 삼평동,www.skdnd.com,,023984700,023984710,68122,20040427,12
빛샘전자주,VISSEM Electronics Co Ltd,빛샘전자,072950,강만준,K,1301110049246,1248158831,경기도 용인시 기흥구 언동로 5311 빛샘전자 청덕동,www.vissem.com,,031288 3420,0312883490,262,19981103,12
주에스디시스템,SD system Co Ltd,에스디시스템,121890,박봉용,K,1311110060530,1298142052,경기도 성남시 중원구 갈마치로244번길 31 613상대원동 현대아이밸리,www.sdsystem.co.kr,,07082995926,0317039439,2629,20010428,12
알씨아이파이낸셜서비스코리아주,RCI Financial Services Korea Co LTD,알씨아이파이낸셜서비스코리아,,프랑크말로셰,E,1101112740276,1048179808,서울특별시 금천구 가산디지털2로 30 RSM Tower 9층,renaultcapital.co.kr,,0220215549,0220215506,64913,20030318,12
주SIMPAC,SIMPACInc,SIMPAC,009160,최진식,Y,1201110002189,1228100819,인천광역시 부평구 부평북로 141 주SIMPAC,www.simpac.co.kr,,0325100044,0325153030,2922,19730809,12
한국투자금융지주주,Korea Investment Holdings Co Ltd,한국금융지주,071050,김남구,Y,1101112691651,2148726478,서울특별시 영등포구 의사당대로 88,www.koreaholdings.com,,0232766400,0232766402,64992,20030111,12
유니온머티리얼주,Union Materials Corp,유니온머티리얼,047400,김진영 이우선,Y,1701110176489,5148137645,대구광역시 달서구 성서공단남로 151,unionmaterials.com,,0555804135,0535804111,23222,20000630,12
주전방,CHONBANG COLTD,전방,000950,조규옥 김형건,Y,1101110005664,1028117373,서울특별시 서대문구 서소문로 21 충정로3가 충정타워,www.chonbang.co.kr,,0221226000,023923923,13101,19530223,12
이구산업주,LEEKU INDUSTRIAL COLTD,이구산업,025820,손인국 김영길 각자 대표이사,Y,1301110009498,1348102580,경기도 평택시 포승읍 포승공단로 42 이구산업주,www.leeku.net,,0314942929,0314942930,24221,19710116,12
주엔지스테크널러지,EnGIS Technologies Inc,엔지스테크널러지,208860,박용선,K,1101111574709,2138636108,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층,www.engistech.com,,0215229060,0221170859,58222,19980812,12
주필링크,FEELINGK COLtd,필링크,064800,김상재 서영운,K,1101111931230,1198137606,서울특별시 영등포구 영등포로 272,www.feelingk.com,,0221027313,0221027345,474,20000406,12
주현대홈쇼핑,HYUNDAI HOME SHOPPING NETWORK CORPORATION,현대홈쇼핑,057050,정교선강찬석각자 대표이사,Y,1101112248882,2118676540,서울특별시 강동구 올림픽로70길 34,www.hmall.com,,0221432000,0221432790,47919,20010529,12
주루켄테크놀러지스,LUKEN Technologies Co Ltd,루켄테크놀러지스,162120,안윤태,N,1348110145822,1248659494,경기도 이천시 마장면 중부대로2670번길 94,www.luken.co.kr,,07086338009,0313371854,289,20071002,12
대상홀딩스주,DAESANG HOLDINGS CO LTD,대상홀딩스,084690,임창욱 김훈식 각자 대표이사,Y,1101113280099,2068601066,서울특별시 중구 세종대로9길 41 올리브타워 2층,-,,0222116500,0222146511,64992,20050801,12
주위닉스,WINIX INC,위닉스,044340,윤희종 윤철민,K,1301110026260,1338122434,경기도 시흥시 공단1대로 295정왕동 시화공단 3나 607호,www.e-winix.co.kr,,031 499 5085,0314982618,28519,19860922,12
주한송네오텍,HANSONGNEOTECH COLTD,한송네오텍,226440,최영묵,K,1101115796789,5688800222,경상북도 구미시 1공단로7길 361 ,hsneotech.com,http://www.hsneotech.com,0544629930,0544629932,292,20150730,12
주대륙제관,DaeryukCan,대륙제관,004780,박봉국 박봉준 각자대표이사,K,1101110073877,2208104875,서울특별시 강남구 역삼로 221,www.drcc.co.kr,,0260030600,025629912,25991,19661224,12
주삼성출판사,SAMSUNG PUBLISHING COLTD,삼성출판사,068290,김진용,Y,1101112559411,2148714287,서울특별시 서초구 명달로 94 주삼성출판사,www.samsungbooks.com,,0234706800,025689456,5811,20020702,12
주아진엑스텍,AJINEXTEK Co Ltd,아진엑스텍,059120,김창호,K,1801110248369,6218129249,대구광역시 달서구 성서공단로11길 27,www.ajinextek.com,,0535933700,0535933703,2611,19971229,12
주휴온스글로벌,Huons Global Co Ltd,휴온스글로벌,084110,윤성태 김완섭각자대표,K,1101110400202,1298107002,경기도 성남시 분당구 판교로 253 씨동 901호삼평동 판교이노밸리,www.huons.com,,028544700,0264550740,64992,19870710,12
주팍스넷,Paxnet Inc,팍스넷,038160,박평원,K,1101111698830,2028163804,서울특별시 양천구 목동서로 201 23층 목동 케이티정보전산센터,paxnet.moneta.co.kr,,00016885010,0226550128,63991,19990521,12
