crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,유니온,000910,사업보고서 (2018.12),20190401004038,유니온,20190401,연
E,현대아산,00255257,사업보고서 (2018.12),20190401004037,현대아산,20190401,
Y,KTcs,058850,사업보고서 (2018.12),20190401004033,KTcs,20190401,연
K,메지온,140410,사업보고서 (2018.12),20190401004032,메지온,20190401,정연
N,엘에이티,311060,사업보고서 (2018.12),20190401004031,엘에이티,20190401,
E,드림라인,00249034,사업보고서 (2018.12),20190401004028,드림라인,20190401,연
E,홈앤쇼핑,00915492,사업보고서 (2018.12),20190401004027,홈앤쇼핑,20190401,연
K,매일홀딩스,005990,사업보고서 (2018.12),20190401004023,매일홀딩스,20190401,연
Y,삼성물산,028260,사업보고서 (2018.12),20190401004022,삼성물산,20190401,정연
N,바이오프로테크,199290,사업보고서 (2018.12),20190401004021,바이오프로테크,20190401,
K,한국가구,004590,사업보고서 (2018.12),20190401004019,한국가구,20190401,연
K,에프알텍,073540,사업보고서 (2018.12),20190401004016,에프알텍,20190401,연
K,삼보산업,009620,사업보고서 (2018.12),20190401004015,삼보산업,20190401,연
E,SK에너지,00852175,사업보고서 (2018.12),20190401004012,SK에너지,20190401,연
K,제닉,123330,사업보고서 (2018.12),20190401004011,제닉,20190401,연
Y,대원화성,024890,사업보고서 (2018.12),20190401004009,대원화성,20190401,연
Y,이마트,139480,사업보고서 (2018.12),20190401004008,이마트,20190401,연
Y,LG디스플레이,034220,사업보고서 (2018.12),20190401004005,LG디스플레이,20190401,연
Y,화승알앤에이,013520,사업보고서 (2018.12),20190401004004,화승알앤에이,20190401,연
E,한화건설,00424529,사업보고서 (2018.12),20190401004003,한화건설,20190401,연
K,한국전자인증,041460,사업보고서 (2018.12),20190401003999,한국전자인증,20190401,연
Y,STX,011810,사업보고서 (2018.12),20190401003997,STX,20190401,연
K,누리플랜,069140,사업보고서 (2018.12),20190401003998,누리플랜,20190401,연
Y,우리들휴브레인,118000,사업보고서 (2018.12),20190401003995,우리들휴브레인,20190401,연
K,네오셈,253590,사업보고서 (2018.12),20190401003994,네오셈,20190401,
K,넷게임즈,225570,사업보고서 (2018.12),20190401003993,넷게임즈,20190401,
K,지투하이소닉,106080,사업보고서 (2018.12),20190401003992,지투하이소닉,20190401,연
K,보성파워텍,006910,사업보고서 (2018.12),20190401003990,보성파워텍,20190401,연
E,모헤닉게라지스,01185593,사업보고서 (2018.12),20190401003988,모헤닉게라지스,20190401,연
K,앤디포스,238090,사업보고서 (2018.12),20190401003987,앤디포스,20190401,연
E,옵티맥,00604329,사업보고서 (2018.12),20190401003985,옵티맥,20190401,
E,신한은행,00149293,사업보고서 (2018.12),20190401003983,신한은행,20190401,연
E,신한금융투자,00138321,사업보고서 (2018.12),20190401003982,신한금융투자,20190401,연
Y,금강공업,014280,사업보고서 (2018.12),20190401003980,금강공업,20190401,연
E,한국서부발전,00383019,사업보고서 (2018.12),20190401003981,한국서부발전,20190401,연
Y,대한해운,005880,사업보고서 (2018.12),20190401003978,대한해운,20190401,연
K,심텍,222800,사업보고서 (2018.12),20190401003976,심텍,20190401,연
K,프로텍,053610,사업보고서 (2018.12),20190401003975,프로텍,20190401,연
Y,아시아나IDT,267850,사업보고서 (2018.12),20190401005182,아시아나IDT,20190401,정연
Y,영흥철강,012160,사업보고서 (2018.12),20190401003972,영흥철강,20190401,연
Y,코오롱머티리얼,144620,사업보고서 (2018.12),20190401003971,코오롱머티리얼,20190401,
Y,삼성에스디에스,018260,사업보고서 (2018.12),20190401003968,삼성에스디에스,20190401,연
Y,고려아연,010130,사업보고서 (2018.12),20190401003964,고려아연,20190401,연
Y,에이엔피,015260,사업보고서 (2018.12),20190401003965,에이엔피,20190401,연
E,흥국생명보험,00167068,사업보고서 (2018.12),20190401003961,흥국생명보험,20190401,연
K,큐캐피탈,016600,[기재정정]사업보고서 (2018.12),20190401003960,큐캐피탈,20190401,
Y,SK하이닉스,000660,사업보고서 (2018.12),20190401003957,SK하이닉스,20190401,연
K,넵튠,217270,사업보고서 (2018.12),20190401003955,넵튠,20190401,연
K,SBS콘텐츠허브,046140,사업보고서 (2018.12),20190401003954,SBS콘텐츠허브,20190401,연
K,파멥신,208340,사업보고서 (2018.12),20190401003951,파멥신,20190401,연
K,인지디스플레,037330,사업보고서 (2018.12),20190401003949,인지디스플레,20190401,연
E,에스케이텔레시스,00258014,사업보고서 (2018.12),20190401003948,에스케이텔레시스,20190401,연
K,패션플랫폼,225590,사업보고서 (2018.12),20190401003943,패션플랫폼,20190401,
K,스페코,013810,사업보고서 (2018.12),20190401003940,스페코,20190401,연
K,지와이커머스,111820,사업보고서 (2018.12),20190401003937,지와이커머스,20190401,연
K,YTN,040300,사업보고서 (2018.12),20190401003936,YTN,20190401,연
K,유니슨,018000,사업보고서 (2018.12),20190401003933,유니슨,20190401,연
K,나이벡,138610,사업보고서 (2018.12),20190401003932,나이벡,20190401,
Y,동국제강,001230,사업보고서 (2018.12),20190401003930,동국제강,20190401,정연
Y,동일제강,002690,사업보고서 (2018.12),20190401003927,동일제강,20190401,
Y,삼아알미늄,006110,사업보고서 (2018.12),20190401003923,삼아알미늄,20190401,연
Y,금호산업,002990,사업보고서 (2018.12),20190401003919,금호산업,20190401,연
K,나스미디어,089600,사업보고서 (2018.12),20190401003918,나스미디어,20190401,연
K,쿠첸,225650,사업보고서 (2018.12),20190401003916,쿠첸,20190401,
E,메가젠임플란트,00573676,사업보고서 (2018.12),20190401003906,메가젠임플란트,20190401,
Y,삼양사,145990,사업보고서 (2018.12),20190401003903,삼양사,20190401,연
E,평택에너지서비스,00683450,사업보고서 (2018.12),20190401003902,평택에너지서비스,20190401,
Y,동방아그로,007590,사업보고서 (2018.12),20190401003899,동방아그로,20190401,연
K,신화콘텍,187270,사업보고서 (2018.12),20190401003896,신화콘텍,20190401,연
K,엘아이에스,138690,사업보고서 (2018.12),20190401003895,엘아이에스,20190401,연
E,울트라브이,01187166,사업보고서 (2018.12),20190401003894,울트라브이,20190401,연
Y,신성이엔지,011930,사업보고서 (2018.12),20190401003891,신성이엔지,20190401,연
K,켐트로닉스,089010,사업보고서 (2018.12),20190401003890,켐트로닉스,20190401,연
Y,DB금융투자,016610,사업보고서 (2018.12),20190401003887,DB금융투자,20190401,연
N,에이비온,203400,사업보고서 (2018.12),20190401003884,에이비온,20190401,
Y,원림,005820,사업보고서 (2018.12),20190401003881,원림,20190401,연
K,삼일,032280,사업보고서 (2018.12),20190401003880,삼일,20190401,
K,유니트론텍,142210,사업보고서 (2018.12),20190401003877,유니트론텍,20190401,연
K,화신테크,086250,사업보고서 (2018.12),20190401003874,화신테크,20190401,
K,이더블유케이,258610,사업보고서 (2018.12),20190401003867,이더블유케이,20190401,연
K,로고스바이오,238120,사업보고서 (2018.12),20190401003866,로고스바이오,20190401,연
E,SK인천석유화학,00979074,사업보고서 (2018.12),20190401003864,SK인천석유화학,20190401,
Y,드림텍,192650,사업보고서 (2018.12),20190401003862,드림텍,20190401,연
K,NE능률,053290,사업보고서 (2018.12),20190401003859,NE능률,20190401,
Y,한전KPS,051600,사업보고서 (2018.12),20190401003853,한전KPS,20190401,연
Y,하나투어,039130,사업보고서 (2018.12),20190401003851,하나투어,20190401,연
Y,사조오양,006090,사업보고서 (2018.12),20190401003846,사조오양,20190401,
K,디엠티,134580,사업보고서 (2018.12),20190401003845,디엠티,20190401,연
Y,동일산업,004890,사업보고서 (2018.12),20190401003844,동일산업,20190401,연
