crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,경방,000050,사업보고서 (2018.12),20190401001920,경방,20190401,연
K,휴맥스,115160,사업보고서 (2018.12),20190401001917,휴맥스,20190401,연
Y,조비,001550,사업보고서 (2018.12),20190401001912,조비,20190401,
Y,진양화학,051630,사업보고서 (2018.12),20190401001909,진양화학,20190401,
Y,더존비즈온,012510,사업보고서 (2018.12),20190401001908,더존비즈온,20190401,연
K,와이엔텍,067900,사업보고서 (2018.12),20190401001905,와이엔텍,20190401,연
E,하나투어리스트,00397207,사업보고서 (2018.12),20190401001904,하나투어리스트,20190401,
N,줌인터넷,229480,사업보고서 (2018.12),20190401001900,줌인터넷,20190401,
K,에프에스티,036810,사업보고서 (2018.12),20190401001899,에프에스티,20190401,연
Y,에이블씨엔씨,078520,사업보고서 (2018.12),20190401001897,에이블씨엔씨,20190401,연
K,라이트론,069540,사업보고서 (2018.12),20190401001896,라이트론,20190401,연
K,엔에스,217820,사업보고서 (2018.12),20190401001895,엔에스,20190401,연
K,제룡전기,033100,사업보고서 (2018.12),20190401001891,제룡전기,20190401,
Y,하나제약,293480,사업보고서 (2018.12),20190401001889,하나제약,20190401,
E,프리닉스,01228931,사업보고서 (2018.12),20190401001886,프리닉스,20190401,
K,에스넷,038680,사업보고서 (2018.12),20190401001883,에스넷,20190401,연
K,케이엠제약,225430,사업보고서 (2018.12),20190401001880,케이엠제약,20190401,정
K,세화피앤씨,252500,사업보고서 (2018.12),20190401001874,세화피앤씨,20190401,
K,제이웨이,058420,사업보고서 (2018.12),20190401001873,제이웨이,20190401,연
K,디케이티,290550,사업보고서 (2018.12),20190401001872,디케이티,20190401,연
K,NHN벅스,104200,사업보고서 (2018.12),20190401001870,NHN벅스,20190401,연
K,알톤스포츠,123750,사업보고서 (2018.12),20190401001865,알톤스포츠,20190401,연
K,한국경제TV,039340,사업보고서 (2018.12),20190401001866,한국경제TV,20190401,연
E,대우로지스틱스,00491983,사업보고서 (2018.12),20190401001864,대우로지스틱스,20190401,연
K,엘앤씨바이오,290650,사업보고서 (2018.12),20190401001860,엘앤씨바이오,20190401,연
K,마이크로컨텍솔,098120,사업보고서 (2018.12),20190401001853,마이크로컨텍솔,20190401,연
Y,고려산업,002140,사업보고서 (2018.12),20190401001840,고려산업,20190401,연
K,배럴,267790,사업보고서 (2018.12),20190401001839,배럴,20190401,연
K,대한약품,023910,사업보고서 (2018.12),20190401001837,대한약품,20190401,
K,우정바이오,215380,사업보고서 (2018.12),20190401001834,우정바이오,20190401,
K,동원개발,013120,사업보고서 (2018.12),20190401001831,동원개발,20190401,
Y,모나미,005360,사업보고서 (2018.12),20190401001824,모나미,20190401,연
K,에스씨디,042110,사업보고서 (2018.12),20190401001823,에스씨디,20190401,연
K,삼보모터스,053700,사업보고서 (2018.12),20190401001819,삼보모터스,20190401,연
Y,애경산업,018250,사업보고서 (2018.12),20190401001814,애경산업,20190401,연
E,메디오젠,01186963,사업보고서 (2018.12),20190401001812,메디오젠,20190401,
N,선바이오,067370,사업보고서 (2018.12),20190401001809,선바이오,20190401,
K,모베이스,101330,사업보고서 (2018.12),20190401001797,모베이스,20190401,연
K,슈프리마,236200,사업보고서 (2018.12),20190401001796,슈프리마,20190401,연
K,농우바이오,054050,사업보고서 (2018.12),20190401001794,농우바이오,20190401,연
K,하림지주,003380,사업보고서 (2018.12),20190401001791,하림지주,20190401,연
K,룽투코리아,060240,사업보고서 (2018.12),20190401001790,룽투코리아,20190401,연
K,삼우엠스,082660,사업보고서 (2018.12),20190401001789,삼우엠스,20190401,연
N,앙츠,267810,사업보고서 (2018.12),20190401001787,앙츠,20190401,
K,에코마이스터,064510,사업보고서 (2018.12),20190401001782,에코마이스터,20190401,연
E,엘에스엠트론,00683627,사업보고서 (2018.12),20190401001778,엘에스엠트론,20190401,연
Y,하이트진로,000080,사업보고서 (2018.12),20190401001777,하이트진로,20190401,연
Y,하이트진로홀딩스,000140,사업보고서 (2018.12),20190401001776,하이트진로홀딩스,20190401,연
E,티이씨씨,01035438,사업보고서 (2018.12),20190401001774,티이씨씨,20190401,
K,바이오빌,065940,사업보고서 (2018.12),20190401001772,바이오빌,20190401,연
E,다산,00108533,사업보고서 (2018.12),20190401001768,다산,20190401,
E,창원컨트리클럽,00455185,사업보고서 (2018.12),20190401001765,창원컨트리클럽,20190401,
E,한화호텔앤드리조트,00254948,사업보고서 (2018.12),20190401001766,한화호텔앤드리조트,20190401,연
N,듀켐바이오,176750,사업보고서 (2018.12),20190401001761,듀켐바이오,20190401,연
E,하나자산신탁,00411534,사업보고서 (2018.12),20190401001759,하나자산신탁,20190401,
N,이엔드디,101360,사업보고서 (2018.12),20190401001747,이엔드디,20190401,
Y,LG상사,001120,사업보고서 (2018.12),20190401001745,LG상사,20190401,연
K,스타플렉스,115570,사업보고서 (2018.12),20190401001741,스타플렉스,20190401,연
Y,가온전선,000500,사업보고서 (2018.12),20190401001733,가온전선,20190401,연
E,씨엘인터내셔널,00241236,사업보고서 (2018.12),20190401001730,씨엘인터내셔널,20190401,연
K,슈프리마에이치큐,094840,사업보고서 (2018.12),20190401001729,슈프리마에이치큐,20190401,연
K,에코프로비엠,247540,사업보고서 (2018.12),20190401001728,에코프로비엠,20190401,
Y,SG세계물산,004060,사업보고서 (2018.12),20190401001719,SG세계물산,20190401,연
N,명진홀딩스,267060,사업보고서 (2018.12),20190401001716,명진홀딩스,20190401,
K,안국약품,001540,사업보고서 (2018.12),20190401001712,안국약품,20190401,연
Y,삼영화학공업,003720,사업보고서 (2018.12),20190401001710,삼영화학공업,20190401,연
K,퓨쳐스트림네트웍스,214270,사업보고서 (2018.12),20190401001705,퓨쳐스트림네트웍스,20190401,정연
Y,제주항공,089590,사업보고서 (2018.12),20190401001701,제주항공,20190401,연
Y,세방전지,004490,사업보고서 (2018.12),20190401001699,세방전지,20190401,연
E,대한바이오링크,00291152,사업보고서 (2018.12),20190401001692,대한바이오링크,20190401,
K,알에스오토메이션,140670,사업보고서 (2018.12),20190401001689,알에스오토메이션,20190401,연
K,삼진엘앤디,054090,사업보고서 (2018.12),20190401001688,삼진엘앤디,20190401,연
N,골프존데카,183410,사업보고서 (2018.12),20190401001684,골프존데카,20190401,연
Y,흥국화재,000540,사업보고서 (2018.12),20190401001678,흥국화재,20190401,
N,엘리비젼,276240,[첨부정정]사업보고서 (2018.12),20190401001668,엘리비젼,20190401,
N,메디젠휴먼케어,236340,사업보고서 (2018.12),20190401001664,메디젠휴먼케어,20190401,연
N,안지오랩,251280,사업보고서 (2018.12),20190401001651,안지오랩,20190401,
N,래몽래인,200350,사업보고서 (2018.12),20190401001648,래몽래인,20190401,연
K,오디텍,080520,사업보고서 (2018.12),20190401001647,오디텍,20190401,연
N,볼빅,206950,사업보고서 (2018.12),20190401001644,볼빅,20190401,
Y,한국전력공사,015760,사업보고서 (2018.12),20190401001643,한국전력공사,20190401,연
K,에스티아이,039440,사업보고서 (2018.12),20190401001641,에스티아이,20190401,연
K,켐트로스,220260,사업보고서 (2018.12),20190401001640,켐트로스,20190401,
Y,동원수산,030720,사업보고서 (2018.12),20190401001636,동원수산,20190401,연
E,하나은행,00158909,사업보고서 (2018.12),20190401001628,하나은행,20190401,연
K,한일단조,024740,사업보고서 (2018.12),20190401001627,한일단조,20190401,연
E,레온,01218086,사업보고서 (2018.12),20190401001624,레온,20190401,정
K,케어랩스,263700,사업보고서 (2018.12),20190401001623,케어랩스,20190401,연
Y,이화산업,000760,사업보고서 (2018.12),20190401001617,이화산업,20190401,연
K,대유,290380,사업보고서 (2018.12),20190401001608,대유,20190401,
K,바른손이앤에이,035620,사업보고서 (2018.12),20190401001604,바른손이앤에이,20190401,연
E,롯데오토리스,00904663,사업보고서 (2018.12),20190401001602,롯데오토리스,20190401,연
N,씨알푸드,236030,사업보고서 (2018.12),20190401001599,씨알푸드,20190401,
K,해성옵틱스,076610,사업보고서 (2018.12),20190401001598,해성옵틱스,20190401,연
Y,신화실업,001770,사업보고서 (2018.12),20190401001596,신화실업,20190401,
Y,하이트론씨스템즈,019490,사업보고서 (2018.12),20190401001595,하이트론씨스템즈,20190401,연
Y,흥아해운,003280,사업보고서 (2018.12),20190401001594,흥아해운,20190401,연
K,이엔에프테크놀로지,102710,사업보고서 (2018.12),20190401001592,이엔에프테크놀로지,20190401,연
E,네오슈테른테크놀로지,00359766,사업보고서 (2018.12),20190401001582,네오슈테른테크놀로지,20190401,
K,디알젬,263690,사업보고서 (2018.12),20190401001571,디알젬,20190401,연
