crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,세종공업,033530,사업보고서 (2018.12),20190329003628,세종공업,20190329,연
K,포스코엠텍,009520,사업보고서 (2018.12),20190329003624,포스코엠텍,20190329,정
K,타이거일렉,219130,사업보고서 (2018.12),20190329003619,타이거일렉,20190329,
Y,한농화성,011500,사업보고서 (2018.12),20190329003612,한농화성,20190329,
K,아이원스,114810,사업보고서 (2018.12),20190329003611,아이원스,20190329,
K,솔고바이오,043100,사업보고서 (2018.12),20190329003610,솔고바이오,20190329,연
K,파마리서치프로덕트,214450,사업보고서 (2018.12),20190329003608,파마리서치프로덕트,20190329,연
K,장원테크,174880,사업보고서 (2018.12),20190329003603,장원테크,20190329,연
Y,두산,000150,사업보고서 (2018.12),20190329003598,두산,20190329,연
K,퓨쳐켐,220100,사업보고서 (2018.12),20190329003594,퓨쳐켐,20190329,연
K,내츄럴엔도텍,168330,사업보고서 (2018.12),20190329003592,내츄럴엔도텍,20190329,연
K,에스텍파마,041910,사업보고서 (2018.12),20190329003586,에스텍파마,20190329,연
K,신흥에스이씨,243840,사업보고서 (2018.12),20190329003577,신흥에스이씨,20190329,정연
E,삼중테크,00340795,사업보고서 (2018.12),20190329003570,삼중테크,20190329,
K,토박스코리아,215480,사업보고서 (2018.12),20190329003567,토박스코리아,20190329,
K,일야,058450,사업보고서 (2018.12),20190329003564,일야,20190329,
K,이오테크닉스,039030,사업보고서 (2018.12),20190329003556,이오테크닉스,20190329,연
K,삼표시멘트,038500,사업보고서 (2018.12),20190329003546,삼표시멘트,20190329,연
K,CNH,023460,사업보고서 (2018.12),20190329003545,CNH,20190329,연
K,바이온,032980,사업보고서 (2018.12),20190329003543,바이온,20190329,연
K,이미지스,115610,사업보고서 (2018.12),20190329003537,이미지스,20190329,연
K,코메론,049430,사업보고서 (2018.12),20190329003532,코메론,20190329,연
Y,디와이,013570,사업보고서 (2018.12),20190329003526,디와이,20190329,연
K,위지트,036090,사업보고서 (2018.12),20190329003521,위지트,20190329,연
Y,디와이파워,210540,사업보고서 (2018.12),20190329003514,디와이파워,20190329,연
K,영인프런티어,036180,사업보고서 (2018.12),20190329003515,영인프런티어,20190329,
N,엔솔바이오사이언스,140610,사업보고서 (2018.12),20190329003512,엔솔바이오사이언스,20190329,연
