crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
E,올리패스,01070149,[첨부정정]사업보고서 (2018.12),20190403000131,올리패스,20190403,연
K,에치에프알,230240,[기재정정]사업보고서 (2018.12),20190402002588,에치에프알,20190403,연
E,하임바이오,01277104,[기재정정]사업보고서 (2018.12),20190402002529,하임바이오,20190402,
E,삼우씨엠건축사사무소,00127459,[기재정정]사업보고서 (2018.12),20190402002454,삼우씨엠건축사사무소,20190402,
K,광림,014200,[기재정정]사업보고서 (2018.12),20190402002417,광림,20190402,연
Y,JW홀딩스,096760,[기재정정]사업보고서 (2018.12),20190402002353,JW홀딩스,20190402,연
Y,JW중외제약,001060,[기재정정]사업보고서 (2018.12),20190402002312,JW중외제약,20190402,연
E,코리아2000,00271440,[기재정정]사업보고서 (2018.12),20190402002262,코리아2000,20190402,
K,제우스,079370,[기재정정]사업보고서 (2018.12),20190402002237,제우스,20190402,연
Y,LS네트웍스,000680,[기재정정]사업보고서 (2018.12),20190402002227,LS네트웍스,20190402,연
Y,에스엘,005850,[기재정정]사업보고서 (2018.12),20190402002097,에스엘,20190402,연
K,바이오스마트,038460,[기재정정]사업보고서 (2018.12),20190402002045,바이오스마트,20190402,연
K,EMW,079190,[기재정정]사업보고서 (2018.12),20190402002032,EMW,20190402,연
K,포스코엠텍,009520,[첨부정정]사업보고서 (2018.12),20190402001933,포스코엠텍,20190402,
E,노바셀테크놀로지,00852096,[기재정정]사업보고서 (2018.12),20190402001920,노바셀테크놀로지,20190402,
K,우노앤컴퍼니,114630,[기재정정]사업보고서 (2018.12),20190402001904,우노앤컴퍼니,20190402,연
K,삼본정밀전자,111870,[기재정정]사업보고서 (2018.12),20190402001862,삼본정밀전자,20190402,연
K,와이지엔터테인먼트,122870,[기재정정]사업보고서 (2018.12),20190402001791,와이지엔터테인먼트,20190402,연
K,나우아이비캐피탈,293580,[기재정정]사업보고서 (2018.12),20190402001763,나우아이비캐피탈,20190402,
K,로보티즈,108490,[기재정정]사업보고서 (2018.12),20190402001740,로보티즈,20190402,연
E,멈스,01133466,사업보고서 (2018.12),20190402001710,멈스,20190402,
K,마이크로텍,227950,[기재정정]사업보고서 (2018.12),20190402001656,마이크로텍,20190402,연
K,파인테크닉스,106240,[기재정정]사업보고서 (2018.12),20190402001621,파인테크닉스,20190402,연
K,삼륭물산,014970,[기재정정]사업보고서 (2018.12),20190402001552,삼륭물산,20190402,연
K,명성티엔에스,257370,[기재정정]사업보고서 (2018.12),20190402001523,명성티엔에스,20190402,연
Y,LIG넥스원,079550,[기재정정]사업보고서 (2018.12),20190402001475,LIG넥스원,20190402,
Y,고려제강,002240,[기재정정]사업보고서 (2018.12),20190402001474,고려제강,20190402,연
