crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,인바디,041830,사업보고서 (2018.12),20190401004564,인바디,20190401,연
Y,대성산업,128820,사업보고서 (2018.12),20190401004563,대성산업,20190401,연
K,웰크론한텍,076080,사업보고서 (2018.12),20190401004561,웰크론한텍,20190401,연
N,전우정밀,120780,사업보고서 (2018.12),20190401004555,전우정밀,20190401,
N,노브메타파마,229500,사업보고서 (2018.12),20190401004552,노브메타파마,20190401,연
K,엘앤케이바이오,156100,사업보고서 (2018.12),20190401004554,엘앤케이바이오,20190401,연
Y,현대로템,064350,사업보고서 (2018.12),20190401004553,현대로템,20190401,연
E,중앙일보,00149813,사업보고서 (2018.12),20190401004551,중앙일보,20190401,
K,동국산업,005160,사업보고서 (2018.12),20190401004549,동국산업,20190401,연
K,아모텍,052710,사업보고서 (2018.12),20190401004547,아모텍,20190401,연
E,케이알파트너스,01207169,사업보고서 (2018.12),20190401004543,케이알파트너스,20190401,
K,무림SP,001810,사업보고서 (2018.12),20190401004541,무림SP,20190401,연
K,아프리카TV,067160,사업보고서 (2018.12),20190401004540,아프리카TV,20190401,연
K,코오롱생명과학,102940,사업보고서 (2018.12),20190401004538,코오롱생명과학,20190401,
K,인성정보,033230,사업보고서 (2018.12),20190401004537,인성정보,20190401,연
K,한국팩키지,037230,사업보고서 (2018.12),20190401004535,한국팩키지,20190401,
E,태림페이퍼,00118460,사업보고서 (2018.12),20190401004533,태림페이퍼,20190401,연
K,우리이티아이,082850,사업보고서 (2018.12),20190401004531,우리이티아이,20190401,연
K,제이티,089790,사업보고서 (2018.12),20190401004528,제이티,20190401,
Y,녹십자홀딩스,005250,사업보고서 (2018.12),20190401004527,녹십자홀딩스,20190401,연
K,감마누,192410,사업보고서 (2018.12),20190401004524,감마누,20190401,연
Y,신세계I&C,035510,사업보고서 (2018.12),20190401004522,신세계I&C,20190401,
K,골프존뉴딘홀딩스,121440,사업보고서 (2018.12),20190401004520,골프존뉴딘홀딩스,20190401,연
K,바이오제네틱스,044480,사업보고서 (2018.12),20190401004518,바이오제네틱스,20190401,연
K,크리스탈,083790,사업보고서 (2018.12),20190401004516,크리스탈,20190401,연
K,한컴지엠디,077280,사업보고서 (2018.12),20190401004517,한컴지엠디,20190401,연
E,케이비국민카드,00857392,사업보고서 (2018.12),20190401004514,케이비국민카드,20190401,연
Y,롯데쇼핑,023530,사업보고서 (2018.12),20190401004513,롯데쇼핑,20190401,연
Y,키움증권,039490,사업보고서 (2018.12),20190401004512,키움증권,20190401,연
K,버추얼텍,036620,사업보고서 (2018.12),20190401004509,버추얼텍,20190401,연
Y,이노션,214320,사업보고서 (2018.12),20190401004506,이노션,20190401,연
Y,KR모터스,000040,사업보고서 (2018.12),20190401004505,KR모터스,20190401,연
Y,대한제당,001790,사업보고서 (2018.12),20190401004501,대한제당,20190401,연
K,SFA반도체,036540,사업보고서 (2018.12),20190401004500,SFA반도체,20190401,연
K,부방,014470,사업보고서 (2018.12),20190401004499,부방,20190401,연
K,KTH,036030,사업보고서 (2018.12),20190401004498,KTH,20190401,
Y,현대중공업지주,267250,사업보고서 (2018.12),20190401004497,현대중공업지주,20190401,연
E,프리젠,00353230,사업보고서 (2018.12),20190401004496,프리젠,20190401,
N,지놈앤컴퍼니,314130,사업보고서 (2018.12),20190401004495,지놈앤컴퍼니,20190401,
E,현대종합특수강,00864842,사업보고서 (2018.12),20190401004493,현대종합특수강,20190401,연
K,세미콘라이트,214310,사업보고서 (2018.12),20190401004492,세미콘라이트,20190401,연
K,아이씨디,040910,사업보고서 (2018.12),20190401004490,아이씨디,20190401,연
Y,NAVER,035420,사업보고서 (2018.12),20190401004489,NAVER,20190401,연
K,셀트리온헬스케어,091990,사업보고서 (2018.12),20190401004488,셀트리온헬스케어,20190401,연
N,비엔디생활건강,215050,사업보고서 (2018.12),20190401004486,비엔디생활건강,20190401,
K,현진소재,053660,사업보고서 (2018.12),20190401004484,현진소재,20190401,연
E,예스코,01292671,사업보고서 (2018.12),20190401004482,예스코,20190401,연
Y,세아홀딩스,058650,사업보고서 (2018.12),20190401004481,세아홀딩스,20190401,연
E,다인바이오,01174223,사업보고서 (2018.12),20190401004480,다인바이오,20190401,
Y,휴스틸,005010,사업보고서 (2018.12),20190401004479,휴스틸,20190401,연
Y,한국제지,002300,사업보고서 (2018.12),20190401004478,한국제지,20190401,연
K,CSA 코스믹,083660,사업보고서 (2018.12),20190401004475,CSA 코스믹,20190401,연
Y,동원산업,006040,사업보고서 (2018.12),20190401004474,동원산업,20190401,연
K,나무가,190510,사업보고서 (2018.12),20190401004473,나무가,20190401,연
K,SKC 솔믹스,057500,사업보고서 (2018.12),20190401004470,SKC 솔믹스,20190401,연
N,엔에스컴퍼니,224760,사업보고서 (2018.12),20190401004469,엔에스컴퍼니,20190401,
Y,현대상선,011200,사업보고서 (2018.12),20190401004468,현대상선,20190401,연
K,한국정밀기계,101680,사업보고서 (2018.12),20190401004467,한국정밀기계,20190401,
K,대한뉴팜,054670,사업보고서 (2018.12),20190401004466,대한뉴팜,20190401,
K,인터불스,158310,사업보고서 (2018.12),20190401004463,인터불스,20190401,연
Y,태평양물산,007980,사업보고서 (2018.12),20190401004462,태평양물산,20190401,연
Y,신세계푸드,031440,사업보고서 (2018.12),20190401004461,신세계푸드,20190401,연
K,희림,037440,사업보고서 (2018.12),20190401004460,희림,20190401,연
Y,롯데제과,280360,사업보고서 (2018.12),20190401004458,롯데제과,20190401,연
K,멀티캠퍼스,067280,사업보고서 (2018.12),20190401004457,멀티캠퍼스,20190401,연
K,대원산업,005710,사업보고서 (2018.12),20190401004456,대원산업,20190401,연
Y,녹십자,006280,사업보고서 (2018.12),20190401004454,녹십자,20190401,연
K,신라젠,215600,사업보고서 (2018.12),20190401004453,신라젠,20190401,연
Y,에스제이엠홀딩스,025530,사업보고서 (2018.12),20190401004451,에스제이엠홀딩스,20190401,연
K,동양파일,228340,[기재정정]사업보고서 (2018.12),20190401004450,동양파일,20190401,정
