crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,에너토크,019990,사업보고서 (2018.12),20190329000546,에너토크,20190329,연
E,해원에스티,00252001,사업보고서 (2018.12),20190329000536,해원에스티,20190329,
Y,보락,002760,사업보고서 (2018.12),20190329000531,보락,20190329,
Y,국동,005320,사업보고서 (2018.12),20190329000528,국동,20190329,연
K,글로본,019660,사업보고서 (2018.12),20190329000516,글로본,20190329,
K,팅크웨어,084730,사업보고서 (2018.12),20190329000512,팅크웨어,20190329,연
Y,신풍제지,002870,사업보고서 (2018.12),20190329000498,신풍제지,20190329,연
E,양산컨트리클럽,00552080,사업보고서 (2018.12),20190329000494,양산컨트리클럽,20190329,
Y,대구백화점,006370,사업보고서 (2018.12),20190329000487,대구백화점,20190329,연
E,아이비케이캐피탈,00275251,사업보고서 (2018.12),20190329000484,아이비케이캐피탈,20190329,연
K,디케이락,105740,사업보고서 (2018.12),20190329000450,디케이락,20190329,
Y,환인제약,016580,사업보고서 (2018.12),20190329000435,환인제약,20190329,
K,파워로직스,047310,사업보고서 (2018.12),20190329000420,파워로직스,20190329,연
N,아이케이세미콘,149010,사업보고서 (2018.12),20190329000416,아이케이세미콘,20190329,연
E,아이택스넷,00693299,사업보고서 (2018.12),20190329000401,아이택스넷,20190329,
E,씽크풀,00355380,사업보고서 (2018.12),20190329000393,씽크풀,20190329,
E,서울신문사,00130888,사업보고서 (2018.12),20190329000390,서울신문사,20190329,
K,화이브라더스코리아,204630,사업보고서 (2018.12),20190329000373,화이브라더스코리아,20190329,연
Y,삼영전자공업,005680,사업보고서 (2018.12),20190329000368,삼영전자공업,20190329,연
K,유아이엘,049520,사업보고서 (2018.12),20190329000349,유아이엘,20190329,연
Y,부광약품,003000,사업보고서 (2018.12),20190329000319,부광약품,20190329,연
Y,넥센,005720,사업보고서 (2018.12),20190329000311,넥센,20190329,연
K,루미마이크로,082800,사업보고서 (2018.12),20190329000302,루미마이크로,20190329,
E,천지산업,00151447,사업보고서 (2018.12),20190329000292,천지산업,20190329,
K,크린앤사이언스,045520,사업보고서 (2018.12),20190329000276,크린앤사이언스,20190329,연
K,엠씨넥스,097520,사업보고서 (2018.12),20190329000274,엠씨넥스,20190329,연
E,포천파워,00687085,사업보고서 (2018.12),20190329000238,포천파워,20190329,
K,연우,115960,사업보고서 (2018.12),20190329000228,연우,20190329,연
Y,삼화왕관,004450,사업보고서 (2018.12),20190329000227,삼화왕관,20190329,
Y,동원시스템즈,014820,사업보고서 (2018.12),20190329000207,동원시스템즈,20190329,연
K,교보7호스팩,267320,사업보고서 (2018.12),20190329000201,교보7호스팩,20190329,
E,텔라움,00304401,사업보고서 (2018.12),20190329000194,텔라움,20190329,
K,청보산업,013720,사업보고서 (2018.12),20190329000184,청보산업,20190329,
K,SDN,099220,사업보고서 (2018.12),20190329000179,SDN,20190329,연
N,한중엔시에스,107640,사업보고서 (2018.12),20190329000177,한중엔시에스,20190329,연
E,한림오스람임플란트,00277107,소액공모법인결산서류 (2018.12),20190329000169,한림오스람임플란트,20190329,
K,교보8호스팩,307280,사업보고서 (2018.12),20190329000148,교보8호스팩,20190329,정
K,진바이오텍,086060,사업보고서 (2018.12),20190329000129,진바이오텍,20190329,연
Y,케이씨,029460,사업보고서 (2018.12),20190329000127,케이씨,20190329,연
Y,한화투자증권,003530,사업보고서 (2018.12),20190329000124,한화투자증권,20190329,연
E,미성포리테크,00530796,사업보고서 (2018.12),20190329000118,미성포리테크,20190329,
E,케이알투자증권,00537559,사업보고서 (2018.12),20190329000116,케이알투자증권,20190329,
K,엔에이치스팩13호,310840,사업보고서 (2018.12),20190329000115,엔에이치스팩13호,20190329,
