crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,무학,033920,[기재정정]분기보고서 (2017.03),20190225002125,무학,20190225,
Y,무학,033920,[기재정정]사업보고서 (2016.12),20190225001840,무학,20190225,연
Y,무학,033920,[기재정정]분기보고서 (2016.09),20190225001790,무학,20190225,
Y,무학,033920,[기재정정]반기보고서 (2016.06),20190225001685,무학,20190225,
Y,무학,033920,[기재정정]분기보고서 (2016.03),20190225001565,무학,20190225,
Y,무학,033920,[기재정정]사업보고서 (2015.12),20190225001503,무학,20190225,연
E,푸르덴셜파이낸셜인크,00586120,사업보고서 (2018.12),20190225001308,푸르덴셜파이낸셜인크,20190225,연
Y,무학,033920,[기재정정]분기보고서 (2015.09),20190225001257,무학,20190225,
Y,무학,033920,[기재정정]반기보고서 (2015.06),20190225001238,무학,20190225,
Y,무학,033920,[기재정정]분기보고서 (2015.03),20190225001224,무학,20190225,
Y,무학,033920,[기재정정]사업보고서 (2014.12),20190225001198,무학,20190225,연
Y,무학,033920,[기재정정]분기보고서 (2014.09),20190225000912,무학,20190225,
Y,무학,033920,[기재정정]반기보고서 (2014.06),20190225000906,무학,20190225,
Y,무학,033920,[기재정정]분기보고서 (2014.03),20190225000609,무학,20190225,
K,텔콘RF제약,200230,[기재정정]분기보고서 (2018.09),20190222001697,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]반기보고서 (2018.06),20190222001690,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]분기보고서 (2018.03),20190222001680,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]사업보고서 (2017.12),20190222001675,텔콘RF제약,20190222,연
K,텔콘RF제약,200230,[기재정정]분기보고서 (2017.09),20190222001674,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]반기보고서 (2017.06),20190222001671,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]분기보고서 (2017.03),20190222001668,텔콘RF제약,20190222,
K,텔콘RF제약,200230,[기재정정]사업보고서 (2016.12),20190222001664,텔콘RF제약,20190222,연
K,텔콘RF제약,200230,[기재정정]분기보고서 (2016.09),20190222001661,텔콘RF제약,20190222,
K,양지사,030960,반기보고서 (2018.12),20190214001089,양지사,20190214,
E,리딩투자증권,00323549,분기보고서 (2018.12),20190214001085,리딩투자증권,20190214,
Y,세원정공,021820,반기보고서 (2018.12),20190214001076,세원정공,20190214,
K,효성오앤비,097870,반기보고서 (2018.12),20190214001040,효성오앤비,20190214,
Y,오리엔트바이오,002630,분기보고서 (2018.12),20190214001033,오리엔트바이오,20190214,
Y,형지엘리트,093240,반기보고서 (2018.12),20190214001020,형지엘리트,20190214,
Y,대동전자,008110,분기보고서 (2018.12),20190214000989,대동전자,20190214,
Y,기신정기,092440,분기보고서 (2018.12),20190214000985,기신정기,20190214,
K,메이슨캐피탈,021880,분기보고서 (2018.12),20190214000964,메이슨캐피탈,20190214,
K,제미니투자,019570,분기보고서 (2018.12),20190214000865,제미니투자,20190214,
Y,신영증권,001720,분기보고서 (2018.12),20190214000858,신영증권,20190214,
Y,체시스,033250,반기보고서 (2018.12),20190214000856,체시스,20190214,
K,중앙오션,054180,반기보고서 (2018.12),20190214000847,중앙오션,20190214,
K,인터엠,017250,분기보고서 (2018.12),20190214000837,인터엠,20190214,
K,아세아텍,050860,반기보고서 (2018.12),20190214000833,아세아텍,20190214,
Y,금비,008870,분기보고서 (2018.12),20190214000814,금비,20190214,
K,한류타임즈,039670,분기보고서 (2018.12),20190214000807,한류타임즈,20190214,
Y,신성통상,005390,반기보고서 (2018.12),20190214000806,신성통상,20190214,
Y,한국주철관공업,000970,분기보고서 (2018.12),20190214000801,한국주철관공업,20190214,
K,바른손,018700,분기보고서 (2018.12),20190214000779,바른손,20190214,
Y,방림,003610,분기보고서 (2018.12),20190214000763,방림,20190214,
K,비츠로시스,054220,분기보고서 (2018.12),20190214000737,비츠로시스,20190214,
K,농업회사법인아시아종묘,154030,분기보고서 (2018.12),20190214000725,농업회사법인아시아종묘,20190214,
K,피에스엠씨,024850,분기보고서 (2018.12),20190214000696,피에스엠씨,20190214,
E,덴소코리아,00155647,분기보고서 (2018.12),20190214000634,덴소코리아,20190214,
Y,신한알파리츠,293940,반기보고서 (2018.12),20190214000600,신한알파리츠,20190214,
K,한스바이오메드,042520,분기보고서 (2018.12),20190214000531,한스바이오메드,20190214,
Y,만호제강,001080,반기보고서 (2018.12),20190214000482,만호제강,20190214,
E,오릭스캐피탈코리아,00502410,분기보고서 (2018.12),20190214000341,오릭스캐피탈코리아,20190214,
K,나노캠텍,091970,[기재정정]분기보고서 (2018.09),20190214000268,나노캠텍,20190214,
E,티에이케이정보시스템,00249098,분기보고서 (2018.12),20190214000120,티에이케이정보시스템,20190214,
K,SBI핀테크솔루션즈,950110,분기보고서 (2018.12),20190214000106,SBI핀테크솔루션즈,20190214,
K,이씨에스,067010,분기보고서 (2018.12),20190214000093,이씨에스,20190214,
Y,동원금속,018500,분기보고서 (2018.12),20190214000068,동원금속,20190214,
K,대신정보통신,020180,분기보고서 (2018.12),20190213000320,대신정보통신,20190213,
K,포시에스,189690,반기보고서 (2018.12),20190213000291,포시에스,20190213,
K,3S,060310,분기보고서 (2018.12),20190212000077,3S,20190212,
K,모아텍,033200,분기보고서 (2018.12),20190212000022,모아텍,20190212,
E,끄렘드라끄렘,01113930,[기재정정]분기보고서 (2018.09),20190208000398,끄렘드라끄렘,20190208,
E,끄렘드라끄렘,01113930,분기보고서 (2018.09),20190208000323,끄렘드라끄렘,20190208,정
