crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,다나와,119860,사업보고서 (2018.12),20190329003510,다나와,20190329,연
Y,파미셀,005690,사업보고서 (2018.12),20190329003504,파미셀,20190329,
K,에코바이오,038870,사업보고서 (2018.12),20190329003502,에코바이오,20190329,연
E,포스코플랜텍,00181934,사업보고서 (2018.12),20190329003500,포스코플랜텍,20190329,연
K,오스테오닉,226400,사업보고서 (2018.12),20190329003496,오스테오닉,20190329,
Y,케이탑리츠,145270,사업보고서 (2018.12),20190329003486,케이탑리츠,20190329,
N,이비테크,208850,사업보고서 (2018.12),20190329003485,이비테크,20190329,
K,이글루시큐리티,067920,사업보고서 (2018.12),20190329003481,이글루시큐리티,20190329,연
E,삼환기업,00129411,[기재정정]분기보고서 (2018.09),20190329003480,삼환기업,20190329,
K,다믈멀티미디어,093640,사업보고서 (2018.12),20190329003479,다믈멀티미디어,20190329,
K,경남스틸,039240,사업보고서 (2018.12),20190329003477,경남스틸,20190329,
Y,디아이,003160,사업보고서 (2018.12),20190329003470,디아이,20190329,연
N,툴젠,199800,사업보고서 (2018.12),20190329003468,툴젠,20190329,
K,리노공업,058470,사업보고서 (2018.12),20190329003466,리노공업,20190329,
K,비트컴퓨터,032850,사업보고서 (2018.12),20190329003463,비트컴퓨터,20190329,연
E,바이오이즈,01185548,사업보고서 (2018.12),20190329003461,바이오이즈,20190329,연
E,태광실업,00153418,사업보고서 (2018.12),20190329003459,태광실업,20190329,
Y,덴티움,145720,사업보고서 (2018.12),20190329003453,덴티움,20190329,연
E,라이트팜텍,01161292,사업보고서 (2018.12),20190329003452,라이트팜텍,20190329,
N,피노텍,150440,사업보고서 (2018.12),20190329003451,피노텍,20190329,연
E,바이오제닉스,00866965,사업보고서 (2018.12),20190329003450,바이오제닉스,20190329,
Y,한화에어로스페이스,012450,사업보고서 (2018.12),20190329003444,한화에어로스페이스,20190329,연
Y,현대비앤지스틸,004560,사업보고서 (2018.12),20190329003440,현대비앤지스틸,20190329,연
E,엘티삼보,00125910,사업보고서 (2018.12),20190329003434,엘티삼보,20190329,연
E,씨디네트웍스,00493501,사업보고서 (2018.12),20190329003428,씨디네트웍스,20190329,연
K,서호전기,065710,사업보고서 (2018.12),20190329003416,서호전기,20190329,연
K,한컴시큐어,054920,사업보고서 (2018.12),20190329003407,한컴시큐어,20190329,연
K,모다이노칩,080420,사업보고서 (2018.12),20190329003404,모다이노칩,20190329,연
E,풍림산업,00155498,사업보고서 (2018.12),20190329003400,풍림산업,20190329,
K,이지바이오,035810,사업보고서 (2018.12),20190329003399,이지바이오,20190329,연
K,테고사이언스,191420,사업보고서 (2018.12),20190329003398,테고사이언스,20190329,연
Y,TCC동양,002710,사업보고서 (2018.12),20190329003396,TCC동양,20190329,연
K,미래나노텍,095500,사업보고서 (2018.12),20190329003395,미래나노텍,20190329,연
E,한국씨티은행,00161444,사업보고서 (2018.12),20190329003383,한국씨티은행,20190329,연
K,인화정공,101930,사업보고서 (2018.12),20190329003375,인화정공,20190329,연
Y,삼화콘덴서공업,001820,사업보고서 (2018.12),20190329003368,삼화콘덴서공업,20190329,연
K,네오오토,212560,사업보고서 (2018.12),20190329003366,네오오토,20190329,
Y,천일고속,000650,사업보고서 (2018.12),20190329003364,천일고속,20190329,
Y,대동공업,000490,사업보고서 (2018.12),20190329003355,대동공업,20190329,연
Y,한솔홀딩스,004150,사업보고서 (2018.12),20190329003351,한솔홀딩스,20190329,연
K,넥스트아이,137940,사업보고서 (2018.12),20190329003350,넥스트아이,20190329,연
K,티에스이,131290,사업보고서 (2018.12),20190329003349,티에스이,20190329,연
Y,OCI,010060,사업보고서 (2018.12),20190329003340,OCI,20190329,연
E,대구도시공사,00856728,사업보고서 (2018.12),20190329003339,대구도시공사,20190329,
K,피에스케이,031980,사업보고서 (2018.12),20190329003338,피에스케이,20190329,연
K,뷰웍스,100120,사업보고서 (2018.12),20190329003334,뷰웍스,20190329,연
E,삼환기업,00129411,[기재정정]반기보고서 (2018.06),20190329003331,삼환기업,20190329,
Y,미래산업,025560,사업보고서 (2018.12),20190329003329,미래산업,20190329,연
