crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,한일시멘트,300720,사업보고서 (2018.12),20190401004743,한일시멘트,20190401,
K,코리아나,027050,사업보고서 (2018.12),20190401004741,코리아나,20190401,연
Y,에넥스,011090,사업보고서 (2018.12),20190401004740,에넥스,20190401,연
K,듀오백,073190,사업보고서 (2018.12),20190401004739,듀오백,20190401,연
K,티케이케미칼,104480,사업보고서 (2018.12),20190401004737,티케이케미칼,20190401,
Y,만도,204320,사업보고서 (2018.12),20190401004735,만도,20190401,연
K,선데이토즈,123420,사업보고서 (2018.12),20190401004730,선데이토즈,20190401,연
K,광림,014200,사업보고서 (2018.12),20190401005180,광림,20190401,정연
Y,AJ렌터카,068400,사업보고서 (2018.12),20190401004726,AJ렌터카,20190401,연
Y,페이퍼코리아,001020,사업보고서 (2018.12),20190401004724,페이퍼코리아,20190401,연
Y,태광산업,003240,사업보고서 (2018.12),20190401004723,태광산업,20190401,연
Y,풀무원,017810,사업보고서 (2018.12),20190401004722,풀무원,20190401,연
K,로지시스,067730,사업보고서 (2018.12),20190401004719,로지시스,20190401,
Y,현대해상,001450,사업보고서 (2018.12),20190401004720,현대해상,20190401,연
K,뉴로스,126870,[첨부추가]사업보고서 (2018.12),20190401004718,뉴로스,20190401,연
E,코오롱글로텍,00152923,사업보고서 (2018.12),20190401004717,코오롱글로텍,20190401,연
K,동양파일,228340,[기재정정]사업보고서 (2018.12),20190401004716,동양파일,20190401,
K,승일,049830,사업보고서 (2018.12),20190401004715,승일,20190401,
K,우주일렉트로,065680,사업보고서 (2018.12),20190401004714,우주일렉트로,20190401,연
K,하이로닉,149980,[기재정정]사업보고서 (2018.12),20190401004713,하이로닉,20190401,연
Y,JW생명과학,234080,사업보고서 (2018.12),20190401004712,JW생명과학,20190401,연
E,풀무원식품,00684732,사업보고서 (2018.12),20190401004711,풀무원식품,20190401,연
E,하임바이오,01277104,사업보고서 (2018.12),20190401004710,하임바이오,20190401,정
Y,케이티스,058860,사업보고서 (2018.12),20190401004709,케이티스,20190401,
K,마제스타,035480,사업보고서 (2018.12),20190401004707,마제스타,20190401,
K,에스마크,030270,사업보고서 (2018.12),20190401004704,에스마크,20190401,연
K,태양,053620,사업보고서 (2018.12),20190401004702,태양,20190401,연
K,한국맥널티,222980,사업보고서 (2018.12),20190401004700,한국맥널티,20190401,연
K,대림제지,017650,사업보고서 (2018.12),20190401004694,대림제지,20190401,연
Y,현대건설,000720,사업보고서 (2018.12),20190401004695,현대건설,20190401,연
Y,종근당,185750,사업보고서 (2018.12),20190401004693,종근당,20190401,연
Y,넷마블,251270,사업보고서 (2018.12),20190401004690,넷마블,20190401,연
E,한국유리공업,00159005,사업보고서 (2018.12),20190401004689,한국유리공업,20190401,연
Y,신한,005450,사업보고서 (2018.12),20190401004684,신한,20190401,연
E,파이널데이터,00262479,사업보고서 (2018.12),20190401004683,파이널데이터,20190401,
Y,영원무역,111770,사업보고서 (2018.12),20190401004682,영원무역,20190401,연
Y,삼성중공업,010140,사업보고서 (2018.12),20190401004680,삼성중공업,20190401,연
Y,한진중공업홀딩스,003480,사업보고서 (2018.12),20190401004678,한진중공업홀딩스,20190401,연
Y,에스원,012750,사업보고서 (2018.12),20190401004677,에스원,20190401,연
E,대우정보시스템,00192347,사업보고서 (2018.12),20190401004672,대우정보시스템,20190401,
K,케이엘넷,039420,사업보고서 (2018.12),20190401004670,케이엘넷,20190401,연
Y,SK,034730,사업보고서 (2018.12),20190401004667,SK,20190401,연
Y,대호에이엘,069460,[첨부정정]사업보고서 (2018.12),20190401004665,대호에이엘,20190401,
K,하나마이크론,067310,사업보고서 (2018.12),20190401004664,하나마이크론,20190401,연
K,KMH,122450,[첨부추가]사업보고서 (2018.12),20190401004662,KMH,20190401,연
Y,다우기술,023590,사업보고서 (2018.12),20190401004660,다우기술,20190401,정연
Y,JW홀딩스,096760,사업보고서 (2018.12),20190401004657,JW홀딩스,20190401,정연
Y,코오롱플라스틱,138490,사업보고서 (2018.12),20190401004655,코오롱플라스틱,20190401,연
K,KH바텍,060720,사업보고서 (2018.12),20190401004654,KH바텍,20190401,연
K,바른전자,064520,사업보고서 (2018.12),20190401004653,바른전자,20190401,연
Y,깨끗한나라,004540,사업보고서 (2018.12),20190401004652,깨끗한나라,20190401,연
N,판도라티비,202960,사업보고서 (2018.12),20190401004650,판도라티비,20190401,연
Y,미래에셋대우,006800,사업보고서 (2018.12),20190401004649,미래에셋대우,20190401,연
K,이베스트투자증권,078020,사업보고서 (2018.12),20190401004648,이베스트투자증권,20190401,연
K,서한,011370,사업보고서 (2018.12),20190401004645,서한,20190401,
N,굿센,243870,사업보고서 (2018.12),20190401004644,굿센,20190401,
Y,LG,003550,사업보고서 (2018.12),20190401004643,LG,20190401,연
N,SGA임베디드,224880,사업보고서 (2018.12),20190401004642,SGA임베디드,20190401,
Y,KB금융,105560,사업보고서 (2018.12),20190401004641,KB금융,20190401,연
Y,엔씨소프트,036570,사업보고서 (2018.12),20190401004640,엔씨소프트,20190401,연
E,동원엔터프라이즈,00360425,사업보고서 (2018.12),20190401004638,동원엔터프라이즈,20190401,연
Y,롯데칠성음료,005300,사업보고서 (2018.12),20190401004636,롯데칠성음료,20190401,연
K,네이처셀,007390,사업보고서 (2018.12),20190401004634,네이처셀,20190401,
Y,신송홀딩스,006880,사업보고서 (2018.12),20190401004633,신송홀딩스,20190401,연
Y,예스코홀딩스,015360,사업보고서 (2018.12),20190401004632,예스코홀딩스,20190401,연
Y,HDC,012630,사업보고서 (2018.12),20190401004630,HDC,20190401,연
E,리독스바이오,01179927,사업보고서 (2018.12),20190401004627,리독스바이오,20190401,
K,KG이니시스,035600,사업보고서 (2018.12),20190401004624,KG이니시스,20190401,연
K,아이리버,060570,사업보고서 (2018.12),20190401004618,아이리버,20190401,연
K,사람인에이치알,143240,사업보고서 (2018.12),20190401004615,사람인에이치알,20190401,연
K,나이스디앤비,130580,사업보고서 (2018.12),20190401004614,나이스디앤비,20190401,연
Y,금호타이어,073240,사업보고서 (2018.12),20190401004613,금호타이어,20190401,연
K,APS홀딩스,054620,사업보고서 (2018.12),20190401004611,APS홀딩스,20190401,연
Y,동양생명,082640,사업보고서 (2018.12),20190401004610,동양생명,20190401,연
E,에스케이이엔에스,00267058,사업보고서 (2018.12),20190401004609,에스케이이엔에스,20190401,연
E,지스마트,00676724,사업보고서 (2018.12),20190401004606,지스마트,20190401,연
K,트루윈,105550,사업보고서 (2018.12),20190401004604,트루윈,20190401,
K,제노포커스,187420,사업보고서 (2018.12),20190401004602,제노포커스,20190401,연
K,세종메디칼,258830,사업보고서 (2018.12),20190401004600,세종메디칼,20190401,연
K,이엘케이,094190,사업보고서 (2018.12),20190401004601,이엘케이,20190401,연
K,하나금융11호스팩,284620,[기재정정]사업보고서 (2018.12),20190401004592,하나금융11호스팩,20190401,
K,넥슨지티,041140,사업보고서 (2018.12),20190401004590,넥슨지티,20190401,연
K,유진로봇,056080,사업보고서 (2018.12),20190401004589,유진로봇,20190401,연
E,에스엠면세점,01131510,사업보고서 (2018.12),20190401004587,에스엠면세점,20190401,
K,아이진,185490,사업보고서 (2018.12),20190401004586,아이진,20190401,
Y,현대엘리베이터,017800,사업보고서 (2018.12),20190401004585,현대엘리베이터,20190401,연
Y,태림포장,011280,사업보고서 (2018.12),20190401004584,태림포장,20190401,연
K,엘컴텍,037950,사업보고서 (2018.12),20190401004582,엘컴텍,20190401,연
K,유에스티,263770,사업보고서 (2018.12),20190401004581,유에스티,20190401,
K,삼륭물산,014970,사업보고서 (2018.12),20190401005187,삼륭물산,20190401,정연
K,투비소프트,079970,사업보고서 (2018.12),20190401004579,투비소프트,20190401,연
Y,키다리스튜디오,020120,사업보고서 (2018.12),20190401004578,키다리스튜디오,20190401,정
K,한양디지텍,078350,사업보고서 (2018.12),20190401004577,한양디지텍,20190401,연
N,시그넷이브이,260870,사업보고서 (2018.12),20190401004576,시그넷이브이,20190401,
K,테스나,131970,사업보고서 (2018.12),20190401004575,테스나,20190401,
E,우리카드,00958822,사업보고서 (2018.12),20190401004573,우리카드,20190401,연
K,KG ETS,151860,[기재정정]사업보고서 (2018.12),20190401004571,KG ETS,20190401,연
K,인포뱅크,039290,사업보고서 (2018.12),20190401004570,인포뱅크,20190401,연
K,한국컴퓨터,054040,사업보고서 (2018.12),20190401004568,한국컴퓨터,20190401,연
Y,코오롱,002020,사업보고서 (2018.12),20190401004565,코오롱,20190401,연
