crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
E,대덕바이오,00916659,사업보고서 (2018.12),20190401003325,대덕바이오,20190401,
K,네오위즈홀딩스,042420,사업보고서 (2018.12),20190401003317,네오위즈홀딩스,20190401,연
E,대신에프앤아이,00416593,사업보고서 (2018.12),20190401003316,대신에프앤아이,20190401,연
K,현대공업,170030,사업보고서 (2018.12),20190401003308,현대공업,20190401,연
E,현대트랜시스,00302634,[첨부정정]사업보고서 (2018.12),20190401003305,현대트랜시스,20190401,연
E,비씨카드,00124656,[기재정정]사업보고서 (2018.12),20190401003300,비씨카드,20190401,연
E,하우리,00352000,사업보고서 (2018.12),20190401003297,하우리,20190401,연
K,바이오스마트,038460,사업보고서 (2018.12),20190401003296,바이오스마트,20190401,정연
K,휘닉스소재,050090,사업보고서 (2018.12),20190401003293,휘닉스소재,20190401,연
Y,메리츠화재,000060,사업보고서 (2018.12),20190401003290,메리츠화재,20190401,연
K,동양파일,228340,사업보고서 (2018.12),20190401003287,동양파일,20190401,정
Y,SK디스커버리,006120,사업보고서 (2018.12),20190401003286,SK디스커버리,20190401,연
K,시그네틱스,033170,사업보고서 (2018.12),20190401003284,시그네틱스,20190401,연
Y,쌍용자동차,003620,사업보고서 (2018.12),20190401003283,쌍용자동차,20190401,연
K,청담러닝,096240,사업보고서 (2018.12),20190401003281,청담러닝,20190401,연
Y,모두투어리츠,204210,사업보고서 (2018.12),20190401003279,모두투어리츠,20190401,
K,다원시스,068240,사업보고서 (2018.12),20190401003278,다원시스,20190401,연
Y,유니켐,011330,사업보고서 (2018.12),20190401003277,유니켐,20190401,연
Y,SK이노베이션,096770,사업보고서 (2018.12),20190401003274,SK이노베이션,20190401,연
K,덕산하이메탈,077360,사업보고서 (2018.12),20190401003271,덕산하이메탈,20190401,연
N,자비스,230400,사업보고서 (2018.12),20190401003270,자비스,20190401,연
K,대동기어,008830,사업보고서 (2018.12),20190401003267,대동기어,20190401,
K,주성엔지니어링,036930,사업보고서 (2018.12),20190401003266,주성엔지니어링,20190401,연
E,한솔교육,00246301,[기재정정]사업보고서 (2018.12),20190401003256,한솔교육,20190401,연
Y,부산주공,005030,사업보고서 (2018.12),20190401003252,부산주공,20190401,정
Y,코스맥스비티아이,044820,사업보고서 (2018.12),20190401003250,코스맥스비티아이,20190401,연
E,에스케이브로드밴드,00243988,사업보고서 (2018.12),20190401003248,에스케이브로드밴드,20190401,연
K,팬스타엔터프라이즈,054300,사업보고서 (2018.12),20190401003247,팬스타엔터프라이즈,20190401,
K,메가엠디,133750,사업보고서 (2018.12),20190401003244,메가엠디,20190401,연
K,플랜티넷,075130,사업보고서 (2018.12),20190401003242,플랜티넷,20190401,연
K,서울전자통신,027040,사업보고서 (2018.12),20190401003236,서울전자통신,20190401,연
K,명성티엔에스,257370,사업보고서 (2018.12),20190401003234,명성티엔에스,20190401,정연
Y,삼성생명,032830,사업보고서 (2018.12),20190401003232,삼성생명,20190401,연
Y,노루홀딩스,000320,사업보고서 (2018.12),20190401003229,노루홀딩스,20190401,연
