crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,티플랙스,081150,사업보고서 201812,20190329001405,티플랙스,20190329,
K,에이프로젠 HG,109960,사업보고서 201812,20190329001403,에이프로젠 HG,20190329,연
Y,한국단자공업,025540,사업보고서 201812,20190329001399,한국단자공업,20190329,연
K,수성,084180,사업보고서 201812,20190329001394,수성,20190329,정연
N,에프앤가이드,064850,사업보고서 201812,20190329001393,에프앤가이드,20190329,
K,디자인,227100,사업보고서 201812,20190329001388,디자인,20190329,연
K,골든브릿지이안5호,307870,사업보고서 201812,20190329001384,골든브릿지이안5호,20190329,
Y,성안,011300,사업보고서 201812,20190329001377,성안,20190329,연
K,엘디티,096870,사업보고서 201812,20190329001374,엘디티,20190329,
K,케이비제11호스팩,258790,사업보고서 201812,20190329001370,케이비제11호스팩,20190329,
K,중앙백신,072020,사업보고서 201812,20190329001369,중앙백신,20190329,
K,동아엘텍,088130,사업보고서 201812,20190329001365,동아엘텍,20190329,연
K,아미노로직스,074430,사업보고서 201812,20190329001356,아미노로직스,20190329,연
E,두합크린텍,00298003,소액공모법인결산서류 201812,20190329001349,두합크린텍,20190329,
K,케이비제10호스팩,250930,사업보고서 201812,20190329001348,케이비제10호스팩,20190329,
K,상신전자,263810,사업보고서 201812,20190329001344,상신전자,20190329,연
K,세명전기,017510,사업보고서 201812,20190329001316,세명전기,20190329,
K,하나머스트제6호스팩,307160,사업보고서 201812,20190329001305,하나머스트제6호스팩,20190329,
N,엠로,058970,사업보고서 201812,20190329001299,엠로,20190329,
E,이매진,00265290,사업보고서 201812,20190329001298,이매진,20190329,
N,비엔에프코퍼레이션,271780,사업보고서 201812,20190329001293,비엔에프코퍼레이션,20190329,
Y,부산산업,011390,사업보고서 201812,20190329001292,부산산업,20190329,연
K,탑엔지니어링,065130,사업보고서 201812,20190329001290,탑엔지니어링,20190329,연
N,포인트엔지니어링,176560,사업보고서 201812,20190329001288,포인트엔지니어링,20190329,연
K,파수닷컴,150900,사업보고서 201812,20190329001270,파수닷컴,20190329,연
K,엠게임,058630,사업보고서 201812,20190329001254,엠게임,20190329,연
E,소프트브리지,00260028,소액공모법인결산서류 201812,20190329001245,소프트브리지,20190329,
E,새롬정보시스템,00324867,사업보고서 201812,20190329001244,새롬정보시스템,20190329,
N,에스제이켐,217910,사업보고서 201812,20190329001231,에스제이켐,20190329,
K,옴니텔,057680,사업보고서 201812,20190329001227,옴니텔,20190329,
K,한솔인티큐브,070590,사업보고서 201812,20190329001213,한솔인티큐브,20190329,
K,힘스,238490,사업보고서 201812,20190329001209,힘스,20190329,
Y,JB금융지주,175330,사업보고서 201812,20190329001196,JB금융지주,20190329,연
K,에코마케팅,230360,사업보고서 201812,20190329001194,에코마케팅,20190329,연
Y,카프로,006380,사업보고서 201812,20190329001193,카프로,20190329,
Y,이스타코,015020,사업보고서 201812,20190329001187,이스타코,20190329,연
K,삼천당제약,000250,사업보고서 201812,20190329001180,삼천당제약,20190329,연
K,아이디스,143160,사업보고서 201812,20190329001179,아이디스,20190329,연
K,아이디스홀딩스,054800,사업보고서 201812,20190329001177,아이디스홀딩스,20190329,연
K,링크제니시스,219420,사업보고서 201812,20190329001163,링크제니시스,20190329,연
K,콜마비앤에이치,200130,사업보고서 201812,20190329001148,콜마비앤에이치,20190329,연
K,지어소프트,051160,사업보고서 201812,20190329001147,지어소프트,20190329,연
K,월덱스,101160,사업보고서 201812,20190329001145,월덱스,20190329,연
K,이엠텍,091120,사업보고서 201812,20190329001125,이엠텍,20190329,연
K,재영솔루텍,049630,사업보고서 201812,20190329001118,재영솔루텍,20190329,연
K,대성파인텍,104040,사업보고서 201812,20190329001113,대성파인텍,20190329,연
K,와토스코리아,079000,사업보고서 201812,20190329001085,와토스코리아,20190329,
K,아이컴포넌트,059100,사업보고서 201812,20190329001083,아이컴포넌트,20190329,
K,비엠티,086670,사업보고서 201812,20190329001076,비엠티,20190329,연
K,피앤씨테크,237750,사업보고서 201812,20190329001063,피앤씨테크,20190329,
Y,써니전자,004770,사업보고서 201812,20190329001062,써니전자,20190329,연
K,예스티,122640,사업보고서 201812,20190329001055,예스티,20190329,연
K,서원인텍,093920,사업보고서 201812,20190329001047,서원인텍,20190329,연
K,하이록코리아,013030,사업보고서 201812,20190329001042,하이록코리아,20190329,연
E,피케이밸브,00259253,사업보고서 201812,20190329001034,피케이밸브,20190329,연
Y,일진머티리얼즈,020150,사업보고서 201812,20190329001031,일진머티리얼즈,20190329,연
E,제이비우리캐피탈,00234971,사업보고서 201812,20190329001008,제이비우리캐피탈,20190329,연
E,우진엔지니어링,00867469,사업보고서 201812,20190329001005,우진엔지니어링,20190329,
E,메르세데스벤츠파이낸셜서비스코리아,00455389,기재정정사업보고서 201812,20190329001001,메르세데스벤츠파이낸셜서비스코리아,20190329,
K,DSC인베스트먼트,241520,사업보고서 201812,20190329000996,DSC인베스트먼트,20190329,연
K,디에이치피코리아,131030,사업보고서 201812,20190329000995,디에이치피코리아,20190329,
N,제놀루션,225220,사업보고서 201812,20190329000989,제놀루션,20190329,
N,바이오코아,216400,사업보고서 201812,20190329000974,바이오코아,20190329,
E,케이아이티,00268163,사업보고서 201812,20190329000972,케이아이티,20190329,
K,이퓨쳐,134060,사업보고서 201812,20190329000967,이퓨쳐,20190329,
K,현대사료,016790,사업보고서 201812,20190329000941,현대사료,20190329,
Y,삼일제약,000520,사업보고서 201812,20190329000933,삼일제약,20190329,연
Y,동국실업,001620,사업보고서 201812,20190329000883,동국실업,20190329,연
Y,대성에너지,117580,사업보고서 201812,20190329000882,대성에너지,20190329,연
N,빅텐츠,210120,기재정정사업보고서 201812,20190329000880,빅텐츠,20190329,연
N,제노텍,066830,사업보고서 201812,20190329000873,제노텍,20190329,
K,오파스넷,173130,사업보고서 201812,20190329000865,오파스넷,20190329,
K,현대통신,039010,사업보고서 201812,20190329000862,현대통신,20190329,연
E,코레이트자산운용,00314790,사업보고서 201812,20190329000860,코레이트자산운용,20190329,
Y,화천기공,000850,사업보고서 201812,20190329000849,화천기공,20190329,연
N,에스케이씨에스,224020,사업보고서 201812,20190329000843,에스케이씨에스,20190329,
N,인터코스,240340,사업보고서 201812,20190329000840,인터코스,20190329,
