crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,하이골드12호,172580,사업보고서 201812,20190401005113,하이골드12호,20190401,연
K,한국정보공학,039740,사업보고서 201812,20190401005111,한국정보공학,20190401,연
E,시큐아이,00294511,사업보고서 201812,20190401005109,시큐아이,20190401,
E,매경닷컴,00261647,사업보고서 201812,20190401005108,매경닷컴,20190401,
K,한국정보인증,053300,사업보고서 201812,20190401005105,한국정보인증,20190401,정연
E,에이플러스리얼티,00803869,사업보고서 201812,20190401005103,에이플러스리얼티,20190401,
Y,대림산업,000210,사업보고서 201812,20190401005101,대림산업,20190401,연
E,미래엔,00112873,첨부추가사업보고서 201812,20190401005100,미래엔,20190401,
Y,진에어,272450,사업보고서 201812,20190401005099,진에어,20190401,연
Y,한진중공업,097230,사업보고서 201812,20190401005097,한진중공업,20190401,연
Y,한신기계공업,011700,사업보고서 201812,20190401005094,한신기계공업,20190401,연
K,미래SCI,028040,사업보고서 201812,20190401005093,미래SCI,20190401,연
K,녹십자엠에스,142280,사업보고서 201812,20190401005092,녹십자엠에스,20190401,연
Y,삼성물산,028260,기재정정사업보고서 201812,20190401005090,삼성물산,20190401,연
E,스틸플라워,00454265,사업보고서 201812,20190401005087,스틸플라워,20190401,연
K,와이지엔터테인먼트,122870,기재정정사업보고서 201812,20190401005085,와이지엔터테인먼트,20190401,정연
E,크래프톤,00760971,기재정정사업보고서 201812,20190401005084,크래프톤,20190401,연
E,올리패스,01070149,사업보고서 201812,20190401005080,올리패스,20190401,정연
Y,부산주공,005030,기재정정사업보고서 201812,20190401005073,부산주공,20190401,
E,삼우씨엠건축사사무소,00127459,사업보고서 201812,20190401005072,삼우씨엠건축사사무소,20190401,정
K,동화기업,025900,기재정정사업보고서 201812,20190401005067,동화기업,20190401,연
Y,웅진씽크빅,095720,사업보고서 201812,20190401005063,웅진씽크빅,20190401,연
K,솔루에타,154040,사업보고서 201812,20190401005062,솔루에타,20190401,연
E,애큐온캐피탈,00595012,첨부정정사업보고서 201812,20190401005061,애큐온캐피탈,20190401,연
K,판타지오,032800,사업보고서 201812,20190401005059,판타지오,20190401,정연
K,게임빌,063080,사업보고서 201812,20190401005057,게임빌,20190401,연
Y,대한항공,003490,사업보고서 201812,20190401005056,대한항공,20190401,연
Y,한화생명,088350,사업보고서 201812,20190401005054,한화생명,20190401,연
E,라인어스,01358898,사업보고서 201812,20190401005051,라인어스,20190401,
Y,한진칼,180640,사업보고서 201812,20190401005052,한진칼,20190401,연
K,노바텍,285490,사업보고서 201812,20190401005043,노바텍,20190401,연
Y,일진전기,103590,사업보고서 201812,20190401005041,일진전기,20190401,연
Y,대한항공,003490,기재정정분기보고서 201809,20190401005036,대한항공,20190401,
K,아이엠텍,226350,사업보고서 201812,20190401005035,아이엠텍,20190401,연
K,CJ ENM,035760,사업보고서 201812,20190401005034,CJ ENM,20190401,연
K,시노펙스,025320,사업보고서 201812,20190401005031,시노펙스,20190401,연
K,특수건설,026150,사업보고서 201812,20190401005030,특수건설,20190401,연
K,에스엔유,080000,사업보고서 201812,20190401005028,에스엔유,20190401,연
K,KG모빌리언스,046440,사업보고서 201812,20190401005026,KG모빌리언스,20190401,연
K,인크로스,216050,사업보고서 201812,20190401005025,인크로스,20190401,연
Y,세화아이엠씨,145210,사업보고서 201812,20190401005024,세화아이엠씨,20190401,연
E,SK실트론,00138020,기재정정사업보고서 201812,20190401005021,SK실트론,20190401,연
Y,동성코퍼레이션,102260,사업보고서 201812,20190401005020,동성코퍼레이션,20190401,연
E,넷마블네오,00935821,사업보고서 201812,20190401005016,넷마블네오,20190401,
Y,현대에이치씨엔,126560,사업보고서 201812,20190401005015,현대에이치씨엔,20190401,연
Y,키다리스튜디오,020120,기재정정사업보고서 201812,20190401005014,키다리스튜디오,20190401,
Y,카카오,035720,사업보고서 201812,20190401005013,카카오,20190401,연
Y,한국전자홀딩스,006200,사업보고서 201812,20190401005008,한국전자홀딩스,20190401,연
