crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
Y,노루페인트,090350,사업보고서 201812,20190401003812,노루페인트,20190401,연
K,녹원씨엔아이,065560,사업보고서 201812,20190401003809,녹원씨엔아이,20190401,연
E,코캄,00299677,사업보고서 201812,20190401003808,코캄,20190401,연
E,제이티비씨,00922702,사업보고서 201812,20190401003805,제이티비씨,20190401,
Y,HDC현대EP,089470,사업보고서 201812,20190401003803,HDC현대EP,20190401,연
K,삼기오토모티브,122350,사업보고서 201812,20190401003799,삼기오토모티브,20190401,연
K,심텍홀딩스,036710,사업보고서 201812,20190401003800,심텍홀딩스,20190401,연
K,코아시아,045970,사업보고서 201812,20190401003796,코아시아,20190401,연
K,CMG제약,058820,사업보고서 201812,20190401003793,CMG제약,20190401,연
K,오션브릿지,241790,사업보고서 201812,20190401003791,오션브릿지,20190401,연
E,코리아세븐,00186513,사업보고서 201812,20190401003789,코리아세븐,20190401,연
Y,CS홀딩스,000590,사업보고서 201812,20190401003785,CS홀딩스,20190401,연
K,셀리드,299660,사업보고서 201812,20190401005209,셀리드,20190401,정
K,SKC코오롱PI,178920,사업보고서 201812,20190401003783,SKC코오롱PI,20190401,
Y,KISCO홀딩스,001940,사업보고서 201812,20190401003780,KISCO홀딩스,20190401,연
Y,혜인,003010,사업보고서 201812,20190401003779,혜인,20190401,연
K,자이글,234920,사업보고서 201812,20190401003776,자이글,20190401,연
K,금강철강,053260,사업보고서 201812,20190401003770,금강철강,20190401,연
K,아이센스,099190,사업보고서 201812,20190401003767,아이센스,20190401,연
Y,BGF리테일,282330,사업보고서 201812,20190401003766,BGF리테일,20190401,연
Y,GS리테일,007070,기재정정사업보고서 201812,20190401003762,GS리테일,20190401,연
E,국민은행,00386937,사업보고서 201812,20190401003761,국민은행,20190401,연
K,비즈니스온,138580,사업보고서 201812,20190401003760,비즈니스온,20190401,
K,휴비츠,065510,사업보고서 201812,20190401003759,휴비츠,20190401,연
K,코렌텍,104540,사업보고서 201812,20190401003758,코렌텍,20190401,연
K,드림시큐리티,203650,사업보고서 201812,20190401003756,드림시큐리티,20190401,연
K,쇼박스,086980,사업보고서 201812,20190401003754,쇼박스,20190401,연
K,홈캐스트,064240,사업보고서 201812,20190401003753,홈캐스트,20190401,연
E,애니원,01080173,사업보고서 201812,20190401003750,애니원,20190401,연
Y,나노메딕스,074610,사업보고서 201812,20190401003749,나노메딕스,20190401,연
Y,화성산업,002460,사업보고서 201812,20190401003746,화성산업,20190401,
K,스튜디오드래곤,253450,사업보고서 201812,20190401003745,스튜디오드래곤,20190401,연
K,코엔텍,029960,사업보고서 201812,20190401003741,코엔텍,20190401,연
K,모바일어플라이언스,087260,사업보고서 201812,20190401003738,모바일어플라이언스,20190401,연
E,에이피알,01190568,사업보고서 201812,20190401003737,에이피알,20190401,
E,SK루브리컨츠,00786711,사업보고서 201812,20190401003732,SK루브리컨츠,20190401,연
Y,휠라코리아,081660,사업보고서 201812,20190401003724,휠라코리아,20190401,연
Y,한성기업,003680,사업보고서 201812,20190401003721,한성기업,20190401,
K,파크시스템스,140860,사업보고서 201812,20190401003719,파크시스템스,20190401,연
Y,삼성제약,001360,사업보고서 201812,20190401003716,삼성제약,20190401,연
K,엔시트론,101400,사업보고서 201812,20190401003713,엔시트론,20190401,연
E,하이투자증권,00148665,사업보고서 201812,20190401003709,하이투자증권,20190401,연
Y,티에이치엔,019180,사업보고서 201812,20190401003708,티에이치엔,20190401,연
Y,벽산,007210,사업보고서 201812,20190401003706,벽산,20190401,연
K,씨엠에스에듀,225330,사업보고서 201812,20190401003705,씨엠에스에듀,20190401,연
K,제이에스티나,026040,사업보고서 201812,20190401003701,제이에스티나,20190401,연
N,플럼라인생명과학,222670,사업보고서 201812,20190401003697,플럼라인생명과학,20190401,
E,지누스,00150633,기재정정분기보고서 201809,20190401003696,지누스,20190401,
K,아비코전자,036010,사업보고서 201812,20190401003695,아비코전자,20190401,연
E,한국남동발전,00389013,사업보고서 201812,20190401003694,한국남동발전,20190401,연
Y,동양,001520,사업보고서 201812,20190401003691,동양,20190401,연
K,에이디테크놀로지,200710,사업보고서 201812,20190401003689,에이디테크놀로지,20190401,연
Y,조일알미늄,018470,사업보고서 201812,20190401003688,조일알미늄,20190401,
K,유라테크,048430,사업보고서 201812,20190401003687,유라테크,20190401,연
K,셀바스헬스케어,208370,사업보고서 201812,20190401003684,셀바스헬스케어,20190401,연
K,테스,095610,사업보고서 201812,20190401003683,테스,20190401,연
E,에스지신성건설,00173661,사업보고서 201812,20190401003682,에스지신성건설,20190401,연
Y,지엠비코리아,013870,사업보고서 201812,20190401003679,지엠비코리아,20190401,연
K,이트론,096040,사업보고서 201812,20190401003676,이트론,20190401,
