crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,코웰패션,033290,사업보고서 201812,20190401002764,코웰패션,20190401,연
N,에듀파트너,208890,사업보고서 201812,20190401002760,에듀파트너,20190401,연
N,나라소프트,288490,사업보고서 201812,20190401002758,나라소프트,20190401,
K,큐캐피탈,016600,사업보고서 201812,20190401002753,큐캐피탈,20190401,정
Y,태양금속공업,004100,사업보고서 201812,20190401002750,태양금속공업,20190401,연
Y,SG충방,001380,사업보고서 201812,20190401002749,SG충방,20190401,연
K,알서포트,131370,사업보고서 201812,20190401002748,알서포트,20190401,연
Y,진도,088790,사업보고서 201812,20190401002744,진도,20190401,연
Y,조선선재,120030,사업보고서 201812,20190401002740,조선선재,20190401,
Y,진원생명과학,011000,사업보고서 201812,20190401002738,진원생명과학,20190401,연
Y,쿠쿠홀딩스,192400,사업보고서 201812,20190401002732,쿠쿠홀딩스,20190401,정연
K,원익큐브,014190,사업보고서 201812,20190401002731,원익큐브,20190401,연
Y,대호에이엘,069460,사업보고서 201812,20190401002729,대호에이엘,20190401,정
K,대원미디어,048910,사업보고서 201812,20190401002724,대원미디어,20190401,연
K,한국코퍼레이션,050540,사업보고서 201812,20190401002722,한국코퍼레이션,20190401,연
K,유아이디,069330,사업보고서 201812,20190401002719,유아이디,20190401,
K,동성화인텍,033500,사업보고서 201812,20190401002717,동성화인텍,20190401,연
Y,현대코퍼레이션홀딩스,227840,사업보고서 201812,20190401002716,현대코퍼레이션홀딩스,20190401,연
Y,쌍방울,102280,사업보고서 201812,20190401002700,쌍방울,20190401,연
K,에스제이케이,080440,사업보고서 201812,20190401002695,에스제이케이,20190401,연
N,에스엘에스바이오,246250,사업보고서 201812,20190401002694,에스엘에스바이오,20190401,
K,화일약품,061250,사업보고서 201812,20190401002689,화일약품,20190401,
K,다날,064260,사업보고서 201812,20190401002686,다날,20190401,연
E,하나금융투자,00113465,사업보고서 201812,20190401002687,하나금융투자,20190401,연
Y,SBS,034120,사업보고서 201812,20190401002685,SBS,20190401,연
Y,부국철강,026940,사업보고서 201812,20190401002677,부국철강,20190401,
K,에스티큐브,052020,사업보고서 201812,20190401002674,에스티큐브,20190401,연
Y,고려개발,004200,사업보고서 201812,20190401002671,고려개발,20190401,
Y,이아이디,093230,사업보고서 201812,20190401002668,이아이디,20190401,연
E,한솔교육,00246301,기재정정사업보고서 201812,20190401002667,한솔교육,20190401,정연
Y,유니퀘스트,077500,사업보고서 201812,20190401002665,유니퀘스트,20190401,연
Y,한국토지신탁,034830,사업보고서 201812,20190401002664,한국토지신탁,20190401,연
K,쎄노텍,222420,사업보고서 201812,20190401002660,쎄노텍,20190401,
K,비에이치아이,083650,사업보고서 201812,20190401002656,비에이치아이,20190401,연
K,인터로조,119610,사업보고서 201812,20190401002654,인터로조,20190401,연
Y,한국카본,017960,사업보고서 201812,20190401002650,한국카본,20190401,연
E,메디키네틱스,00578130,사업보고서 201812,20190401002648,메디키네틱스,20190401,
E,요즈마비엠텍,01209574,기재정정사업보고서 201812,20190401002647,요즈마비엠텍,20190401,
Y,제일기획,030000,사업보고서 201812,20190401002642,제일기획,20190401,연
K,YW,051390,사업보고서 201812,20190401002639,YW,20190401,연
Y,크라운해태홀딩스,005740,사업보고서 201812,20190401002638,크라운해태홀딩스,20190401,연
K,하이비젼시스템,126700,사업보고서 201812,20190401002637,하이비젼시스템,20190401,연
Y,해성디에스,195870,사업보고서 201812,20190401002634,해성디에스,20190401,연
K,SGA,049470,사업보고서 201812,20190401002629,SGA,20190401,연
K,딜리,131180,사업보고서 201812,20190401002626,딜리,20190401,연
K,성광벤드,014620,사업보고서 201812,20190401002620,성광벤드,20190401,연
K,뉴보텍,060260,사업보고서 201812,20190401002618,뉴보텍,20190401,
Y,GS건설,006360,사업보고서 201812,20190401002616,GS건설,20190401,연
Y,크라운제과,264900,사업보고서 201812,20190401002613,크라운제과,20190401,
Y,시디즈,134790,사업보고서 201812,20190401002608,시디즈,20190401,
Y,퍼시스,016800,사업보고서 201812,20190401002604,퍼시스,20190401,
K,한류AI센터,222810,사업보고서 201812,20190401002605,한류AI센터,20190401,
E,한국복합물류,00216337,사업보고서 201812,20190401002602,한국복합물류,20190401,
K,인프라웨어,041020,사업보고서 201812,20190401002597,인프라웨어,20190401,연
K,팬젠,222110,기재정정사업보고서 201812,20190401002596,팬젠,20190401,
Y,휴켐스,069260,사업보고서 201812,20190401002595,휴켐스,20190401,연
Y,삼양통상,002170,사업보고서 201812,20190401002594,삼양통상,20190401,연
Y,그린케미칼,083420,사업보고서 201812,20190401002591,그린케미칼,20190401,
K,캔서롭,180400,사업보고서 201812,20190401002592,캔서롭,20190401,연
Y,인스코비,006490,사업보고서 201812,20190401002590,인스코비,20190401,연
E,에스와이제이,01117495,사업보고서 201812,20190401002581,에스와이제이,20190401,
K,성우하이텍,015750,사업보고서 201812,20190401002580,성우하이텍,20190401,연
K,엔텔스,069410,사업보고서 201812,20190401002578,엔텔스,20190401,연
Y,영진약품,003520,사업보고서 201812,20190401002575,영진약품,20190401,
K,큐로컴,040350,사업보고서 201812,20190401002570,큐로컴,20190401,연
Y,잇츠한불,226320,사업보고서 201812,20190401002569,잇츠한불,20190401,연
K,알에프세미,096610,사업보고서 201812,20190401002568,알에프세미,20190401,연
E,센트롤,01248281,사업보고서 201812,20190401002565,센트롤,20190401,
K,프로스테믹스,203690,사업보고서 201812,20190401002563,프로스테믹스,20190401,연
E,요즈마비엠텍,01209574,기재정정사업보고서 201712,20190401002562,요즈마비엠텍,20190401,
K,디이엔티,079810,사업보고서 201812,20190401002558,디이엔티,20190401,연
E,OCI스페셜티,00779845,사업보고서 201812,20190401002556,OCI스페셜티,20190401,연
Y,대신증권,003540,사업보고서 201812,20190401002550,대신증권,20190401,연
K,신신제약,002800,사업보고서 201812,20190401002549,신신제약,20190401,연
K,티씨케이,064760,사업보고서 201812,20190401002546,티씨케이,20190401,
E,더휴컴퍼니,00577982,사업보고서 201812,20190401002545,더휴컴퍼니,20190401,
E,한국남부발전,00382834,사업보고서 201812,20190401002544,한국남부발전,20190401,연
K,휴온스,243070,사업보고서 201812,20190401002542,휴온스,20190401,연
Y,아모레퍼시픽그룹,002790,사업보고서 201812,20190401002539,아모레퍼시픽그룹,20190401,연
K,코아스템,166480,사업보고서 201812,20190401002538,코아스템,20190401,연
K,제우스,079370,사업보고서 201812,20190401002537,제우스,20190401,정연
E,GS파워,00325185,사업보고서 201812,20190401002534,GS파워,20190401,
K,서연전자,012860,사업보고서 201812,20190401002530,서연전자,20190401,연
K,서부TD,006730,사업보고서 201812,20190401002529,서부TD,20190401,
